budget,task_id,seed,baseline_SUN,full_SUN,delta_SUN,baseline_mSUN,full_mSUN,delta_mSUN,baseline_AUDC,full_AUDC,delta_AUDC,baseline_raw_result_sha256,full_raw_result_sha256,baseline_acceptance_kind,full_acceptance_kind
50,Co-Dy-Ta-Y,1,0,11,11,0.0,0.22,0.22,0.0,0.1908,0.1908,8b9896e28f248f3f42417ede8859827391d8f0e548c289ddeaacfbd86e1d23a1,e40b1e5eda91125936340156d6c9a512c78407d3a2d1673b6f23c1e6b3cf66e7,per_job_receipt,per_job_receipt
50,Co-Dy-W,1,1,0,-1,0.02,0.0,-0.02,0.034,0.0,-0.034,2610870257d1d464304114f39555d4d87d07fb8c359ff6a36f073d1b91bb33fa,e349aec9af0eef43cee81f7ed3869e2584093e7c4980e68873455af6f436250c,per_job_receipt,per_job_receipt
50,Co-Hf-In-Ru-Tm,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,723d79f3a20f361399a3bcd25414375f9f0866fc4394b3af1411e4b8c3757be8,0f3b85a0721449b295a749bd2850fb4928dbf022307237a71ec63f2543e076d3,per_job_receipt,per_job_receipt
50,Co-Hg-Mg-Sr-W,1,0,4,4,0.0,0.08,0.08,0.0,0.1504,0.1504,4480034478eb9f642026dafa1f0ef9f32051d58ca9deaff115c44d0fff593bc4,42c458d1092e064b924d5d8fa2a6927c0ef4fb972f74bfc1a23f339657683fd7,per_job_receipt,per_job_receipt
50,Co-Mg-Na,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,af041109fb2371ca3f62dccea40afb711a283aa531618cf1cc67ef69c2c14a87,763f49d288c3f75fabce7f1d43c57b868471acd25124f929cab4be0237cc31fa,per_job_receipt,per_job_receipt
50,Co-Pd-Tl,1,29,2,-27,0.58,0.04,-0.5399999999999999,0.7068,0.052,-0.6547999999999999,858f6d91306adb3c9cc5eb0235f57cf451418e8a80cba60048d50e072628d38d,94a2b34d91d7b112d4e635b7c55da6b560e99763006c223048c3032a979ef042,per_job_receipt,per_job_receipt
50,Cr-Fe-Lu-Pt-Sc,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,34737733cf4394af4bc223f13808dca9c5392e1b5cf9e0fd59f27f1187a1f426,77d2690f4e1ccf4b2a35fcbe2b9fe887e8c205780a7bf8872723e911fdc13980,per_job_receipt,per_job_receipt
50,Dy-K-Pd-Sm,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59d8895109f3726a99e12c5293e2a413d7f0fa315620aac34f5f815a0c6a2e47,57f85105039dde7361e868ee45a3e20c1f432c7aab73b3779ad89d354f01d44e,per_job_receipt,per_job_receipt
50,Eu-Nb-Sn-Tl,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,b5d3fe42069a888ed4831d1f1160ad43f9fa509f5c4360e77136d99602b95919,7988ad52ed88d83f34c1104b5a98471c5fee3f9be63af4b4259200b0a5c46bc6,per_job_receipt,per_job_receipt
50,Ga-Ho-Lu,1,18,19,1,0.36,0.38,0.020000000000000018,0.404,0.4356,0.03159999999999996,ab6be74f4cdfb5e66752ea84d75030b372a8d27182fd506fbeec264fa941f3aa,51566eee67f9947ec76a8edb88449fc6551c16ff82583771431b2ed03e3087ac,per_job_receipt,per_job_receipt
50,Ga-Pt-Tm,1,18,13,-5,0.36,0.26,-0.09999999999999998,0.3664,0.3004,-0.066,5a242f117fc1031ce36c6f40ff076ec2289059872a82d3fbfb22ef94cdd44d6c,baa2d6c2e7d8e3c5bf3173becf6b82ee7ef3f1e328b69fcf290f4ab754567021,independent_derived_acceptance,per_job_receipt
50,Hf-Ni-Zr,1,17,16,-1,0.34,0.32,-0.020000000000000018,0.3236,0.3608,0.03720000000000001,eab9e31246d992e66962a501413b1242360d277578c255b7ebd6e6fd07316c4d,f6342ddf3c832ff70f0fc777a8b24811f450b68c9ae5976c4453c32eee094fa8,per_job_receipt,per_job_receipt
50,Ho-In-Mg-Pd-Zr,1,18,0,-18,0.36,0.0,-0.36,0.3392,0.0,-0.3392,c1058ff256fc96c3fb6e20f3b712879e0bb0ce14a8f48a7b23663f43a5e84a4a,0915a23a1586d28405fdf17aaf3d616d794803b229af1451ca091b3f9fa9f092,per_job_receipt,per_job_receipt
50,Mg-Sn-Sr,1,41,14,-27,0.82,0.28,-0.5399999999999999,0.7748,0.4152,-0.35960000000000003,e76eb60ad7e44226bca2c79b97014916463cab38158deea2dca5aea0b8d5bf72,4f6dc68312dc37e2615d1692742317f56e5ca1368182d31a5ac9c40306ac5cff,per_job_receipt,per_job_receipt
