budget,task_id,method,available_seeds,n_completed_seeds,run_to_run_sample_variance,run_to_run_SD
30,Ga-Ho-Lu,esopt_graph_risk,1,1,,
30,Ga-Pt-Tm,baseline,1,1,,
30,Ga-Pt-Tm,esopt_graph_risk,1,1,,
30,Hf-Ni-Zr,baseline,1,1,,
30,Hf-Ni-Zr,esopt_graph_risk,1,1,,
30,Ho-In-Mg-Pd-Zr,baseline,1,1,,
30,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,1,,
30,Mg-Sn-Sr,baseline,1,1,,
30,Mg-Sn-Sr,esopt_graph_risk,1,1,,
50,Ag-Nd-Pd-Pt-Tb,baseline,1,1,,
50,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,1,,
50,Al-Hg-K-Mg-W,baseline,1,1,,
50,Al-Hg-K-Mg-W,esopt_graph_risk,1,1,,
50,Al-Li-V,baseline,1,1,,
50,Al-Li-V,esopt_graph_risk,1,1,,
50,Al-Lu-Pt-Rb-Sm,baseline,1,1,,
50,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,1,,
50,Al-V-Zn,baseline,1,1,,
50,Al-V-Zn,esopt_graph_risk,1,1,,
50,Au-Cr-Cs-Dy,baseline,1,1,,
50,Au-Cr-Cs-Dy,esopt_graph_risk,1,1,,
50,Au-K-Tb,baseline,1,1,,
50,Au-K-Tb,esopt_graph_risk,1,1,,
50,Au-Tb-V-Y,baseline,1,1,,
50,Au-Tb-V-Y,esopt_graph_risk,1,1,,
50,Ba-Be-Hf-Li,baseline,1,1,,
50,Ba-Be-Hf-Li,esopt_graph_risk,1,1,,
50,Ba-Nd-Ni-W,baseline,1,1,,
50,Ba-Nd-Ni-W,esopt_graph_risk,1,1,,
50,Ca-Fe-Gd-Pb-Tb,baseline,1,1,,
50,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,1,,
50,Ca-Pd-Sn-W,baseline,1,1,,
50,Ca-Pd-Sn-W,esopt_graph_risk,1,1,,
50,Cd-Gd-Mn-Na-Ta,baseline,1,1,,
50,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,1,,
50,Cd-Li-Nd-Ti-W,baseline,1,1,,
50,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,1,,
50,Ce-Er-Pb-Rh,baseline,1,1,,
50,Ce-Er-Pb-Rh,esopt_graph_risk,1,1,,
50,Ce-Ir-Pt-Sn,baseline,1,1,,
50,Ce-Ir-Pt-Sn,esopt_graph_risk,1,1,,
50,Co-Dy-Ta-Y,baseline,1,1,,
50,Co-Dy-Ta-Y,esopt_graph_risk,1,1,,
50,Co-Dy-W,baseline,1,1,,
50,Co-Dy-W,esopt_graph_risk,1,1,,
50,Co-Hf-In-Ru-Tm,baseline,1,1,,
50,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,1,,
50,Co-Hg-Mg-Sr-W,baseline,1,1,,
50,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,1,,
50,Co-Mg-Na,baseline,1,1,,
50,Co-Mg-Na,esopt_graph_risk,1,1,,
50,Co-Pd-Tl,baseline,1,1,,
50,Co-Pd-Tl,esopt_graph_risk,1,1,,
50,Cr-Fe-Lu-Pt-Sc,baseline,1,1,,
50,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,1,,
50,Dy-K-Pd-Sm,baseline,1,1,,
50,Dy-K-Pd-Sm,esopt_graph_risk,1,1,,
50,Eu-Nb-Sn-Tl,baseline,1,1,,
50,Eu-Nb-Sn-Tl,esopt_graph_risk,1,1,,
50,Ga-Ho-Lu,baseline,1,1,,
50,Ga-Ho-Lu,esopt_graph_risk,1,1,,
50,Ga-Pt-Tm,baseline,1,1,,
50,Ga-Pt-Tm,esopt_graph_risk,1,1,,
50,Hf-Ni-Zr,baseline,1,1,,
50,Hf-Ni-Zr,esopt_graph_risk,1,1,,
50,Ho-In-Mg-Pd-Zr,baseline,1,1,,
50,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,1,,
50,Mg-Sn-Sr,baseline,1,1,,
50,Mg-Sn-Sr,esopt_graph_risk,1,1,,
