job_id,arm,task_id,seed,candidate_oracle_attempts,completion_tokens,graph_seconds,initialization_oracle_attempts,initialization_wall_seconds,llm_calls,prompt_tokens,rpc_attempts,score_sentinels,step_attempts,surrogate_oracle_attempts,tool_attempts,wall_seconds
component-final-309c3c6fb2c047a93c1f8575,es_only_independent,Co-Dy-W,2,10,3529,0,11,46.88720638304949,22,39337,38,9,10,29,19,407.79038153309375
component-final-ced0af809caafbfd44aa8165,es_only_independent,Co-Dy-W,3,10,2910,0,11,51.27028090599924,20,43893,40,3,10,10,20,334.1595499776304
component-final-60a0f011651058cfacc89f7b,es_only_independent,Co-Dy-W,4,10,2137,0,11,50.7759600924328,16,38314,32,8,10,81,16,302.63306891173124
component-final-7cc2c2335ff1e079999ecabb,es_only_independent,Co-Mg-Na,2,10,2510,0,13,46.75233045220375,18,35757,36,,10,40,18,324.5831524161622
component-final-827fb29e7d467a5c1448a2d5,es_only_independent,Co-Mg-Na,3,10,2728,0,13,46.54189642332494,22,38811,44,,10,171,22,499.70717598870397
component-final-209f38eb700cca3d60e9efa7,es_only_independent,Co-Mg-Na,4,10,1937,0,13,46.952642787247896,13,26716,26,7,10,45,13,274.85781716927886
support-final-bceab85ac67db411774a2563,full_support_aware,Al-Li-V,2,10,2254,1037.7491201329976,16,49.82238420564681,18,34459,34,1,10,31,17,1376.5666472828016
support-final-2b96c9fd2ded8ff4d3c9fa7b,full_support_aware,Al-Li-V,3,10,2749,1268.7607490131631,16,32.500737867318094,20,44559,36,,10,,18,1640.21006469056
support-final-cda0e2a385af0e786df7d24a,full_support_aware,Al-Li-V,4,10,2858,1345.7968943314627,16,34.692149890586734,23,51318,42,,10,,21,1722.1736632306129
support-final-ca740c106b65301c3c20f121,full_support_aware,Al-V-Zn,2,10,2645,967.7010762067512,12,41.57022429257631,17,33821,30,,10,,15,1292.4230958055705
support-final-c3b9e4053e380cd376460042,full_support_aware,Al-V-Zn,3,10,2580,1300.7550306497142,12,29.53019839245826,18,45021,36,,10,,18,1641.145757730119
support-final-8d9484c7a3dc0a3085dccdab,full_support_aware,Al-V-Zn,4,10,1786,894.3014179375023,12,40.5115116359666,13,29951,24,,10,,12,1143.3160809478723
support-final-68807310bf257b755381e67b,full_support_aware,Au-K-Tb,2,10,2738,1056.4421615721658,11,66.00681381579489,21,38723,36,,10,,18,1395.2760076262057
support-final-5b6d1b84cc2ee0f52bb1c366,full_support_aware,Au-K-Tb,3,10,2897,956.0257157050073,11,50.563271715305746,18,33328,36,,10,,18,1334.4025004543364
support-final-17ba56fb5d378648ebbbe7c8,full_support_aware,Au-K-Tb,4,10,1783,936.4396738512442,11,49.953387844376266,14,28747,28,,10,,14,1183.5856687454507
support-final-fdb8c5628b1505159c52f7cc,full_support_aware,Co-Dy-W,2,10,2238,790.026648263447,11,49.2616762323305,18,37836,34,9,10,31,17,1121.9164597764611
support-final-756405aa341c84c08489f23c,full_support_aware,Co-Dy-W,3,10,2230,950.8655753489584,11,48.35303020570427,15,29887,30,,10,,15,1247.869786515832
support-final-f6823e6cdf872a727ba2d1e8,full_support_aware,Co-Dy-W,4,10,2372,757.5086189773865,11,53.56623325170949,17,37272,32,,10,,16,1071.147506760899
support-final-03a88c2191e750bc3ef7d49f,full_support_aware,Co-Mg-Na,2,10,2242,725.3294841032475,13,50.64939353894442,15,27897,28,,10,,14,1011.3061305563897
support-final-c2968e57d9e2851ad1f9774e,full_support_aware,Co-Mg-Na,3,10,2638,1209.69332060311,13,54.36969488207251,19,45701,36,,10,44,18,1638.04525595624
support-final-32b9c75a950dc72b690b9f75,full_support_aware,Co-Mg-Na,4,10,2493,849.2883153418079,13,49.989683710969985,19,34197,36,4,10,84,18,1226.0548757077195
