episode,seed,query_number,proposal_index,success,failure_code,graph_unavailable_type,risk,features_available,selected_and_executed,tau,equiv_pldn,conc_dfnb,temperature,executed_no_HVI,executed_HV_increment,source_relative_path,source_sha256
test_uq_esopt_5101,5101,12,0,False,illegal_action,,,False,False,,,,,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query011_proposal0/candidate.json,d51ab6aae13c4cb4b55cdfbf94a3e4a365211d3440cf2a13f67325c505755f74
test_uq_esopt_5101,5101,12,1,True,,,0.06912564486265182,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query011_proposal1/candidate.json,77c430475a644a2b08745fe879351e679de22a7606d44db2caee8ba600f9d05e
test_uq_esopt_5101,5101,13,0,True,,,0.06632387638092041,True,True,0.8,4,0.35,50,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query012_proposal0/candidate.json,d1daaa7a931052165922af16285ea45ff0847436ebba9e29c35941e3f4a00b6d
test_uq_esopt_5101,5101,14,0,True,,,0.4461655914783478,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query013_proposal0/candidate.json,3242224bb91070b122020386b857138bbe45180bc73478d342d23314630c2295
test_uq_esopt_5101,5101,15,0,True,,,0.31042537093162537,True,True,0.6,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query014_proposal0/candidate.json,ed4a15e848bfefdf80fe6ec1fb9134bda02bf9917f8b6452b6f56bdf9cbdbf43
test_uq_esopt_5101,5101,16,0,True,,,0.05901101976633072,True,True,1.2,3,0.3,65,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query015_proposal0/candidate.json,de9f459dbe35bcf597fe2604371fea9c302be3d038925c516d1a2b7b38902b3d
test_uq_esopt_5101,5101,17,0,True,,,0.05871305242180824,True,True,0.8,4,0.4,45,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query016_proposal0/candidate.json,4f3d5b69b2c311d4da34c45b5cd5315c5d26dbfb0f9019a62de27c73117da92d
test_uq_esopt_5101,5101,18,0,True,,,0.10993213206529617,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query017_proposal0/candidate.json,df1420f85c7a80d5de179bdedd3e36f08eea7f2fde1e3bfb6c563a4d1dcfa813
test_uq_esopt_5101,5101,19,0,True,,,0.08016826957464218,True,True,0.7,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query018_proposal0/candidate.json,581cfe8d5ff0e15657d7927e299b746c07eb9610e13d426b9445fc112597234c
test_uq_esopt_5101,5101,20,0,True,,,0.07558902353048325,True,True,0.8,4,0.4,45,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query019_proposal0/candidate.json,d72d548a8e0ad05f01b467e12c250d3e677115332b459a29ef28d2bb435356a7
test_uq_esopt_5101,5101,21,0,True,,,0.1377759575843811,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query020_proposal0/candidate.json,f7b05f731630707dc0f39f63bbc95af82e0beeec5bd46f31f9c2c19d8d22f713
test_uq_esopt_5101,5101,22,0,True,,,0.08589210361242294,True,True,0.6,5,0.5,35,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query021_proposal0/candidate.json,5f2f9cabdd84c187f3dabf42571356f8e6d84fee7ca5d2db854cd3a579cbc03e
test_uq_esopt_5101,5101,23,0,True,,,0.061049673706293106,True,True,0.55,4,0.45,40,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query022_proposal0/candidate.json,323326b9abebba66f154941dcabeaa7cd0b98114bc2f59e314d265bab7612007
test_uq_esopt_5101,5101,24,0,True,,,0.1295904964208603,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query023_proposal0/candidate.json,71c34535789ff9d2e72db00c7a3544743bebd979ed9c739e67d88d03cf57d991
test_uq_esopt_5101,5101,25,0,True,,,0.11741166561841965,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query024_proposal0/candidate.json,153c131d9de5d69cc93c7c5e8c36cf556fe742970f3bd4e56b1a02db76e8ecb0
test_uq_esopt_5101,5101,26,0,True,,,0.09920334070920944,True,True,0.7,4,0.45,35,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query025_proposal0/candidate.json,b7e6bd56d5354a85b4777a193853c168516c19bbd1bb1af694bfcf32a0e1e54d
test_uq_esopt_5101,5101,27,0,True,,,0.06856238096952438,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query026_proposal0/candidate.json,ae43cb1347e007320c4a6ecd961db2f2aafc83e3b19aa2cf8939035079a088ff
test_uq_esopt_5101,5101,28,0,True,,,0.08730503171682358,True,True,1.0,3,0.3,60,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query027_proposal0/candidate.json,1147606e7bc7d75ebd9363603f481dcd10e41563c0e4325f25077ff6e0391081
test_uq_esopt_5101,5101,29,0,True,,,0.0735689178109169,True,True,0.6,4,0.4,80,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query028_proposal0/candidate.json,19968b325c96c350756e110d41cce1ebdb4032f24ceece3b54210979cdbd78cd
test_uq_esopt_5101,5101,30,0,True,,,0.06192275136709213,True,True,1.0,4,0.35,70,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query029_proposal0/candidate.json,33443d052a9349553b5bd9e7096456736d35ff831dfc31369359cfe897683fe3
test_uq_esopt_5101,5101,31,0,True,,,0.08208400756120682,True,True,0.55,5,0.48,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query030_proposal0/candidate.json,26b7aa27f1ed2ee02400a54e053b555ea0cadeee78f4a8c54ac4d2ba46f7ca4c
test_uq_esopt_5101,5101,32,0,True,,,0.17686064541339874,True,True,0.6,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query031_proposal0/candidate.json,c2e5b56af8f09f04bd6bc4363947fedb2ffa2258b353d80382dfdcb4324889f9
test_uq_esopt_5101,5101,33,0,True,,,0.3288097381591797,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query032_proposal0/candidate.json,bc5af692858b384b15963ba338f993ba10a46e80b2a9e4cecf776ff153e30345
test_uq_esopt_5101,5101,34,0,True,,,0.19305698573589325,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query033_proposal0/candidate.json,e51e6680acbdc018277ca0655893aec3b13075e081d5e42d68c83ce2cdc1b344
test_uq_esopt_5101,5101,35,0,True,,,0.1445014923810959,True,True,0.55,5,0.45,35,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query034_proposal0/candidate.json,17015c789bb47e606b80a45889929c241fe188e974e2bc6fb48a82f1dc647452
test_uq_esopt_5101,5101,36,0,True,,,0.23469127714633942,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query035_proposal0/candidate.json,29522c4c2ea0e247d9cb57fc8a35f822c0131511025b54649fcd20ed7155536e
test_uq_esopt_5101,5101,37,0,True,,,0.10607817023992538,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query036_proposal0/candidate.json,d3af903d1c077b0dbe092a8a6b2b4a50220b56c7fd896a9c451e0aee97a66454
test_uq_esopt_5101,5101,38,0,True,,,0.03387455642223358,True,True,0.65,4.5,0.4,85,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query037_proposal0/candidate.json,de6323d7f1dd6af099649fec8b00b52b0082c693afd251d486dee3f975a90fa9
test_uq_esopt_5101,5101,39,0,True,,,0.03870895132422447,True,True,0.6,4,0.45,85,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query038_proposal0/candidate.json,02bd5a49e4d5d0ae38ab59890de1e5c2708f2b925f50ce10b7c95190dcc2591e
test_uq_esopt_5101,5101,40,0,True,,,0.06743308901786804,True,True,0.7,1.2,0.48,102,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query039_proposal0/candidate.json,399e53f3bd1e797dacdeafdbaf250fa524be08a47c972e107076cc9c7ebb8c3f
test_uq_esopt_5101,5101,41,0,True,,,0.20592182874679565,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query040_proposal0/candidate.json,316e05bd58c6074c130931dfe0329b2143e5e74f533182fadcaf2b8bbd897eb4
test_uq_esopt_5101,5101,42,0,True,,,0.09110572934150696,True,True,0.8,3.0,0.35,65,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query041_proposal0/candidate.json,39fb083d7b5a8b243ca9648ed7467f9729dde86afb0d5e9e6eb10d3b8fb61f90
test_uq_esopt_5101,5101,43,0,True,,,0.10414382070302963,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query042_proposal0/candidate.json,b122743116c26017ba73022d1bd8734d086bc094eceb7cbe8308c2b78a13e72d
test_uq_esopt_5101,5101,44,0,True,,,0.09481589496135712,True,True,1.2,3.5,0.45,55,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query043_proposal0/candidate.json,31a50110a5519af944d5874c6287b62f6c5fbc341eda600127c6ede93f2ab092
test_uq_esopt_5101,5101,45,0,True,,,0.1798136681318283,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query044_proposal0/candidate.json,e80cd18a3295b79bb6b3e5af4d17c02887636d16b53a37e2a99b468bf4839df9
test_uq_esopt_5101,5101,46,0,True,,,0.045460354536771774,True,True,0.6,4.8,0.5,32,0,6.96435639324644e-06,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query045_proposal0/candidate.json,e3463032fc760ca8aba5b9d263b8ca53f751899b7d8e62aba446db22ef7730c5
test_uq_esopt_5101,5101,47,0,True,,,0.07514739781618118,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query046_proposal0/candidate.json,f86bb92853bf19469c937dc73e7853ae609a2d2f6fd865b93e4040179b4b70fc
test_uq_esopt_5101,5101,48,0,True,,,0.09760451316833496,True,True,1.0,4.5,0.45,45,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query047_proposal0/candidate.json,28df21f83e35197ec9f16c7a70c4462eb1e35f22bcc09ce7bef2b621480fdd06
test_uq_esopt_5101,5101,49,0,True,,,0.04431701451539993,True,True,0.6,4.5,0.48,85,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query048_proposal0/candidate.json,7db547d03ad1daf6d074b3215d9fad61aaea86355430dc519b5059fa0c1546e9
test_uq_esopt_5101,5101,50,0,True,,,0.24378900229930878,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5101/query049_proposal0/candidate.json,0b555900f6ed345057feec2f512c7a0af504c8c02cba4ab13ab8ba5df61d6508
test_uq_esopt_5102,5102,6,0,True,,,0.31250056624412537,True,True,0.8,2.0,0.35,65,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query005_proposal0/candidate.json,cf20daac6692c654eb854bffc0919a3c3244519d58fc3b135caf2b6134066aa6
test_uq_esopt_5102,5102,7,0,True,,,0.6773755550384521,True,False,1.2,2.5,0.35,55,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query006_proposal0/candidate.json,71b442009ae5bf101210ef065a36aa2ce10cf8d08e6f4b4b16683b891b1f1864
test_uq_esopt_5102,5102,7,1,True,,,0.29514816403388977,True,True,1.2,2.5,0.4,80,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query006_proposal1/candidate.json,8913237be036dc9146c6fa5a82f488bfc556c1e0a07407fc4c813ccfee375869
test_uq_esopt_5102,5102,8,0,True,,,0.7849957942962646,True,False,1.5,3.5,0.3,60,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query007_proposal0/candidate.json,3120ff8cbb0dce591500a376822f14d4d0ab528b1bbc92b66dd2067c650f421f
test_uq_esopt_5102,5102,8,1,True,,,0.5228337645530701,True,True,1.0,3.0,0.35,70,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query007_proposal1/candidate.json,8f00212b674fef57883217856ff17b35c56be0089723080d939cb4bcdbdb9207
test_uq_esopt_5102,5102,9,0,True,,,0.7612339854240417,True,False,1.0,2.5,0.35,70,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query008_proposal0/candidate.json,db0b152de3c028064ee0fc911de431d3a5d9c77b60f643d6fd01101407463ac8
test_uq_esopt_5102,5102,9,1,True,,,0.6574006080627441,True,True,1.5,2.5,0.35,70,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query008_proposal1/candidate.json,2e6c32bed27e412313e0523e71041691c31a779aa07b6aad23b954d5d1c49d45
test_uq_esopt_5102,5102,10,0,True,,,0.2059357911348343,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query009_proposal0/candidate.json,391628bb74f25e80d37dd200990e8b8de99cdff18d3157ea4bd04c7b300083bd
test_uq_esopt_5102,5102,11,0,True,,,0.093343086540699,True,True,0.55,4.5,0.5,40,0,1.112827299232233e-05,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query010_proposal0/candidate.json,be8ffd18b21c7aab8dacf2494afa128405f8de660985dcba66f54c569e735d9e
test_uq_esopt_5102,5102,12,0,True,,,0.2713257968425751,True,True,1.0,3.5,0.45,50,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query011_proposal0/candidate.json,f2e695801f757c25ddcb86cb5e5d21aaf53e130bd042fc46a09c76a7bd23ef98
test_uq_esopt_5102,5102,13,0,True,,,0.16257375478744507,True,True,0.55,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query012_proposal0/candidate.json,2186823949115c147ae8737afe88d34161cbc8e49ab3eb4ed3321059ec9ca767
test_uq_esopt_5102,5102,14,0,True,,,0.10177666693925858,True,True,0.7,1.5,0.48,102,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query013_proposal0/candidate.json,7e7115c3ad57e678729dd74478bfd94a76aba2580a7efd71b188b41ae1bb2317
test_uq_esopt_5102,5102,15,0,True,,,0.17154887318611145,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query014_proposal0/candidate.json,7b4c7a403f7038a093bced5e4ee178683e38a55d1bab65e4ccf38814082e1b81
test_uq_esopt_5102,5102,16,0,True,,,0.05486935004591942,True,True,0.6,1.3,0.47,105,0,3.4252944525747786e-05,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query015_proposal0/candidate.json,7f4a50f5ba0d2a9202129236224d6781f066c60806383c5a2721390abce16c95
test_uq_esopt_5102,5102,17,0,True,,,0.17359766364097595,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query016_proposal0/candidate.json,228a8792bbda05e003dc630e22a03f754f54bbf275f9595ebb1af1c51e336387
test_uq_esopt_5102,5102,18,0,True,,,0.08923712372779846,True,True,0.55,1.2,0.47,100,0,5.104919909548755e-05,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query017_proposal0/candidate.json,a69a1f45a29a8a67284d293232c35a3a99e1f1cfe6673e4b011768d03c71b409
test_uq_esopt_5102,5102,19,0,True,,,0.05160696804523468,True,True,1.2,3,0.25,85,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query018_proposal0/candidate.json,bc872e4aa85389f2d22e5f7f5eddf49c0533dc0331d3650f1b67e597e5130aaa
test_uq_esopt_5102,5102,20,0,True,,,0.0999656692147255,True,True,1.8,4.2,0.35,95,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query019_proposal0/candidate.json,5f01b754f1f4b2bcb9f18ac581341620045276ab2f16d474c5b29310ddbc2d30
test_uq_esopt_5102,5102,21,0,True,,,0.3165917992591858,True,True,0.6,1.3,0.47,105,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query020_proposal0/candidate.json,3401e70477d94ff82d4f732ce19aceef0027effe41ac3e11a7482ec73c553590
test_uq_esopt_5102,5102,22,0,True,,,0.21357320249080658,True,True,0.6,1.4,0.45,102,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query021_proposal0/candidate.json,5bb7e66303070d7bb943b380cfd3db905beaad8baa693a97484adb354d9cc524
test_uq_esopt_5102,5102,23,0,True,,,0.14980439841747284,True,True,1.1,2.5,0.3,75,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query022_proposal0/candidate.json,dd857bde78d4609e791e48671e48916ac32285822cec985d6ce8510eb50c7207
test_uq_esopt_5102,5102,24,0,True,,,0.3311883807182312,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query023_proposal0/candidate.json,0b7f1da6852e762efd8371d934f7d4a539d9f2ec6c14240c6680d72b4200fbd4
test_uq_esopt_5102,5102,25,0,True,,,0.26180189847946167,True,True,0.6,4.8,0.48,95,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query024_proposal0/candidate.json,d7c26164b022528d025f44db29eaf366e703ba0426eb1269cffa46adc8616c90
test_uq_esopt_5102,5102,26,0,True,,,0.6974816918373108,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query025_proposal0/candidate.json,e179ad5174eec9837ed7c59a9c01e1781e4c53fac4e4a947fa4438d9f1928df1
test_uq_esopt_5102,5102,26,1,False,illegal_action,,,False,False,,,,,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query025_proposal1/candidate.json,c1863fe860d2354ff88aea02a2f1dc689f9561b5f722065893f62ec8272641b4
test_uq_esopt_5102,5102,27,0,True,,,0.1798480749130249,True,True,1.8,3.0,0.3,120,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query026_proposal0/candidate.json,23f8e9c297632915162810a71f35ce8e0553bd8c8faebd4e1e8ecc59f00a5228
test_uq_esopt_5102,5102,28,0,True,,,0.12557733058929443,True,True,0.7,4.8,0.48,95,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query027_proposal0/candidate.json,b9be00ae6c3d95d89e2c54e6156a91d57b34c04b1686bd009af8e24262bd3cd0
test_uq_esopt_5102,5102,29,0,True,,,0.5159914493560791,True,False,0.5,5,0.5,30,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query028_proposal0/candidate.json,3f00071be78071a32f14ae7d8c92bbc26750bcd6b7fdd7d66de3bf4d3bbed4fa
test_uq_esopt_5102,5102,29,1,True,,,0.100445955991745,True,True,0.6,4.5,0.45,35,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query028_proposal1/candidate.json,4ad2052ca22149c2b9c3305a78573e26c6fc61fc30248c418ad2bb36ca4cd8f5
test_uq_esopt_5102,5102,30,0,True,,,0.08046568185091019,True,True,1.0,3.5,0.4,45,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query029_proposal0/candidate.json,4c4de0e9ff07ef3d75c9baac52443e82d9b9f33656082b7390e9f48fbaaca497
test_uq_esopt_5102,5102,31,0,False,illegal_action,,,False,False,,,,,,,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query030_proposal0/candidate.json,cd89bda588ea6a9cd80d58b47938a2a92a0aeae274ac4e821b613826434bf2ba
test_uq_esopt_5102,5102,31,1,True,,,0.1450667679309845,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query030_proposal1/candidate.json,ea40cf5e3689006cc886ab0306be28befebcb58e57ce93ea8319da4a8b8aab7d
test_uq_esopt_5102,5102,32,0,True,,,0.2384946346282959,True,True,0.5,5,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query031_proposal0/candidate.json,b84f2c393f7616e9e0cba42c4123a139263a9bfd67fa3b8279077d83cdda1a80
test_uq_esopt_5102,5102,33,0,True,,,0.2352084368467331,True,True,1.2,4.0,0.45,50,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query032_proposal0/candidate.json,58de6964395acd041db53d3503b807f4359fb2b4f5bee243d13af21400565453
test_uq_esopt_5102,5102,34,0,True,,,0.22994664311408997,True,True,1.1,4.2,0.45,40,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query033_proposal0/candidate.json,0b83369113f41e284ede7ff28fbf529d02ff0ce333f931399ace1f4b1a2286ef
test_uq_esopt_5102,5102,35,0,True,,,0.0963093563914299,True,True,0.55,5.0,0.5,30,1,0.0,benchmark_extensions/summit_snar_main_repair_20260919_v2/runs/v2/episodes/test_uq_esopt_5102/query034_proposal0/candidate.json,cc41d76350a402af114c1c707d42f60142f50dc49e46680a70dd3c9571fddeca
