task_id,seed,metric,baseline,full,delta
Ga-Pt-Tm,4,AUDC,0.53,0.33,-0.2
Hf-Ni-Zr,2,SUN,6,6,0
Hf-Ni-Zr,3,SUN,8,4,-4
Hf-Ni-Zr,4,SUN,4,5,1
Hf-Ni-Zr,2,AUDC,0.78,0.66,-0.12
Hf-Ni-Zr,3,AUDC,0.82,0.6,-0.21999999999999997
Hf-Ni-Zr,4,AUDC,0.64,0.53,-0.10999999999999999
Mg-Sn-Sr,2,SUN,6,4,-2
Mg-Sn-Sr,3,SUN,6,8,2
Mg-Sn-Sr,4,SUN,2,3,1
Mg-Sn-Sr,2,AUDC,0.54,0.64,0.09999999999999998
Mg-Sn-Sr,3,AUDC,0.62,0.88,0.26
Mg-Sn-Sr,4,AUDC,0.2,0.09,-0.11000000000000001
Au-Cr-Cs-Dy,2,SUN,0,0,0
Au-Cr-Cs-Dy,3,SUN,0,0,0
Au-Cr-Cs-Dy,4,SUN,0,0,0
Au-Cr-Cs-Dy,2,AUDC,0.0,0.0,0.0
Au-Cr-Cs-Dy,3,AUDC,0.0,0.0,0.0
Au-Cr-Cs-Dy,4,AUDC,0.0,0.0,0.0
Au-Tb-V-Y,2,SUN,1,0,-1
Au-Tb-V-Y,3,SUN,2,0,-2
Au-Tb-V-Y,4,SUN,0,0,0
Au-Tb-V-Y,2,AUDC,0.11,0.0,-0.11
Au-Tb-V-Y,3,AUDC,0.18,0.0,-0.18
Au-Tb-V-Y,4,AUDC,0.0,0.0,0.0
Ba-Nd-Ni-W,2,SUN,0,0,0
Ba-Nd-Ni-W,3,SUN,0,0,0
Ba-Nd-Ni-W,4,SUN,0,0,0
Ba-Nd-Ni-W,2,AUDC,0.0,0.0,0.0
Ba-Nd-Ni-W,3,AUDC,0.0,0.0,0.0
Ba-Nd-Ni-W,4,AUDC,0.0,0.0,0.0
Ce-Ir-Pt-Sn,2,SUN,1,0,-1
Ce-Ir-Pt-Sn,3,SUN,1,0,-1
Ce-Ir-Pt-Sn,4,SUN,5,0,-5
Ce-Ir-Pt-Sn,2,AUDC,0.07,0.0,-0.07
Ce-Ir-Pt-Sn,3,AUDC,0.11,0.0,-0.11
Ce-Ir-Pt-Sn,4,AUDC,0.55,0.0,-0.55
Co-Dy-Ta-Y,2,SUN,0,0,0
Co-Dy-Ta-Y,3,SUN,0,0,0
Co-Dy-Ta-Y,4,SUN,2,0,-2
Co-Dy-Ta-Y,2,AUDC,0.0,0.0,0.0
Co-Dy-Ta-Y,3,AUDC,0.0,0.0,0.0
Co-Dy-Ta-Y,4,AUDC,0.12,0.0,-0.12
Dy-K-Pd-Sm,2,SUN,0,0,0
Dy-K-Pd-Sm,3,SUN,0,0,0
Dy-K-Pd-Sm,4,SUN,0,0,0
Dy-K-Pd-Sm,2,AUDC,0.0,0.0,0.0
Dy-K-Pd-Sm,3,AUDC,0.0,0.0,0.0
Dy-K-Pd-Sm,4,AUDC,0.0,0.0,0.0
Eu-Nb-Sn-Tl,2,SUN,0,0,0
Eu-Nb-Sn-Tl,3,SUN,0,0,0
Eu-Nb-Sn-Tl,4,SUN,0,0,0
Eu-Nb-Sn-Tl,2,AUDC,0.0,0.0,0.0
Eu-Nb-Sn-Tl,3,AUDC,0.0,0.0,0.0
Eu-Nb-Sn-Tl,4,AUDC,0.0,0.0,0.0
Ag-Nd-Pd-Pt-Tb,2,SUN,1,4,3
Ag-Nd-Pd-Pt-Tb,3,SUN,5,6,1
Ag-Nd-Pd-Pt-Tb,4,SUN,3,3,0
Ag-Nd-Pd-Pt-Tb,2,AUDC,0.19,0.46,0.27
Ag-Nd-Pd-Pt-Tb,3,AUDC,0.43,0.6,0.16999999999999998
Ag-Nd-Pd-Pt-Tb,4,AUDC,0.51,0.51,0.0
Al-Hg-K-Mg-W,2,SUN,7,0,-7
Al-Hg-K-Mg-W,3,SUN,0,0,0
Al-Hg-K-Mg-W,4,SUN,0,0,0
Al-Hg-K-Mg-W,2,AUDC,0.77,0.0,-0.77
Al-Hg-K-Mg-W,3,AUDC,0.0,0.0,0.0
Al-Hg-K-Mg-W,4,AUDC,0.0,0.0,0.0
Al-Lu-Pt-Rb-Sm,2,SUN,0,1,1
Al-Lu-Pt-Rb-Sm,3,SUN,3,0,-3
Al-Lu-Pt-Rb-Sm,4,SUN,1,3,2
Al-Lu-Pt-Rb-Sm,2,AUDC,0.0,0.19,0.19
Al-Lu-Pt-Rb-Sm,3,AUDC,0.23,0.0,-0.23
Al-Lu-Pt-Rb-Sm,4,AUDC,0.07,0.43,0.36
Ca-Fe-Gd-Pb-Tb,2,SUN,0,0,0
Ca-Fe-Gd-Pb-Tb,3,SUN,0,0,0
Ca-Fe-Gd-Pb-Tb,4,SUN,0,0,0
Ca-Fe-Gd-Pb-Tb,2,AUDC,0.0,0.0,0.0
Ca-Fe-Gd-Pb-Tb,3,AUDC,0.0,0.0,0.0
Ca-Fe-Gd-Pb-Tb,4,AUDC,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,2,SUN,0,0,0
Co-Hg-Mg-Sr-W,3,SUN,0,0,0
Co-Hg-Mg-Sr-W,4,SUN,0,0,0
Co-Hg-Mg-Sr-W,2,AUDC,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,3,AUDC,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,4,AUDC,0.0,0.0,0.0
Cr-Fe-Lu-Pt-Sc,2,SUN,4,0,-4
Cr-Fe-Lu-Pt-Sc,3,SUN,0,0,0
Cr-Fe-Lu-Pt-Sc,4,SUN,0,0,0
Cr-Fe-Lu-Pt-Sc,2,AUDC,0.34,0.0,-0.34
Cr-Fe-Lu-Pt-Sc,3,AUDC,0.0,0.0,0.0
Cr-Fe-Lu-Pt-Sc,4,AUDC,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,2,SUN,1,4,3
Ho-In-Mg-Pd-Zr,3,SUN,1,0,-1
Ho-In-Mg-Pd-Zr,4,SUN,0,0,0
Ho-In-Mg-Pd-Zr,2,AUDC,0.17,0.42,0.24999999999999997
Ho-In-Mg-Pd-Zr,3,AUDC,0.07,0.0,-0.07
Ho-In-Mg-Pd-Zr,4,AUDC,0.0,0.0,0.0
