arm,step,rpc_id,rpc_response_line,candidate_hash,formula,e_above_hull,is_stable_at_evaluation,is_newly_discovered,SUN,SUN_delta,unique_structure_count,novel_vs_initial_reference_count
original_controller,24,70,142,17f0b5fe5d90f238c8d7165289943740f3efb97a8263c97e1dd25d6587b5b1a3,Al3 Pd5 Sm1,0.02585406833225168,True,False,6,0,11.0,24.0
original_controller,25,72,146,4772ee12e6a1dfd0c601a76481c0ac30aeb9faa5acda8c1534b91ca8b13e4635,Al3 Pd5 Sm2,0.11275272369385014,False,True,6,0,12.0,25.0
original_controller,26,74,150,2483251f55b41be3b123202bd614143835d531c0a96ee296251115b7deb42fed,Al3 Pd5 Sm2,0.05706577301025639,True,True,7,1,13.0,26.0
original_controller,27,76,154,07d27a701ea24a62b240fcb17911c512f78628d37c9ef245ddd25d361c5cedca,Al1 Pd3 Sm2,0.037295977274578895,True,False,7,0,13.0,27.0
original_controller,28,78,158,d09c2533d69a231527e3b8b66aeea86235c9de57f95a97223fd278f73d917ca1,Al1 Pd3 Sm2,0.03729852040608872,True,False,7,0,13.0,28.0
original_controller,29,84,170,48c93313dc6c9cdbe1fa4ceec4ae3aad79bd5b74ee30348c5f7e13f24cbc765b,Al1 Pd3 Sm2,0.03730487823486506,True,False,7,0,13.0,29.0
original_controller,30,86,174,d308e2399b14083352b1e5c5fcdad96700e110c941a8855181370371f09e9c47,Al1 Pd3 Sm2,0.037295977274578895,True,False,7,0,13.0,30.0
original_controller,31,88,178,9065f7daa4460066e3b295f56d140effee4cee70e702c5a1c38efa87120c6d6b,Al1 Pd2 Sm1,0.00561833381652832,True,False,7,0,13.0,31.0
original_controller,32,92,186,a5ab6a441fa25dc1fbef052e26a18edb2afa400d3de0d1f22b168f5fe4f01838,Al1 Pd2 Sm1,0.005597352981567383,True,False,7,0,13.0,32.0
original_controller,33,94,190,839e6d4e7ab248f7e5504c83d695e221081f118dfffc609fb1bbd86e3652ff89,Al1 Pd2 Sm1,0.0056002140045166016,True,False,7,0,13.0,33.0
original_controller,34,98,198,44b7be53f1340bf7afae240ce04b484f1614604f85ded753806eacda1572f9bc,Al1 Pd2 Sm1,0.005613565444946289,True,False,7,0,13.0,34.0
original_controller,35,100,202,12b55a8c5ea47fe81f97f64f1e0a26aaaf260ac2e8a36852923186a87f8bc3fd,Al1 Pd2 Sm1,0.0055921077728271484,True,False,7,0,13.0,35.0
original_controller,36,104,210,f756e3e5f944c5575c947e028fc92ea978f67c0f381a12a9d8ba503d1532c04e,Al1 Pd4 Sm2,0.2533774784633067,False,True,7,0,14.0,36.0
original_controller,37,110,222,2b411977eb40332972bb24a34b5d7b2c06be2880e9b3a38332a14b1d8042f790,Al1 Pd4 Sm2,0.025265121459958628,True,True,8,1,15.0,37.0
original_controller,38,112,226,2eb3c367ba5ab43fb1d0b4ffe42d4afcaed3f9e8d3a499878a2ebda3a181b200,Al1 Pd4 Sm3,0.2032707929611206,False,True,8,0,16.0,38.0
original_controller,39,118,238,70956e4f799cf88fb48d751e0013ad169bdfb33ed94f04dbb5549621c679bdb0,Al3 Pd5 Sm2,0.06571674346924006,True,False,8,0,16.0,39.0
original_controller,40,120,242,444f49cb2c065b8c2c6facec096ef49a55d4cb74c401287606ded5705b21d8b9,Al2 Pd4 Sm1,0.10477959769112566,False,True,8,0,17.0,40.0
original_controller,41,124,250,a3b7ce7637de4d68fe31337d82b01f95c36238760c432e3ddc8176fe400bbc92,Al3 Pd5 Sm2,0.0657140731811543,True,False,8,0,17.0,41.0
original_controller,42,126,254,f9697262a4e265f48c9360da1d3fbed47faa0c558e2413becc43c0459626267e,Al3 Pd5 Sm2,0.11293582916260014,False,False,8,0,17.0,42.0
original_controller,43,128,258,108b6f6467fede29eae032212908885da469329a1ffc0913b06e1d0a2b27f0a8,Al3 Pd5 Sm1,0.02589348687066284,True,False,8,0,17.0,43.0
original_controller,44,130,262,e4eace8b62ece3b03af5b4e5f2629b0fb54fa3ad9e103e6795dd792fd422d0df,Al1 Pd4 Sm3,0.08056342601776123,True,True,9,1,18.0,44.0
original_controller,45,132,266,539fc5bfb995725a1b1312d73bbc6a0a64f256d4de2aef2b94c24058beef91e9,Al1 Pd4 Sm2,0.16332337515694562,False,False,9,0,18.0,45.0
original_controller,46,134,270,ca9165388249e91548ea86e4e46dedb18f733bae4325a12f652d4aef15b7ff09,Al1 Pd2 Sm1,0.0056073665618896484,True,False,9,0,18.0,46.0
original_controller,47,136,274,6fa95df9978987784e1c5ff9742e2acf743425d2e7d5f2b9394f1a33c053e502,Al1 Pd2 Sm1,0.0056345462799072266,True,False,9,0,18.0,47.0
original_controller,48,138,278,de0b02cdc0f7f2a8a8e8418a9a5f2ab7818ec0b18b2dc6d18ccb3e7eb078b4c6,Al2 Pd3 Sm1,0.016025702158608546,True,False,9,0,18.0,48.0
original_controller,49,140,282,1c47f10aae176c89994767a795f291920730538cf9e7343f3260b085b81b71ad,Al2 Pd3 Sm1,0.01602125167846502,True,False,9,0,18.0,49.0
original_controller,50,142,286,46f8365bec46c16c6c1d7c0cc600ab397316f9ebe7c086b7838e0fa0466be80f,Al2 Pd3 Sm1,0.01602824529011837,True,False,9,0,18.0,50.0
schema_repaired_controller,1,4,10,7ecc8c8ba71111cf6cb601a5d2f7f9eef280a3a6201027048217ced726013344,Al1 Pd3 Sm1,0.06241737365722688,True,True,1,1,1.0,1.0
schema_repaired_controller,2,8,18,60a752ae0b93fd0802104624137f8ce4044c5dc6609411740d1cb9c5a32c8082,Al2 Pd2 Sm1,0.06955757141113317,True,True,2,1,2.0,2.0
schema_repaired_controller,3,10,22,835605b2bb6d13cb956322c610a5b1d788d52c9dc0aae07d45693c797fee06dc,Al1 Pd3 Sm1,0.3401525115966795,False,False,2,0,2.0,3.0
schema_repaired_controller,4,12,26,154891e6d99100f6cafaa1c513fb4af6916efd653d9acad008ea89e118da9ec5,Al1 Pd3 Sm1,0.06427284240722653,True,True,3,1,3.0,4.0
schema_repaired_controller,5,16,34,9624e6a05675c2de1f3b20473a5574fa792f0fe6f03d7abf97e88f3ad8f1bd04,Al1 Pd3 Sm1,0.06429878234863295,True,False,3,0,3.0,5.0
schema_repaired_controller,6,22,46,57758a36ba6118bd9e1daf3d3a5c5a9999cd8d073951117b0e50af99b971124d,Al1 Pd3 Sm2,0.03730456034342655,True,True,4,1,4.0,6.0
schema_repaired_controller,7,28,58,c30fd12867b5eced7102d045e631387a48f559a0444ea7d5d72c904374e7da86,Al1 Pd3 Sm2,0.03730201721191673,True,False,4,0,4.0,7.0
schema_repaired_controller,8,30,62,bf6f8361489345cb12d0e029396015e435e0617f41e313e81070e89701741870,Al1 Pd2 Sm1,0.005591869354248047,True,True,5,1,5.0,8.0
schema_repaired_controller,9,34,70,9c9702cffad3463bfca36275801e89b62ec269a5506bf8b6b0dac2ebeec7f79d,Al1 Pd3 Sm2,0.0372969309488953,True,False,5,0,5.0,9.0
schema_repaired_controller,10,36,74,afc8a546c3e64eb6deb2996e4976d8a2ddf129e1c616c5b1d182dfcdd5f9f90c,Al1 Pd2 Sm1,0.0056018829345703125,True,False,5,0,5.0,10.0
schema_repaired_controller,11,38,78,07183db72165a62e1be25859bf2c2e6abfef938b928094484069287ff30ac844,Al1 Pd2 Sm1,0.005592823028564453,True,False,5,0,5.0,11.0
schema_repaired_controller,12,42,86,dadd1d907e8354c0499e5aaafc3776de1a8b0ae842236170c309557a2c1589fe,Al2 Pd2 Sm1,0.0695987701416021,True,False,5,0,5.0,12.0
schema_repaired_controller,13,46,94,2a2450ec9f198f048bb99d2789e1d11da7eed96f4a2a57eac66f1b35328fc97b,Al1 Pd2 Sm1,0.005600452423095703,True,False,5,0,5.0,13.0
schema_repaired_controller,14,48,98,0b71eb4e062689d55bbdeaf03cd5297d9ff4e71a57c2097e37719acd758bc850,Al1 Pd2 Sm2,0.017187118530275214,True,True,6,1,6.0,14.0
schema_repaired_controller,15,50,102,70ee7028a8a99d8cb35f938aaca3f889104994a5ff989d2e7af99e5b1456af86,Al1 Pd3 Sm2,0.0372969309488953,True,False,6,0,6.0,15.0
schema_repaired_controller,16,54,110,b67216d89d065e74b7d1015027f0dd2ecff59d4a6319d0aa17d308f81c9ad2d1,Al1 Pd1 Sm3,0.14584225245884497,False,True,6,0,7.0,16.0
schema_repaired_controller,17,56,114,e9e9466fe00ced629b41ab65a2136eae028ebdc8870e0b5b7fc3ac08de0e202b,Al1 Pd1 Sm3,0.14544209071568126,False,False,6,0,7.0,17.0
schema_repaired_controller,18,58,118,19fca42103740028d5769bcdbfe721eb8981355bcdc7cfda66191e4f2661a885,Al1 Pd1 Sm3,0.1454714638846264,False,False,6,0,7.0,18.0
schema_repaired_controller,19,60,122,d8f1e3f74df2a352c513ca56c73dd64f6671441ad2e4a23914cfade736672058,Al1 Pd1 Sm3,0.14545506068638403,False,False,6,0,7.0,19.0
schema_repaired_controller,20,62,126,7c3bd5119b67e3863c49bec423868d48c50075450adfafb2f06c1c3a3af7fc53,Al2 Pd2 Sm1,0.0336456298828125,True,True,7,1,8.0,20.0
schema_repaired_controller,21,64,130,f69291ede4937ee7e96c87cc5348516c7b5752ffa6d46a00269ea9ac73c8eb86,Al1 Pd3 Sm1,0.16142250061035135,False,True,7,0,9.0,21.0
schema_repaired_controller,22,68,138,642dbcb36e6ff6ecd1ef3916bb699400404a0ee34c4d30001a55c69fa2dda080,Al2 Pd2 Sm1,0.0695598602294929,True,False,7,0,9.0,22.0
schema_repaired_controller,23,70,142,fc7669c87526ee1b3ce25ef0a6a1eb8c6038829114579ee728927dfe16c0243e,Al1 Pd3 Sm1,0.06253906249999996,True,True,8,1,10.0,23.0
schema_repaired_controller,24,72,146,32b6eb39ee11a96b17f57ed591b776b863300db383697381598b09acd8702200,Al1 Pd3 Sm1,0.08137184143066456,True,True,9,1,11.0,24.0
schema_repaired_controller,25,74,150,837096c72327fa2ab4185f985466e294c7d9bb7849a7134dcc2883bd31e9c69f,Al1 Pd2 Sm2,0.01719551086425941,True,False,9,0,11.0,25.0
schema_repaired_controller,26,76,154,2ff309914a9060d0ec02a1bb97aee2bc4240fdf06118a3afa4d1a93fa1ddedc5,Al2 Pd1 Sm1,0.07013781865437796,True,True,10,1,12.0,26.0
schema_repaired_controller,27,78,158,6b1cf89461e2f353d7ebb33965ebdbff651bad93eb3df988a491a82438ce110d,Al2 Pd1 Sm1,0.07013495763142874,True,False,10,0,12.0,27.0
schema_repaired_controller,28,80,162,06398dcac400e388f392914072903503a92e06d61bdf72c5c98ddb55552391eb,Al2 Pd1 Sm1,0.07014687856038382,True,False,10,0,12.0,28.0
schema_repaired_controller,29,82,166,775d976efa476da31df8867b255cc7dc1bdd0b1c15dc32f58f0993d0afd0affd,Al2 Pd1 Sm1,0.07012732823689749,True,False,10,0,12.0,29.0
schema_repaired_controller,30,84,170,f8c3e2dd5585800b0b81df8c18b9e9a46d988ceb8f65f9fbf6671f5d1d0a6378,Al1 Pd1 Sm2,0.05150454384939973,True,True,11,1,13.0,30.0
schema_repaired_controller,31,86,174,33f238a9e4604f2d5cc13f27bbf69832eb76663e34675ed69aef6d54c6f64350,Al1 Pd1 Sm2,0.05156700951712434,True,False,11,0,13.0,31.0
schema_repaired_controller,32,88,178,1aec027b0b30b1743109b41151edc73686320dab2fd9bb36e80f34c839c9f644,Al1 Pd1 Sm2,0.05150454384939973,True,False,11,0,13.0,32.0
schema_repaired_controller,33,90,182,69fa581c0fb8128ce08d0f28a95a0d70693e58967d81eb9897b8f53517c29ae1,Al1 Pd3 Sm2,0.037314097086590614,True,False,11,0,13.0,33.0
schema_repaired_controller,34,92,186,e5fdaecf65fb26d0c384ee397f43c00803d7d1be64d12cd6b93048494983c610,Al1 Pd3 Sm2,0.037314097086590614,True,False,11,0,13.0,34.0
schema_repaired_controller,35,94,190,8c7be2919422fc164fb71701037108b3c4cfce4fd040310c5555bf8350559263,Al1 Pd3 Sm2,0.03730201721191673,True,False,11,0,13.0,35.0
schema_repaired_controller,36,100,202,d69f75367438568e671182d5d27c614c16f4e2aabb6ffdf601ab51c1a7fd63d7,Al1 Pd3 Sm2,0.03729502360026249,True,False,11,0,13.0,36.0
schema_repaired_controller,37,104,210,69e522f15d0b733b2212ce02eacd60e1d63fa64a9ba5aeee0a6802ea31c81a48,Al1 Pd3 Sm2,0.07471847534179954,True,True,12,1,14.0,37.0
schema_repaired_controller,38,110,222,8916f4aff3ebce0b856bf8fc09982363ea105ade85031740f3448852b97c54fb,Al1 Pd3 Sm2,0.07481193542480735,True,False,12,0,14.0,38.0
schema_repaired_controller,39,112,226,0882cf2451b7f5d00474b70485c7d68f967be40f3e4627b975c2e0532435512d,Al2 Pd2 Sm1,0.033654403686523615,True,False,12,0,14.0,39.0
schema_repaired_controller,40,118,238,1977cab724e3a320a3f6adf809905338ab8307254c81b2470821f39bcb0fa9c8,Al1 Pd3 Sm2,0.06278610229492454,True,True,13,1,15.0,40.0
schema_repaired_controller,41,122,246,dc0839d53b9c977be2634fa9cc16ef769f7328b719e912b36c4b93bd4096ca2f,Al2 Pd2 Sm1,0.033677291870117365,True,False,13,0,15.0,41.0
schema_repaired_controller,42,124,250,e18d72178f9ce79e16c9378778c7c48e3faa7aa2e4222d4b452faba246e62e8c,Al1 Pd1 Sm1,0.09590339660644531,True,True,14,1,16.0,42.0
schema_repaired_controller,43,128,258,c38449271fd6e932ef329910e6d18540588525c5cc725aba943c17e009f3a572,Al1 Pd1 Sm1,0.09590276082356741,True,False,14,0,16.0,43.0
schema_repaired_controller,44,130,262,7675aeb49b990f76beb4f2ba791c451c13a8882584bdd04be74be45c2411c970,Al1 Pd1 Sm1,0.09591992696126272,True,False,14,0,16.0,44.0
schema_repaired_controller,45,132,266,de43748bb95ad518b7244f706cd70eaaa4d62966f187e829c361d1d5cdcde77f,Al1 Pd1 Sm1,0.0959475835164385,True,False,14,0,16.0,45.0
schema_repaired_controller,46,134,270,0d8b7c6e92cffddc6062faca7692c66e063748c429e5de3256709cfe6aa3849b,Al1 Pd2 Sm3,0.05214556058247766,True,True,15,1,17.0,46.0
schema_repaired_controller,47,136,274,77935a68cbcb182b6d0782520371c6934907ec7d96276a98ea6d140a22e02b20,Al1 Pd2 Sm3,0.052118539810179776,True,False,15,0,17.0,47.0
schema_repaired_controller,48,154,310,090e6589475d242f398ab5e5e5043ee4797602ca438ce5625c9e69839ae72413,Al1 Pd2 Sm3,0.05210868517557632,True,False,15,0,17.0,48.0
schema_repaired_controller,49,156,314,148e15e2dae830e6ad9315bb0aa6bc243c54640655d0361fed76fa074fff58f6,Al1 Pd2 Sm3,0.05219451586405288,True,False,15,0,17.0,49.0
schema_repaired_controller,50,158,318,cb5820e38e3ab32c87025272e1c332b3fabcbc815ae8ef64920127306822cadb,Al1 Pd2 Sm3,0.05217289924621493,True,False,15,0,17.0,50.0
