job_id,task_id,method,seed,official_SUN,official_AUDC,official_mSUN,acceptance_kind,attempts,stable,novel,stable_new,non_novel,stable_non_novel,unstable_novel,unstable_non_novel,net_SUN_gain,reclassified_loss,SUN_negative_steps,SUN_downward_magnitude,stable_new_zero_delta,exact_hash_repeated_in_episode,non_novel_with_previous_exact_hash,stable_rate,novel_rate,stable_new_rate,stable_given_novel,unique_formulas,formula_top1_fraction,formula_hhi
budget-final-made-97d1fb7e98d5309331d50d42,Au-Cr-Cs-Dy,baseline,1,14,0.1224,0.28,per_job_receipt,50,14,48,14,2,0,34,2,14,0,0,0,0,0,0,0.28,0.96,0.28,0.2916666666666667,23,0.28,0.1136
budget-final-made-8ca7d92576ad4c90ccffa3d0,Au-Cr-Cs-Dy,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,41,0,9,0,41,9,0,0,0,0,0,0,0,0.0,0.82,0.0,0.0,10,0.32,0.18000000000000002
budget-final-made-bf45d389db6c5a3804655cb7,Au-K-Tb,baseline,1,8,0.1464,0.16,per_job_receipt,50,9,46,8,4,1,38,3,8,0,0,0,0,0,0,0.18,0.92,0.16,0.17391304347826086,23,0.14,0.064
budget-final-made-8c995b568fd183ae5f7c6b0a,Au-K-Tb,esopt_graph_risk,1,2,0.0136,0.04,per_job_receipt,50,12,29,2,21,10,27,11,2,0,0,0,0,0,0,0.24,0.58,0.04,0.06896551724137931,2,0.72,0.5968
budget-final-made-99ac8ae0e79f60c5b9a3d6ac,Au-Tb-V-Y,baseline,1,0,0.0,0.0,per_job_receipt,50,0,41,0,9,0,41,9,0,0,0,0,0,0,0,0.0,0.82,0.0,0.0,30,0.08,0.0456
budget-final-made-371f12d508cc3c279aba7dd8,Au-Tb-V-Y,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,49,0,1,0,49,1,0,0,0,0,0,0,0,0.0,0.98,0.0,0.0,17,0.16,0.08800000000000001
budget-final-made-b21b1bfa763e702ada5d4f06,Ba-Be-Hf-Li,baseline,1,0,0.0,0.0,per_job_receipt,50,0,46,0,4,0,46,4,0,0,0,0,0,0,0,0.0,0.92,0.0,0.0,27,0.12,0.057600000000000005
budget-final-made-0a553a8fca3b3c1b6a1c0a7a,Ba-Be-Hf-Li,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,39,0,11,0,39,11,0,0,0,0,0,0,0,0.0,0.78,0.0,0.0,16,0.18,0.1
budget-final-made-27b340ac02680a520001fad4,Ba-Nd-Ni-W,baseline,1,0,0.0,0.0,per_job_receipt,50,0,48,0,2,0,48,2,0,0,0,0,0,0,0,0.0,0.96,0.0,0.0,18,0.18,0.0912
budget-final-made-361749a605a9c1595ba3e5a1,Ba-Nd-Ni-W,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,22,0,28,0,22,28,0,0,0,0,0,0,0,0.0,0.44,0.0,0.0,1,1.0,1.0
budget-final-made-2a82fd8c529f1d994c979631,Ca-Fe-Gd-Pb-Tb,baseline,1,3,0.05,0.06,per_job_receipt,50,3,48,3,2,0,45,2,3,0,0,0,0,0,0,0.06,0.96,0.06,0.0625,28,0.1,0.048
budget-final-made-59acc7bb234561ecbe03bebe,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,39,0,11,0,39,11,0,0,0,0,0,0,0,0.0,0.78,0.0,0.0,10,0.54,0.3416
budget-final-made-fbe5688a5197faa3a4f26367,Ca-Pd-Sn-W,baseline,1,0,0.0,0.0,per_job_receipt,50,0,44,0,6,0,44,6,0,0,0,0,0,0,0,0.0,0.88,0.0,0.0,16,0.2,0.12880000000000003
budget-final-made-87d829b3213cc2ccb26373e1,Ca-Pd-Sn-W,esopt_graph_risk,1,1,0.0396,0.02,per_job_receipt,50,1,36,1,14,0,35,14,1,0,0,0,0,0,0,0.02,0.72,0.02,0.027777777777777776,22,0.16,0.0752
budget-final-made-5cd0ddb780469e444a06fc62,Cd-Gd-Mn-Na-Ta,baseline,1,0,0.0,0.0,per_job_receipt,50,0,48,0,2,0,48,2,0,0,0,0,0,0,0,0.0,0.96,0.0,0.0,21,0.12,0.0728
budget-final-made-25d828a31bf2afcd937ff666,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,47,0,3,0,47,3,0,0,0,0,0,0,0,0.0,0.94,0.0,0.0,12,0.28,0.14320000000000002
budget-final-made-81de99ff284030717967ed76,Cd-Li-Nd-Ti-W,baseline,1,2,0.0776,0.04,per_job_receipt,50,6,43,2,7,4,41,3,2,0,0,0,0,0,0,0.12,0.86,0.04,0.046511627906976744,23,0.12,0.0616
budget-final-made-a1d56889c767262394b770e2,Cd-Li-Nd-Ti-W,esopt_graph_risk,1,3,0.0844,0.06,per_job_receipt,50,4,37,3,13,1,34,12,3,0,0,0,0,0,0,0.08,0.74,0.06,0.08108108108108109,8,0.76,0.5888
budget-final-made-442d6aac6d7fce0df3d1b5b9,Ce-Er-Pb-Rh,baseline,1,3,0.0924,0.06,per_job_receipt,50,3,48,3,2,0,45,2,3,0,0,0,0,0,0,0.06,0.96,0.06,0.0625,30,0.1,0.047200000000000006
budget-final-made-a9f42a5c3df0697d731894c9,Ce-Er-Pb-Rh,esopt_graph_risk,1,9,0.206,0.18,per_job_receipt,50,17,30,9,20,8,21,12,9,0,0,0,0,0,0,0.34,0.6,0.18,0.3,11,0.24,0.1344
budget-final-made-45365b504c0ac1b190013103,Ce-Ir-Pt-Sn,baseline,1,7,0.1644,0.14,per_job_receipt,50,11,37,8,13,3,29,10,7,1,0,0,1,0,0,0.22,0.74,0.16,0.21621621621621623,18,0.12,0.0752
budget-final-made-bb8159ca9a49151f7902da49,Ce-Ir-Pt-Sn,esopt_graph_risk,1,11,0.2452,0.22,per_job_receipt,50,23,37,11,13,12,26,1,11,0,0,0,0,0,0,0.46,0.74,0.22,0.2972972972972973,10,0.3,0.1744
budget-final-made-d6fc96298c3f2bace02de4f1,Co-Dy-Ta-Y,baseline,1,0,0.0,0.0,per_job_receipt,50,0,49,0,1,0,49,1,0,0,0,0,0,0,0,0.0,0.98,0.0,0.0,33,0.08,0.0392
budget-final-made-a69bf2fbb5e1c33fcc277477,Co-Dy-Ta-Y,esopt_graph_risk,1,11,0.1908,0.22,per_job_receipt,50,11,48,11,2,0,37,2,11,0,0,0,0,0,0,0.22,0.96,0.22,0.22916666666666666,19,0.28,0.168
budget-final-made-4852659a8da421cffe472868,Co-Dy-W,baseline,1,1,0.034,0.02,per_job_receipt,50,2,40,1,10,1,39,9,1,0,0,0,0,0,0,0.04,0.8,0.02,0.025,24,0.12,0.0584
budget-final-made-2aa23651070d557dd1798aaf,Co-Dy-W,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,29,0,21,0,29,21,0,0,0,0,0,0,0,0.0,0.58,0.0,0.0,10,0.26,0.1496
budget-final-made-339cc9960fdb3dd15eb7a385,Co-Hf-In-Ru-Tm,baseline,1,0,0.0,0.0,per_job_receipt,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,25,0.12,0.0632
budget-final-made-696722e1920faee55ba5bb13,Co-Hf-In-Ru-Tm,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,32,0,18,0,32,18,0,0,0,0,0,0,0,0.0,0.64,0.0,0.0,13,0.2,0.11600000000000002
budget-final-made-4db6d3deb619f440b7b2c6e4,Co-Hg-Mg-Sr-W,baseline,1,0,0.0,0.0,per_job_receipt,50,0,45,0,5,0,45,5,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,27,0.12,0.0512
budget-final-made-b6f6d11565bd714bb5123b47,Co-Hg-Mg-Sr-W,esopt_graph_risk,1,4,0.1504,0.08,per_job_receipt,50,5,28,4,22,1,24,21,4,0,0,0,0,0,0,0.1,0.56,0.08,0.14285714285714285,18,0.14,0.08320000000000001
budget-final-made-a4b419bfd299830e3ddd0ac9,Co-Mg-Na,baseline,1,0,0.0,0.0,per_job_receipt,50,0,46,0,4,0,46,4,0,0,0,0,0,0,0,0.0,0.92,0.0,0.0,20,0.28,0.12000000000000001
budget-final-made-867bc3d2d51a6f76a133984a,Co-Mg-Na,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,36,0,14,0,36,14,0,0,0,0,0,0,0,0.0,0.72,0.0,0.0,17,0.26,0.12560000000000002
budget-final-made-e5490b1842d80aa458d12c64,Co-Pd-Tl,baseline,1,29,0.7068,0.58,per_job_receipt,50,36,43,29,7,7,14,0,29,0,0,0,0,0,0,0.72,0.86,0.58,0.6744186046511628,18,0.14,0.0816
budget-final-made-b9d3f700f718a9f5be723b23,Co-Pd-Tl,esopt_graph_risk,1,2,0.052,0.04,per_job_receipt,50,2,42,2,8,0,40,8,2,0,0,0,0,0,0,0.04,0.84,0.04,0.047619047619047616,19,0.14,0.07440000000000001
budget-final-made-5580309187278a94e12a461b,Cr-Fe-Lu-Pt-Sc,baseline,1,0,0.0,0.0,per_job_receipt,50,0,44,0,6,0,44,6,0,0,0,0,0,0,0,0.0,0.88,0.0,0.0,15,0.28,0.136
budget-final-made-271c5a74480fa1c6c7400c98,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,34,0,16,0,34,16,0,0,0,0,0,0,0,0.0,0.68,0.0,0.0,1,1.0,1.0
budget-final-made-ce8c1d0d1e0ada7e7ba77722,Dy-K-Pd-Sm,baseline,1,0,0.0,0.0,per_job_receipt,50,0,47,0,3,0,47,3,0,0,0,0,0,0,0,0.0,0.94,0.0,0.0,18,0.18,0.09040000000000001
budget-final-made-050eede50ef4209f220a4efa,Dy-K-Pd-Sm,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,42,0,8,0,42,8,0,0,0,0,0,0,0,0.0,0.84,0.0,0.0,18,0.14,0.0752
budget-final-made-f4cbfacc7bbe6db828b0d13e,Eu-Nb-Sn-Tl,baseline,1,0,0.0,0.0,per_job_receipt,50,0,49,0,1,0,49,1,0,0,0,0,0,0,0,0.0,0.98,0.0,0.0,23,0.24,0.108
budget-final-made-5e63c3eda07bc06010145cf3,Eu-Nb-Sn-Tl,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,25,0,25,0,25,25,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,6,0.34,0.2544
budget-final-made-24b480a71e7c8ec3d54831ad,Ga-Ho-Lu,baseline,1,18,0.404,0.36,per_job_receipt,50,24,41,18,9,6,23,3,18,0,0,0,0,0,0,0.48,0.82,0.36,0.43902439024390244,23,0.16,0.07440000000000001
budget-final-made-3b2aabc82d30bd310fe51fa5,Ga-Ho-Lu,esopt_graph_risk,1,19,0.4356,0.38,per_job_receipt,50,23,41,19,9,4,22,5,19,0,0,0,0,0,0,0.46,0.82,0.38,0.4634146341463415,19,0.16,0.0824
budget-final-made-b6204e6724253ea7e4bf6271,Ga-Pt-Tm,baseline,1,18,0.3664,0.36,independent_derived_acceptance,50,38,30,21,20,17,9,3,18,3,1,2,0,0,0,0.76,0.6,0.42,0.7,21,0.24,0.1032
budget-final-made-393420e0fc1e90e5e8dfacef,Ga-Pt-Tm,esopt_graph_risk,1,13,0.3004,0.26,per_job_receipt,50,40,18,13,32,27,5,5,13,0,0,0,0,0,0,0.8,0.36,0.26,0.7222222222222222,7,0.32,0.2168
budget-final-made-81aef4f866f8676dc3cfc1ef,Hf-Ni-Zr,baseline,1,17,0.3236,0.34,per_job_receipt,50,18,46,17,4,1,29,3,17,0,0,0,0,0,0,0.36,0.92,0.34,0.3695652173913043,20,0.12,0.07680000000000001
budget-final-made-abfe69c6d613d729f001ae4c,Hf-Ni-Zr,esopt_graph_risk,1,16,0.3608,0.32,per_job_receipt,50,19,42,16,8,3,26,5,16,0,0,0,0,0,0,0.38,0.84,0.32,0.38095238095238093,25,0.12,0.060000000000000005
budget-final-made-285f7a20c6d71c9f81b654b5,Ho-In-Mg-Pd-Zr,baseline,1,18,0.3392,0.36,per_job_receipt,50,21,44,18,6,3,26,3,18,0,0,0,0,0,0,0.42,0.88,0.36,0.4090909090909091,19,0.16,0.076
budget-final-made-76df2600b6fe395bf48ab5d6,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,0,0.0,0.0,per_job_receipt,50,0,35,0,15,0,35,15,0,0,0,0,0,0,0,0.0,0.7,0.0,0.0,4,0.46,0.39599999999999996
budget-final-made-0e9440fea1447a2443ea9b28,Mg-Sn-Sr,baseline,1,41,0.7748,0.82,per_job_receipt,50,47,44,41,6,6,3,0,41,0,0,0,0,0,0,0.94,0.88,0.82,0.9318181818181818,12,0.38,0.1928
budget-final-made-10d466b36bfb2baaad28c932,Mg-Sn-Sr,esopt_graph_risk,1,14,0.4152,0.28,per_job_receipt,50,36,21,14,29,22,7,7,14,0,0,0,0,0,0,0.72,0.42,0.28,0.6666666666666666,7,0.34,0.23840000000000003
