AUDC,SUN,arm,benchmark,budget,candidate_oracle_calls,capture_seconds,cohort,completion_tokens,decision_rows,difficulty,environment_calls,episode_wall_seconds,generation_calls,initialization_oracle_calls,initialization_wall_seconds,job_id,mSUN,policy_seed,pooling_forwards,prompt_tokens,registered_budget_unit,registered_state,rpc_attempts,status,surrogate_oracle_calls,task,task_progress,task_success,whole_job_wall_seconds,world,stratum,total_tokens,action_success_rate,agent_attempts,bootstrap_ticks,explicit_tick_returns,scenario_warmup_ticks,completion_sha256
0.17,1,Native,MADE,10,10,0.0,MADE,3883,25,,23,638.6321137845516,25,11,35.59712552279234,made-core-v2-Au-K-Tb-b10-s504-Native1,0.1,504,0,40555,candidate_oracle_attempts,pending,46,accepted,223,Au-K-Tb,,,815.0714667802677,,Au-K-Tb,44438,,,,,,52821d63736f05e861a7505d98432438123b57bedb665a13163faa4982723b5d
0.24,2,ActionPool2,MADE,10,10,41.915994143113494,MADE,6042,21,,21,728.6171546280384,42,11,31.298335706815124,made-core-v2-Au-K-Tb-b10-s504-ActionPool2,0.2,504,44,69242,candidate_oracle_attempts,pending,42,accepted,60,Au-K-Tb,,,893.125056380406,,Au-K-Tb,75284,,,,,,f053cb0d4b5e352207829d25b3de1c261b23898a2228915109d2a88705c967ea
0.84,8,Native,MADE,10,10,0.0,MADE,3758,29,,29,550.3966146018356,29,96,200.87891819886863,made-core-v2-Mg-Sn-Sr-b10-s505-Native1,0.8,505,0,67906,candidate_oracle_attempts,pending,58,accepted,11,Mg-Sn-Sr,,,903.1761318137869,,Mg-Sn-Sr,71664,,,,,,0a749cf2b4d502d2e5a853f2a4e34cb18046cd4d0747830d309766d850e8a94d
0.86,8,ActionPool2,MADE,10,10,65.78930613771081,MADE,8425,29,,28,1111.5435809660703,58,96,176.70251986477524,made-core-v2-Mg-Sn-Sr-b10-s505-ActionPool2,0.8,505,62,102776,candidate_oracle_attempts,pending,56,accepted,225,Mg-Sn-Sr,,,1428.115376622416,,Mg-Sn-Sr,111201,,,,,,802b89436b1eb3ee0682670f0fbb999841dbba627d2ad845184416ab700b2bfd
0.19,1,Native,MADE,10,10,0.0,MADE,2144,15,,14,263.191290597897,15,11,31.28691790672019,made-core-v2-Au-K-Tb-b10-s505-Native1,0.1,505,0,37545,candidate_oracle_attempts,pending,28,accepted,30,Au-K-Tb,,,427.7135030692443,,Au-K-Tb,39689,,,,,,18070efc11465952bfe5deadb8191c0d729b764e602e878b32b8cf1f544ea741
0.19,1,ActionPool2,MADE,10,10,59.99051641859114,MADE,5429,18,,18,661.9783315928653,36,11,32.82430770993233,made-core-v2-Au-K-Tb-b10-s505-ActionPool2,0.1,505,48,80346,candidate_oracle_attempts,pending,36,accepted,76,Au-K-Tb,,,840.0034662038088,,Au-K-Tb,85775,,,,,,2a8151c5d12fb81fd4cb2c56644dc6174cc999138fa7753dd456306e9dc1133b
0.85,7,Native,MADE,10,10,0.0,MADE,3037,22,,21,406.6122336862609,22,96,182.33170265890658,made-core-v2-Mg-Sn-Sr-b10-s506-Native1,0.7,506,0,38823,candidate_oracle_attempts,pending,42,accepted,94,Mg-Sn-Sr,,,724.8227568306029,,Mg-Sn-Sr,41860,,,,,,2caea2691d143e401a9637234d2d2062b54f958fb9cc411e0684e96c7d275ebb
0.43,5,ActionPool2,MADE,10,10,72.01740062702447,MADE,6374,24,,24,948.7801610748284,48,96,199.2050328180194,made-core-v2-Mg-Sn-Sr-b10-s506-ActionPool2,0.5,506,54,96305,candidate_oracle_attempts,pending,48,accepted,69,Mg-Sn-Sr,,,1286.6179607920349,,Mg-Sn-Sr,102679,,,,,,91a87c4f2ba19be520c25e0703ab4e7d1cb3b4a3412d586caf972770f47116af
0.48,4,Native,MADE,10,10,0.0,MADE,3232,24,,24,587.9090509233065,24,11,35.22034797212109,made-core-v2-Au-K-Tb-b10-s506-Native1,0.4,506,0,47200,candidate_oracle_attempts,pending,48,accepted,175,Au-K-Tb,,,764.8702057576738,,Au-K-Tb,50432,,,,,,97407522ccc271bbb61c35a524f90a1f2af98f99e4da367f3020c9573fb97fb4
0.0,0,ActionPool2,MADE,10,10,74.22075756220147,MADE,7015,26,,26,1047.3438550918363,52,11,33.80301617505029,made-core-v2-Au-K-Tb-b10-s506-ActionPool2,0.0,506,62,98393,candidate_oracle_attempts,pending,52,accepted,111,Au-K-Tb,,,1211.7090457598679,,Au-K-Tb,105408,,,,,,fa82991f6154c68901ad607f8a7ab06f5a21c0f577645bab3dda819730934b8d
0.86,8,Native,MADE,10,10,0.0,MADE,2167,17,,17,275.6350963730365,17,96,196.1153174121864,made-core-v2-Mg-Sn-Sr-b10-s507-Native1,0.8,507,0,31520,candidate_oracle_attempts,pending,34,accepted,6,Mg-Sn-Sr,,,613.0503888116218,,Mg-Sn-Sr,33687,,,,,,84048634c462642e30cc0baeee7e4e4b23c689ac0a2ed61f022f4d2a73112cd2
0.75,7,ActionPool2,MADE,10,10,50.23060187790543,MADE,4957,15,,15,564.6087523782626,30,96,180.86912707984447,made-core-v2-Mg-Sn-Sr-b10-s507-ActionPool2,0.7,507,44,56904,candidate_oracle_attempts,pending,30,accepted,,Mg-Sn-Sr,,,879.8457246245816,,Mg-Sn-Sr,61861,,,,,,301398ca77ada7160b45e584fcb4030af53c42b06cd75ba8f98a1741bd1cf0eb
0.29,3,Native,MADE,10,10,0.0,MADE,2515,20,,20,454.10971521865577,20,11,31.832000605762005,made-core-v2-Au-K-Tb-b10-s507-Native1,0.3,507,0,31300,candidate_oracle_attempts,pending,40,accepted,202,Au-K-Tb,,,624.1013877447695,,Au-K-Tb,33815,,,,,,0a54c9b2b495a852b4f01187f11be059532197ddbb56a3759fcadafaf21e9de7
0.25,5,ActionPool2,MADE,10,10,47.34319616667926,MADE,6004,22,,22,846.8660363554955,44,11,31.622618510387838,made-core-v2-Au-K-Tb-b10-s507-ActionPool2,0.5,507,44,80022,candidate_oracle_attempts,pending,44,accepted,161,Au-K-Tb,,,1013.45487129502,,Au-K-Tb,86026,,,,,,3c36bd5cdf6f012cc29aeb86098289ed930b32b3d72ee3373168da44501f20ca
1.0,10,Native,MADE,10,10,0.0,MADE,3854,23,,22,629.4276710385457,23,96,178.05559076927602,made-core-v2-Mg-Sn-Sr-b10-s508-Native1,1.0,508,0,45491,candidate_oracle_attempts,pending,44,accepted,158,Mg-Sn-Sr,,,947.6417111773044,,Mg-Sn-Sr,49345,,,,,,f295cd6068632cc7ee6905f46c085decdf8ddeb0433ba8582c2b26742d167a3c
0.51,5,ActionPool2,MADE,10,10,36.09265706455335,MADE,3705,12,,12,465.1087105269544,24,96,191.37876212922856,made-core-v2-Mg-Sn-Sr-b10-s508-ActionPool2,0.5,508,28,49152,candidate_oracle_attempts,pending,24,accepted,,Mg-Sn-Sr,,,796.2417414817028,,Mg-Sn-Sr,52857,,,,,,5fd4eed51f19ee748206cb0d1c24797317fd56206a2251ff9011077c560a1a5e
0.3,4,Native,MADE,10,10,0.0,MADE,2613,21,,21,427.4143357221037,21,11,34.55804331274703,made-core-v2-Au-K-Tb-b10-s508-Native1,0.4,508,0,45674,candidate_oracle_attempts,pending,42,accepted,30,Au-K-Tb,,,601.7995459199883,,Au-K-Tb,48287,,,,,,b543abe9e43ddb18065f929f32aecc3749fe4079b943631f7cb0a8a16a0d031b
0.15,1,ActionPool2,MADE,10,10,61.0436134673655,MADE,6116,23,,23,814.1681879330426,46,11,35.221219681203365,made-core-v2-Au-K-Tb-b10-s508-ActionPool2,0.1,508,52,86465,candidate_oracle_attempts,pending,46,accepted,62,Au-K-Tb,,,990.6746386378072,,Au-K-Tb,92581,,,,,,d09f79c05e0b3759f722461792bda8760c695366798c4d804e11f259cc201156
0.84,8,Native,MADE,10,10,0.0,MADE,3477,24,,23,512.371872398071,24,96,189.24020277382806,made-core-v2-Mg-Sn-Sr-b10-s509-Native1,0.8,509,0,48252,candidate_oracle_attempts,pending,46,accepted,116,Mg-Sn-Sr,,,840.5781980371103,,Mg-Sn-Sr,51729,,,,,,15446ac96fdb5c3d08454cf07b4d42e63a297a086c7a19cf8c7a739df32d39af
0.56,6,ActionPool2,MADE,10,10,74.97767517901957,MADE,6887,23,,23,812.657867513597,46,96,178.03998165391386,made-core-v2-Mg-Sn-Sr-b10-s509-ActionPool2,0.6,509,56,103658,candidate_oracle_attempts,pending,46,accepted,28,Mg-Sn-Sr,,,1130.0153781594709,,Mg-Sn-Sr,110545,,,,,,4b9464a841a1c9f0477ac49468868090c87a853b338936fb19607ca3503326f0
0.17,1,Native,MADE,10,10,0.0,MADE,2319,18,,17,284.1828734204173,18,11,32.58510612975806,made-core-v2-Au-K-Tb-b10-s509-Native1,0.1,509,0,45256,candidate_oracle_attempts,pending,34,accepted,29,Au-K-Tb,,,451.71265927515924,,Au-K-Tb,47575,,,,,,c8ab3810d4b2a436cc6baeae59d06121ee5903264f81d99a52b7050199a8fb23
0.24,2,ActionPool2,MADE,10,10,51.774002611637115,MADE,5051,20,,20,610.0954952752218,40,11,31.829025188460946,made-core-v2-Au-K-Tb-b10-s509-ActionPool2,0.2,509,46,75437,candidate_oracle_attempts,pending,40,accepted,29,Au-K-Tb,,,773.1510360678658,,Au-K-Tb,80488,,,,,,6d536e48dc626796d60bfe90cbf7bae9595edd8552990d7784252e77ef28ae0f
0.8,8,Native,MADE,10,10,0.0,MADE,2389,20,,20,400.6945356000215,20,96,180.06205156631768,made-core-v2-Mg-Sn-Sr-b10-s510-Native1,0.8,510,0,37555,candidate_oracle_attempts,pending,40,accepted,147,Mg-Sn-Sr,,,725.8428482348099,,Mg-Sn-Sr,39944,,,,,,e79d5a4a62c0efd450e98077e96f43caefbdabcbb79b0591865b4cdd3c873971
0.71,7,ActionPool2,MADE,10,10,45.70953877735883,MADE,5172,17,,17,595.4082405017689,34,96,179.7318081529811,made-core-v2-Mg-Sn-Sr-b10-s510-ActionPool2,0.7,510,40,59112,candidate_oracle_attempts,pending,34,accepted,34,Mg-Sn-Sr,,,910.9114598920569,,Mg-Sn-Sr,64284,,,,,,fc77d29f2ac40fac5aca47669cb395119c66153a174fa8f32d6f18cd3ac82d10
0.26,2,Native,MADE,10,10,0.0,MADE,2512,20,,20,455.58758598472923,20,11,32.965492574032396,made-core-v2-Au-K-Tb-b10-s510-Native1,0.2,510,0,40848,candidate_oracle_attempts,pending,40,accepted,225,Au-K-Tb,,,629.9154237508774,,Au-K-Tb,43360,,,,,,44e84cefd2284d0f006a4b9d5159469135b6dd33953c53fc7b24df556431dd7a
0.31,3,ActionPool2,MADE,10,10,59.60721930209547,MADE,5223,20,,20,758.6178948408924,40,11,32.860953081864864,made-core-v2-Au-K-Tb-b10-s510-ActionPool2,0.3,510,52,79003,candidate_oracle_attempts,pending,40,accepted,147,Au-K-Tb,,,929.3137329700403,,Au-K-Tb,84226,,,,,,7a5f1563ca3ae569b8048d6ca034bc8c80f4626494168718103690105816682e
0.9,18,Native,MADE,20,20,0.0,MADE,6815,49,,47,1029.8039966239594,49,96,177.67284990800545,made-core-v2-Mg-Sn-Sr-b20-s501-Native1,0.9,501,0,90552,candidate_oracle_attempts,pending,94,accepted,293,Mg-Sn-Sr,,,1342.7591012166813,,Mg-Sn-Sr,97367,,,,,,0a91167d14daae9b08bae63274ee1c2a636db1740938aa37dca22953d6b35186
0.63,14,ActionPool2,MADE,20,20,102.88861863967031,MADE,9717,35,,35,1310.9484747452661,70,96,183.18376064579934,made-core-v2-Mg-Sn-Sr-b20-s501-ActionPool2,0.7,501,90,132876,candidate_oracle_attempts,pending,70,accepted,152,Mg-Sn-Sr,,,1637.1152278808877,,Mg-Sn-Sr,142593,,,,,,325a102fa1df3b5c54afe4e02e80a77dad70dd5db73a662ee010ec3015a4b864
0.035,2,Native,MADE,20,20,0.0,MADE,5957,51,,50,1261.5488473027945,51,11,38.00918312370777,made-core-v2-Au-K-Tb-b20-s501-Native1,0.1,501,0,79071,candidate_oracle_attempts,pending,100,accepted,501,Au-K-Tb,,,1439.5848096371628,,Au-K-Tb,85028,,,,,,369ce4888ccdaaaccdf9d601e8a53067b118bb90b9a314d9ebd4f092ec2efeb8
0.04,2,ActionPool2,MADE,20,20,116.5057214340195,MADE,11574,42,,42,1497.153377215378,84,11,31.586309884674847,made-core-v2-Au-K-Tb-b20-s501-ActionPool2,0.1,501,104,162311,candidate_oracle_attempts,pending,84,accepted,260,Au-K-Tb,,,1675.7188183702528,,Au-K-Tb,173885,,,,,,7bace59bdea802144e61c169c1667c0865d7cd38424ddc09a59fe8042fb2eb40
0.86,14,Native,MADE,20,20,0.0,MADE,9063,70,,71,1415.8807524042204,70,96,192.24982549110427,made-core-v2-Mg-Sn-Sr-b20-s502-Native1,0.7,502,0,111432,candidate_oracle_attempts,pending,142,accepted,473,Mg-Sn-Sr,,,1746.7154097110033,,Mg-Sn-Sr,120495,,,,,,354b2cbb07c341462c0ae26770cce803d3d69f239db38c2f204608b235a55a6f
0.7825,13,ActionPool2,MADE,20,20,98.90284559316933,MADE,9642,36,,36,1168.1293537896127,72,96,177.6886781109497,made-core-v2-Mg-Sn-Sr-b20-s502-ActionPool2,0.65,502,80,163498,candidate_oracle_attempts,pending,72,accepted,42,Mg-Sn-Sr,,,1481.1982228485867,,Mg-Sn-Sr,173140,,,,,,3011f30bbfd2e38b7b5edd820b0b7e27bd5d896295493bdede02de7b97c02624
0.215,4,Native,MADE,20,20,0.0,MADE,5787,47,,47,1474.2384025603533,47,11,37.003003211226314,made-core-v2-Au-K-Tb-b20-s502-Native1,0.2,502,0,64641,candidate_oracle_attempts,pending,94,accepted,520,Au-K-Tb,,,1646.7452807636,,Au-K-Tb,70428,,,,,,ae164bf531032f80c7f9a238ed35c7847189a71bd7470322655755ff2eb9abc3
0.62,12,ActionPool2,MADE,20,20,108.42129699420184,MADE,11590,44,,44,1675.6092626471072,88,11,31.78235677909106,made-core-v2-Au-K-Tb-b20-s502-ActionPool2,0.6,502,102,163680,candidate_oracle_attempts,pending,88,accepted,306,Au-K-Tb,,,1846.179903903976,,Au-K-Tb,175270,,,,,,db19ab0cf03a41d9799df0ce5536ab1bef537944a40621d7190230928fbff27a
0.0975,1,Native,MADE,20,20,0.0,MADE,4255,32,,30,502.1092676175758,32,96,178.22621984872967,made-core-v2-Mg-Sn-Sr-b20-s503-Native1,0.05,503,0,75335,candidate_oracle_attempts,pending,60,accepted,45,Mg-Sn-Sr,,,817.6507739117369,,Mg-Sn-Sr,79590,,,,,,f514ee0d0665478211ea30d9ffcd965177a58b1a719ffcc19bb23d4ea41de14c
0.745,16,ActionPool2,MADE,20,20,116.99372057896107,MADE,11183,39,,39,1343.6854526419193,78,96,178.8844106970355,made-core-v2-Mg-Sn-Sr-b20-s503-ActionPool2,0.8,503,94,177526,candidate_oracle_attempts,pending,78,accepted,12,Mg-Sn-Sr,,,1670.9646199019626,,Mg-Sn-Sr,188709,,,,,,aa5e9a85e57899db1864d58419ca4144d9e61f27d2338c5b1f21fcde69c2b3e1
0.255,4,Native,MADE,20,20,0.0,MADE,6134,46,,45,981.2811628789641,46,11,33.304459899198264,made-core-v2-Au-K-Tb-b20-s503-Native1,0.2,503,0,75385,candidate_oracle_attempts,pending,90,accepted,207,Au-K-Tb,,,1155.6462646229193,,Au-K-Tb,81519,,,,,,843cd16b51a1baca055fd7865f7e777697b5250b41bfc71fcb030dcaaf045ed0
0.2975,5,ActionPool2,MADE,20,20,93.25078833429143,MADE,8141,29,,29,966.3099565343,58,11,31.727020577993244,made-core-v2-Au-K-Tb-b20-s503-ActionPool2,0.25,503,82,122422,candidate_oracle_attempts,pending,58,accepted,6,Au-K-Tb,,,1128.7210536669008,,Au-K-Tb,130563,,,,,,0359227cb75799874dbd95a28be9c459f84d1c0c5c3897dcb5e2e3758ad92e87
0.8325,17,Native,MADE,20,20,0.0,MADE,6086,48,,47,755.5185665674508,48,96,178.82762455847114,made-core-v2-Mg-Sn-Sr-b20-s504-Native1,0.85,504,0,104991,candidate_oracle_attempts,pending,94,accepted,64,Mg-Sn-Sr,,,1072.7574618496,,Mg-Sn-Sr,111077,,,,,,1da73df5f2c2667b62e287ff94c665c73b46add8d31a8d2de5be90e6e2188ab2
0.67,14,ActionPool2,MADE,20,20,139.2309005986899,MADE,12262,41,,40,1478.893104230985,82,96,179.3120614234358,made-core-v2-Mg-Sn-Sr-b20-s504-ActionPool2,0.7,504,110,173798,candidate_oracle_attempts,pending,80,accepted,18,Mg-Sn-Sr,,,1798.7827745033428,,Mg-Sn-Sr,186060,,,,,,bbedabde2b97376ab93a51808f83ad5065745814e5d488a1dc687c5b5fd1acec
0.0125,1,Native,MADE,20,20,0.0,MADE,5596,42,,41,962.8484114469029,42,11,32.97112008277327,made-core-v2-Au-K-Tb-b20-s504-Native1,0.05,504,0,63448,candidate_oracle_attempts,pending,82,accepted,281,Au-K-Tb,,,1135.8294028951786,,Au-K-Tb,69044,,,,,,db7298a54547b9b141e71be8569b79e036632c0a4c70bc2c19af79993fbc0eac
0.0875,1,ActionPool2,MADE,20,20,102.93199760699645,MADE,11158,41,,41,1331.1443975800648,82,11,41.95910922810435,made-core-v2-Au-K-Tb-b20-s504-ActionPool2,0.05,504,92,156187,candidate_oracle_attempts,pending,82,accepted,49,Au-K-Tb,,,1510.398336046841,,Au-K-Tb,167345,,,,,,358f64421067dc36fe6a7fc6884448f558d74a7f9583f18b99be351a18629aea
0.8,14,Native,MADE,20,20,0.0,MADE,6391,42,,41,910.8278086232021,42,96,183.60055894684047,made-core-v2-Mg-Sn-Sr-b20-s505-Native1,0.7,505,0,80744,candidate_oracle_attempts,pending,82,accepted,187,Mg-Sn-Sr,,,1238.0250709168613,,Mg-Sn-Sr,87135,,,,,,5590c71d807d21c34a48837a4dfd98ee38557b01012b24a22872c17aa24c3544
0.705,12,ActionPool2,MADE,20,20,113.25063520902768,MADE,10976,37,,37,1349.6264349408448,74,96,192.11329012131318,made-core-v2-Mg-Sn-Sr-b20-s505-ActionPool2,0.6,505,92,155505,candidate_oracle_attempts,pending,74,accepted,52,Mg-Sn-Sr,,,1690.9163852580823,,Mg-Sn-Sr,166481,,,,,,75eb2986020312ef9b431f9ccd6b91261d68a4e524ffddcff2b61a2249e8cc6f
0.1575,3,Native,MADE,20,20,0.0,MADE,4868,39,,39,774.8472174569033,39,11,38.97545215534046,made-core-v2-Au-K-Tb-b20-s505-Native1,0.15,505,0,60337,candidate_oracle_attempts,pending,78,accepted,273,Au-K-Tb,,,987.5768577908166,,Au-K-Tb,65205,,,,,,90d66a8f17bc641078a62a813b15ea62a24788b049ac66d9c1d42541090f8a5a
0.11,2,ActionPool2,MADE,20,20,114.97021603491157,MADE,11304,42,,42,1637.8405144102871,84,11,37.21636014478281,made-core-v2-Au-K-Tb-b20-s505-ActionPool2,0.1,505,110,146082,candidate_oracle_attempts,pending,84,accepted,320,Au-K-Tb,,,1812.2201705789194,,Au-K-Tb,157386,,,,,,ed86a4a6ff672d206d71e6c74300f4fba5837c2c07ede04de05ba7fe2da5c0b9
0.825,16,Native,MADE,20,20,0.0,MADE,9098,60,,57,1141.849337064661,60,96,190.31656267214566,made-core-v2-Mg-Sn-Sr-b20-s506-Native1,0.8,506,0,92265,candidate_oracle_attempts,pending,114,accepted,110,Mg-Sn-Sr,,,1473.3549300939776,,Mg-Sn-Sr,101363,,,,,,8e8ede3f7729185048271450bea0d83789826827efff51b22759b12a2d535677
0.6725,13,ActionPool2,MADE,20,20,121.93576760496944,MADE,11785,43,,43,1414.4949325583875,86,96,180.3184520220384,made-core-v2-Mg-Sn-Sr-b20-s506-ActionPool2,0.65,506,106,167173,candidate_oracle_attempts,pending,86,accepted,39,Mg-Sn-Sr,,,1735.659267231822,,Mg-Sn-Sr,178958,,,,,,3cf9f94be804ec948b82c068276d25c7c11fd98436f4944c2b24a63207f0f5dd
0.2625,3,Native,MADE,20,20,0.0,MADE,7162,51,,50,1045.2160911066458,51,11,36.610791818238795,made-core-v2-Au-K-Tb-b20-s506-Native1,0.15,506,0,92666,candidate_oracle_attempts,pending,100,accepted,265,Au-K-Tb,,,1222.2572552347556,,Au-K-Tb,99828,,,,,,e1ff2b15dee5f93d4e9313c1c4de7d9b9ace5f8225165f4a47a2c06eb23ca29a
0.335,6,ActionPool2,MADE,20,20,100.48225949332118,MADE,12169,40,,40,1479.9232796858996,80,11,30.784885035827756,made-core-v2-Au-K-Tb-b20-s506-ActionPool2,0.3,506,94,139531,candidate_oracle_attempts,pending,80,accepted,113,Au-K-Tb,,,1647.6318260105327,,Au-K-Tb,151700,,,,,,de9224802f5dedbd8d7f04e4ed5c2099854ecb735634b92dee562c615077d5c2
0.6425,13,Native,MADE,20,20,0.0,MADE,6015,41,,40,687.0916406344622,41,96,182.47435663454235,made-core-v2-Mg-Sn-Sr-b20-s507-Native1,0.65,507,0,88307,candidate_oracle_attempts,pending,80,accepted,11,Mg-Sn-Sr,,,1016.1988170379773,,Mg-Sn-Sr,94322,,,,,,ea715cf9acf1ab7f0ddf9319acaca7a41abef6e76cd5092c36f9a8040815f81a
0.6175,11,ActionPool2,MADE,20,20,121.34034631494433,MADE,10227,37,,37,1244.0113651584834,74,96,181.58675016183406,made-core-v2-Mg-Sn-Sr-b20-s507-ActionPool2,0.55,507,94,162216,candidate_oracle_attempts,pending,74,accepted,48,Mg-Sn-Sr,,,1559.8799109021202,,Mg-Sn-Sr,172443,,,,,,f0f0b5a037e3a556bee391254be872d8cb2851e579ddbc817bafe3d15bc09f00
0.12,2,Native,MADE,20,20,0.0,MADE,5104,38,,38,605.9289908823557,38,11,33.21187580609694,made-core-v2-Au-K-Tb-b20-s507-Native1,0.1,507,0,55911,candidate_oracle_attempts,pending,76,accepted,,Au-K-Tb,,,778.6494348309934,,Au-K-Tb,61015,,,,,,9a9250716fe5a8a9fa6a4fa2fbd0a7bdbe5488ebf592461f5b0cebc144ff15b1
0.0,0,ActionPool2,MADE,20,20,108.95263056270778,MADE,9923,38,,38,1699.094839433208,76,11,34.56282720901072,made-core-v2-Au-K-Tb-b20-s507-ActionPool2,0.0,507,90,153580,candidate_oracle_attempts,pending,76,accepted,313,Au-K-Tb,,,1870.9532248331234,,Au-K-Tb,163503,,,,,,976bc0abc2076452aa418cc56aa1b0b8196f8310613e0a9feb4673d8727c33ee
0.86,16,Native,MADE,20,20,0.0,MADE,6374,47,,46,821.0988722294569,47,96,180.4590575201437,made-core-v2-Mg-Sn-Sr-b20-s508-Native1,0.8,508,0,103375,candidate_oracle_attempts,pending,92,accepted,45,Mg-Sn-Sr,,,1137.7985305180773,,Mg-Sn-Sr,109749,,,,,,ae5e7ee620bcf57b70f225f64fee7cf4316dfc37b26eb30e5058cbc7f10fa97f
0.815,16,ActionPool2,MADE,20,20,183.9292802796699,MADE,15176,52,,53,1940.259088049177,104,96,194.1319996989332,made-core-v2-Mg-Sn-Sr-b20-s508-ActionPool2,0.8,508,158,210598,candidate_oracle_attempts,pending,106,accepted,128,Mg-Sn-Sr,,,2272.035319464747,,Mg-Sn-Sr,225774,,,,,,0bee023a2ceda75bd6733f3d34c522a4648dcf82aeecae784ebd00ca7a1cbc21
