control_job_id,task_id,budget,policy_seed,environment_seed,arm,job_id,state,accepted,AUDC,SUN,mSUN,cost.candidate_oracle_attempts,cost.capture_forward_returns,cost.capture_seconds,cost.completion_tokens,cost.episode_wall_seconds,cost.initialization_oracle_attempts,cost.llm_calls,cost.prompt_tokens,cost.rpc_attempts,cost.surrogate_oracle_attempts,cost.tool_attempts,cost.total_tokens,cost.whole_job_wall_seconds,completion_sha256,failure_sha256
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,Mg-Sn-Sr,10,502,502,Native1,made-online-core-ext-v1-Mg-Sn-Sr-b10-s502-Native1,accepted,True,0.7,6,0.6,10,0,0.0,3274,474.4784298669547,96,26,60524,50,135,25,63798,785.4287176141515,8cf6bc073d04e7bb271c0fd0904982d33bab48d7a8a3c7c40ee6f0f79aeb982d,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,Mg-Sn-Sr,10,502,502,Public2,made-common-public-v1-Mg-Sn-Sr-b10-s502-Public2,accepted,True,0.84,8,0.8,10,0,0.0,6143,712.4059459865093,96,46,96735,46,62,23,102878,1114.8421189524233,c6831057aa935cecb9e3ea557b2dba84c14e047d9f4bac1e7a3fe3a08afe0464,
made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,Mg-Sn-Sr,10,502,502,RiskShuffle2,made-risk-shuffle-v1-Mg-Sn-Sr-b10-s502-RiskShuffle2,unclaimed,False,,,,,,,,,,,,,,,,,,
made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,Au-K-Tb,20,501,501,ActionPool2,made-core-v2-Au-K-Tb-b20-s501-ActionPool2,accepted,True,0.04,2,0.1,20,104,116.5057214340195,11574,1497.153377215378,11,84,162311,84,260,42,173885,1675.7188183702528,7bace59bdea802144e61c169c1667c0865d7cd38424ddc09a59fe8042fb2eb40,
made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,Au-K-Tb,20,501,501,Common2,made-common-public-v1-Au-K-Tb-b20-s501-Common2,accepted,True,0.3075,7,0.35,20,0,0.0,10562,1323.8748381398618,11,72,139198,72,174,36,149760,1514.0869306586683,e80ef4cadef9db52fc9c741b6e4df45a9a6a0348675df393402bb4d1a5f77f26,
made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,Au-K-Tb,20,501,501,Native1,made-core-v2-Au-K-Tb-b20-s501-Native1,accepted,True,0.035,2,0.1,20,0,0.0,5957,1261.5488473027945,11,51,79071,100,501,50,85028,1439.5848096371628,369ce4888ccdaaaccdf9d601e8a53067b118bb90b9a314d9ebd4f092ec2efeb8,
made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,Au-K-Tb,20,501,501,Public2,made-common-public-v1-Au-K-Tb-b20-s501-Public2,accepted,True,0.0875,1,0.05,20,0,0.0,8864,1053.899807870388,11,72,116137,72,131,36,125001,1247.2767505273223,38e58ad3cb6de3f148e0733f45445e6326ca4085e5309b76bb5aafbfa63f6be6,
made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,Au-K-Tb,20,501,501,RiskShuffle2,made-risk-shuffle-v1-Au-K-Tb-b20-s501-RiskShuffle2,unclaimed,False,,,,,,,,,,,,,,,,,,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,Mg-Sn-Sr,20,501,501,ActionPool2,made-core-v2-Mg-Sn-Sr-b20-s501-ActionPool2,accepted,True,0.63,14,0.7,20,90,102.88861863967031,9717,1310.9484747452661,96,70,132876,70,152,35,142593,1637.1152278808877,325a102fa1df3b5c54afe4e02e80a77dad70dd5db73a662ee010ec3015a4b864,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,Mg-Sn-Sr,20,501,501,Common2,made-common-public-v1-Mg-Sn-Sr-b20-s501-Common2,accepted,True,0.81,14,0.7,20,0,0.0,10580,1124.7538336142898,96,68,134661,68,10,34,145241,1495.1299511790276,907860dfc109614769664998cd16b4740de6a4cc5f146fa912d3a44ad979ad24,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,Mg-Sn-Sr,20,501,501,Native1,made-core-v2-Mg-Sn-Sr-b20-s501-Native1,accepted,True,0.9,18,0.9,20,0,0.0,6815,1029.8039966239594,96,49,90552,94,293,47,97367,1342.7591012166813,0a91167d14daae9b08bae63274ee1c2a636db1740938aa37dca22953d6b35186,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,Mg-Sn-Sr,20,501,501,Public2,made-common-public-v1-Mg-Sn-Sr-b20-s501-Public2,accepted,True,0.845,14,0.7,20,0,0.0,10843,1275.9790216349065,96,70,139792,70,105,35,150635,1623.1315348558128,ddee55dbec22c123d6b4233b0b2ea3efcd4ea209456e23fc40f4ca8377f192d0,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,Mg-Sn-Sr,20,501,501,RiskShuffle2,made-risk-shuffle-v1-Mg-Sn-Sr-b20-s501-RiskShuffle2,unclaimed,False,,,,,,,,,,,,,,,,,,
made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,Au-K-Tb,20,502,502,ActionPool2,made-core-v2-Au-K-Tb-b20-s502-ActionPool2,accepted,True,0.62,12,0.6,20,102,108.42129699420184,11590,1675.6092626471072,11,88,163680,88,306,44,175270,1846.179903903976,db19ab0cf03a41d9799df0ce5536ab1bef537944a40621d7190230928fbff27a,
made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,Au-K-Tb,20,502,502,Common2,made-common-public-v1-Au-K-Tb-b20-s502-Common2,accepted,True,0.37,6,0.3,20,0,0.0,8254,1106.999862600118,11,64,140804,64,121,32,149058,1297.6337185241282,420fc541cee0f62a332a77ac15adc8af2ba980f6ffaa5e7546ef45bf3c1ac014,
made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,Au-K-Tb,20,502,502,Native1,made-core-v2-Au-K-Tb-b20-s502-Native1,accepted,True,0.215,4,0.2,20,0,0.0,5787,1474.2384025603533,11,47,64641,94,520,47,70428,1646.7452807636,ae164bf531032f80c7f9a238ed35c7847189a71bd7470322655755ff2eb9abc3,
made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,Au-K-Tb,20,502,502,Public2,made-common-public-v1-Au-K-Tb-b20-s502-Public2,accepted,True,0.2825,5,0.25,20,0,0.0,9273,1137.1887993104756,11,72,167336,72,121,36,176609,1338.457781560719,9a5af4b7ecc797c53e0c39fd93137ea80d81c023b196af1ad2124b793aecb7ce,
made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,Au-K-Tb,20,502,502,RiskShuffle2,made-risk-shuffle-v1-Au-K-Tb-b20-s502-RiskShuffle2,unclaimed,False,,,,,,,,,,,,,,,,,,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,Mg-Sn-Sr,20,502,502,ActionPool2,made-core-v2-Mg-Sn-Sr-b20-s502-ActionPool2,accepted,True,0.7825,13,0.65,20,80,98.90284559316933,9642,1168.1293537896127,96,72,163498,72,42,36,173140,1481.1982228485867,3011f30bbfd2e38b7b5edd820b0b7e27bd5d896295493bdede02de7b97c02624,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,Mg-Sn-Sr,20,502,502,Common2,made-common-public-v1-Mg-Sn-Sr-b20-s502-Common2,accepted,True,0.775,14,0.7,20,0,0.0,11166,1295.4578731507063,96,78,178231,78,141,39,189397,1641.302633471787,535a0c22ca68c7faf6c9c77c8104f3ca656b5d17bb633d8684b3f50bc2d0fae4,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,Mg-Sn-Sr,20,502,502,Native1,made-core-v2-Mg-Sn-Sr-b20-s502-Native1,accepted,True,0.86,14,0.7,20,0,0.0,9063,1415.8807524042204,96,70,111432,142,473,71,120495,1746.7154097110033,354b2cbb07c341462c0ae26770cce803d3d69f239db38c2f204608b235a55a6f,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,Mg-Sn-Sr,20,502,502,Public2,made-common-public-v1-Mg-Sn-Sr-b20-s502-Public2,accepted,True,0.815,16,0.8,20,0,0.0,12340,1479.1186262406409,96,88,160586,88,202,44,172926,1837.836418941617,cfc82fb459a3f1540d51db5d78f52eb81eddf0af6ca183c568d772b69ed53c63,
made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,Mg-Sn-Sr,20,502,502,RiskShuffle2,made-risk-shuffle-v1-Mg-Sn-Sr-b20-s502-RiskShuffle2,unclaimed,False,,,,,,,,,,,,,,,,,,
