contrast,kind,task_id,seed,budget,SUN_delta,SUN_sign,AUDC_delta,AUDC_sign,mSUN_delta,mSUN_sign
full_minus_base,pairwise,Al-V-Zn,2,10,0,tie,-0.08000000000000002,negative,0.0,tie
full_minus_base,pairwise,Al-V-Zn,3,10,-2,negative,-0.21999999999999997,negative,-0.2,negative
full_minus_base,pairwise,Al-V-Zn,4,10,-2,negative,-0.32,negative,-0.19999999999999996,negative
full_minus_base,pairwise,Au-K-Tb,2,10,-4,negative,-0.26,negative,-0.4,negative
full_minus_base,pairwise,Au-K-Tb,3,10,3,positive,0.37,positive,0.3,positive
full_minus_base,pairwise,Au-K-Tb,4,10,1,positive,0.07,positive,0.1,positive
full_minus_base,pairwise,Co-Dy-W,2,10,0,tie,0.0,tie,0.0,tie
full_minus_base,pairwise,Co-Dy-W,3,10,1,positive,0.13,positive,0.1,positive
full_minus_base,pairwise,Co-Dy-W,4,10,0,tie,0.0,tie,0.0,tie
full_minus_base,pairwise,Co-Mg-Na,2,10,2,positive,0.08,positive,0.2,positive
full_minus_base,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
full_minus_base,pairwise,Co-Mg-Na,4,10,0,tie,0.0,tie,0.0,tie
UQ_minus_ES,pairwise,Al-Li-V,2,10,-1,negative,-0.15,negative,-0.1,negative
UQ_minus_ES,pairwise,Al-Li-V,3,10,1,positive,0.09,positive,0.1,positive
UQ_minus_ES,pairwise,Al-Li-V,4,10,0,tie,0.0,tie,0.0,tie
UQ_minus_ES,pairwise,Al-V-Zn,2,10,1,positive,0.24999999999999994,positive,0.09999999999999998,positive
UQ_minus_ES,pairwise,Al-V-Zn,3,10,2,positive,0.09999999999999998,positive,0.19999999999999996,positive
UQ_minus_ES,pairwise,Al-V-Zn,4,10,0,tie,0.06,positive,0.0,tie
UQ_minus_ES,pairwise,Au-K-Tb,2,10,2,positive,0.06,positive,0.19999999999999998,positive
UQ_minus_ES,pairwise,Au-K-Tb,3,10,2,positive,0.19999999999999998,positive,0.19999999999999998,positive
UQ_minus_ES,pairwise,Au-K-Tb,4,10,-1,negative,-0.01,negative,-0.1,negative
UQ_minus_ES,pairwise,Co-Dy-W,2,10,2,positive,0.16,positive,0.2,positive
UQ_minus_ES,pairwise,Co-Dy-W,3,10,0,tie,0.0,tie,0.0,tie
UQ_minus_ES,pairwise,Co-Dy-W,4,10,1,positive,0.17,positive,0.1,positive
UQ_minus_ES,pairwise,Co-Mg-Na,2,10,0,tie,0.0,tie,0.0,tie
UQ_minus_ES,pairwise,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
UQ_minus_ES,pairwise,Co-Mg-Na,4,10,-1,negative,-0.01,negative,-0.1,negative
average_UQ_algorithm_contrast,algorithm_factorial,Al-Li-V,2,10,-0.5,negative,-0.075,negative,-0.05,negative
average_UQ_algorithm_contrast,algorithm_factorial,Al-Li-V,3,10,-0.5,negative,0.0049999999999999975,positive,-0.05,negative
average_UQ_algorithm_contrast,algorithm_factorial,Al-Li-V,4,10,0.5,positive,0.06500000000000002,positive,0.05,positive
average_UQ_algorithm_contrast,algorithm_factorial,Al-V-Zn,2,10,0.5,positive,0.08499999999999994,positive,0.04999999999999999,positive
average_UQ_algorithm_contrast,algorithm_factorial,Al-V-Zn,3,10,0.0,tie,-0.06,negative,-2.7755575615628914e-17,tie
average_UQ_algorithm_contrast,algorithm_factorial,Al-V-Zn,4,10,-1.0,negative,-0.13,negative,-0.09999999999999998,negative
average_UQ_algorithm_contrast,algorithm_factorial,Au-K-Tb,2,10,-1.0,negative,-0.1,negative,-0.10000000000000002,negative
average_UQ_algorithm_contrast,algorithm_factorial,Au-K-Tb,3,10,2.5,positive,0.285,positive,0.25,positive
average_UQ_algorithm_contrast,algorithm_factorial,Au-K-Tb,4,10,0.0,tie,0.030000000000000002,positive,0.0,tie
average_UQ_algorithm_contrast,algorithm_factorial,Co-Dy-W,2,10,1.0,positive,0.08,positive,0.1,positive
average_UQ_algorithm_contrast,algorithm_factorial,Co-Dy-W,3,10,0.5,positive,0.065,positive,0.05,positive
average_UQ_algorithm_contrast,algorithm_factorial,Co-Dy-W,4,10,0.5,positive,0.085,positive,0.05,positive
average_UQ_algorithm_contrast,algorithm_factorial,Co-Mg-Na,2,10,1.0,positive,0.04,positive,0.1,positive
average_UQ_algorithm_contrast,algorithm_factorial,Co-Mg-Na,3,10,0.0,tie,0.0,tie,0.0,tie
average_UQ_algorithm_contrast,algorithm_factorial,Co-Mg-Na,4,10,-0.5,negative,-0.005,negative,-0.05,negative
average_ES_algorithm_contrast,algorithm_factorial,Al-Li-V,2,10,0.5,positive,0.075,positive,0.05,positive
average_ES_algorithm_contrast,algorithm_factorial,Al-Li-V,3,10,-1.5,negative,-0.08499999999999999,negative,-0.15000000000000002,negative
average_ES_algorithm_contrast,algorithm_factorial,Al-Li-V,4,10,0.5,positive,0.06500000000000002,positive,0.05,positive
average_ES_algorithm_contrast,algorithm_factorial,Al-V-Zn,2,10,-0.5,negative,-0.16499999999999998,negative,-0.04999999999999999,negative
average_ES_algorithm_contrast,algorithm_factorial,Al-V-Zn,3,10,-2.0,negative,-0.15999999999999998,negative,-0.19999999999999998,negative
average_ES_algorithm_contrast,algorithm_factorial,Al-V-Zn,4,10,-1.0,negative,-0.19,negative,-0.09999999999999998,negative
average_ES_algorithm_contrast,algorithm_factorial,Au-K-Tb,2,10,-3.0,negative,-0.16,negative,-0.30000000000000004,negative
average_ES_algorithm_contrast,algorithm_factorial,Au-K-Tb,3,10,0.5,positive,0.08500000000000002,positive,0.05000000000000002,positive
average_ES_algorithm_contrast,algorithm_factorial,Au-K-Tb,4,10,1.0,positive,0.04,positive,0.1,positive
average_ES_algorithm_contrast,algorithm_factorial,Co-Dy-W,2,10,-1.0,negative,-0.08,negative,-0.1,negative
average_ES_algorithm_contrast,algorithm_factorial,Co-Dy-W,3,10,0.5,positive,0.065,positive,0.05,positive
average_ES_algorithm_contrast,algorithm_factorial,Co-Dy-W,4,10,-0.5,negative,-0.085,negative,-0.05,negative
average_ES_algorithm_contrast,algorithm_factorial,Co-Mg-Na,2,10,1.0,positive,0.04,positive,0.1,positive
average_ES_algorithm_contrast,algorithm_factorial,Co-Mg-Na,3,10,0.0,tie,0.0,tie,0.0,tie
average_ES_algorithm_contrast,algorithm_factorial,Co-Mg-Na,4,10,0.5,positive,0.005,positive,0.05,positive
algorithm_interaction,algorithm_factorial,Al-Li-V,2,10,-1,negative,-0.15,negative,-0.1,negative
algorithm_interaction,algorithm_factorial,Al-Li-V,3,10,1,positive,-0.009999999999999995,negative,0.1,positive
algorithm_interaction,algorithm_factorial,Al-Li-V,4,10,3,positive,0.43000000000000005,positive,0.30000000000000004,positive
algorithm_interaction,algorithm_factorial,Al-V-Zn,2,10,-1,negative,-0.25,negative,-0.09999999999999998,negative
algorithm_interaction,algorithm_factorial,Al-V-Zn,3,10,-4,negative,-0.20000000000000007,negative,-0.3999999999999999,negative
algorithm_interaction,algorithm_factorial,Al-V-Zn,4,10,4,positive,0.2400000000000001,positive,0.4,positive
algorithm_interaction,algorithm_factorial,Au-K-Tb,2,10,0,tie,-0.18,negative,0.0,tie
algorithm_interaction,algorithm_factorial,Au-K-Tb,3,10,-1,negative,-0.17,negative,-0.1,negative
algorithm_interaction,algorithm_factorial,Au-K-Tb,4,10,0,tie,0.060000000000000005,positive,0.0,tie
algorithm_interaction,algorithm_factorial,Co-Dy-W,2,10,-2,negative,-0.16,negative,-0.2,negative
algorithm_interaction,algorithm_factorial,Co-Dy-W,3,10,1,positive,0.13,positive,0.1,positive
algorithm_interaction,algorithm_factorial,Co-Dy-W,4,10,-1,negative,-0.17,negative,-0.1,negative
algorithm_interaction,algorithm_factorial,Co-Mg-Na,2,10,2,positive,0.08,positive,0.2,positive
algorithm_interaction,algorithm_factorial,Co-Mg-Na,3,10,0,tie,0.0,tie,0.0,tie
algorithm_interaction,algorithm_factorial,Co-Mg-Na,4,10,-1,negative,-0.01,negative,-0.1,negative
