job_id,arm,system,seed,budget,attempt_id,classification,physical_oracle_attempts_proved,tool_requests,step_requests,initialization_requests,closed_phase_exit_sha256
support-final-3ebbaea5d932913d8d34e83c,uq_only_support_aware,Eu-Nb-Sn-Tl,4,10,e1e3c1f310fb4f138898629bf2872c71,confirmed_pre_execution_missing_asset,0,0,0,1,42f1042eb962ff7953b55d8684094644a2a3cbe18332e7778f8385125a48d766
support-final-1b062e6f8b3ad484ad7351e0,uq_only_support_aware,Ag-Nd-Pd-Pt-Tb,4,10,f77fde03eb7d4d638334b8d187b56dad,confirmed_pre_execution_missing_asset,0,0,0,1,630016a78e4fbc364fd33b68547ca464a01bb5e77494124efae6718c7e54cbd5
support-final-4ce63d4707774df5cb861a26,uq_only_support_aware,Al-Hg-K-Mg-W,4,10,0cecffd06c174fbd9c04f2bd2a739c31,confirmed_pre_execution_missing_asset,0,0,0,1,494cea303b76dd67953583e47bf1239984f7dc31c4b4d9309b5619b84344ab1d
support-final-024bd41fbe36d1b920436aed,uq_only_support_aware,Cd-Gd-Mn-Na-Ta,4,10,c54848fa6ea64f409167322e08537c40,confirmed_pre_execution_missing_asset,0,0,0,1,62cda1e686a31e8eb10faa20b26a064326394042608045cc6978f62bd7bb632d
support-final-75d178e34f1cc2be571810d0,uq_only_support_aware,Cd-Li-Nd-Ti-W,4,10,d40e118b5bbe48ef94393f12abc517f3,confirmed_pre_execution_missing_asset,0,0,0,1,977f33c9f139816434a2c1936a0df77a9e1f2f9ec93f25c21567fffdfef3ab13
support-final-3f8684689a9babe5b4a4b638,uq_only_support_aware,Co-Hf-In-Ru-Tm,4,10,4fd4ffd856c74bec82d5ebfc45f87d47,confirmed_pre_execution_missing_asset,0,0,0,1,aa68aede14e4b6d4a0c9c0abd427766651a593e3d6a80cbcaa4c73741343bc10
support-final-66144b0f1b865f7ebac06010,full_support_aware,Ba-Be-Hf-Li,4,10,51ac86f1fb3c4cac8618fd8f37d7e7f4,confirmed_pre_execution_missing_asset,0,0,0,1,61011fd6bd2ac294a86faaf6b7103e0793102bc97a159dd1070f85bea26b8095
support-final-9e13512e7e0fb227805b08f2,full_support_aware,Ca-Pd-Sn-W,4,10,f6066670f3ce4cb79d3b38f82eed5d61,confirmed_pre_execution_missing_asset,0,0,0,1,9076848bc6c347d30c3a99f10f7eb9d3107f1191ada034b963ab98d6e80ec91c
support-final-1ec8edc38809b3db9d12c910,full_support_aware,Ce-Er-Pb-Rh,4,10,795f8a516c3d42f39e312803b8475e3c,confirmed_pre_execution_missing_asset,0,0,0,1,2286da147af9fd6dd4abaa87ae83e368f19f249bfc45331e27865c24cf8b537f
support-final-5b1bff435eeb0ba90d08b0d5,full_support_aware,Cd-Gd-Mn-Na-Ta,4,10,e48b22f6ae094b04b2079e1bd5493f85,confirmed_pre_execution_missing_asset,0,0,0,1,e98719fad3eceef5e909b64eec73006297ff8ed368a8e8a427a44c2b7e6ce368
support-final-2288eea097bb18ef7df5cfeb,full_support_aware,Cd-Li-Nd-Ti-W,4,10,6c6644d362c9456e8927b3a39242df20,confirmed_pre_execution_missing_asset,0,0,0,1,0803b239dd18bdad1e9fa7cee3de31d6605277eff3a9a9c164ea4f443a46887d
support-final-bef411f22c209c41f37d8c75,full_support_aware,Co-Hf-In-Ru-Tm,4,10,074a64f59ab64d27b75f98ca989e6d61,confirmed_pre_execution_missing_asset,0,0,0,1,b97727027d86d4fc751c46b647f4f26355c80292f3a6dcd431bdaab52d238403
support-final-68828fe321b15bfa6a93f335,uq_only_support_aware,Al-Li-V,2,30,08827b1b56794745a3671be0e198bac5,confirmed_pre_execution_missing_asset,0,0,0,1,e9c4b27caa2d129471aba93ffa0b39389a2d56df9877bd27586331e5b1a15d4c
