budget,world_seed,policy_seed,arm,action_success_rate,task_progress,task_success,completion_sha256
20,3,501,Public2,0.05,0.0,False,34607c754d60854ea18bcfda89024402f4da70e5ab146196c9f6594a83331c00
20,3,502,ActionPool2,0.7,0.0,False,f41960d8e223237bef14f008fab3f6a33cbbc252f0866778f4ec5e39e7811ae8
20,3,502,Common2,0.2,0.125,False,804f45733543f67b7f99ffd1526e28820c2d58a9fb5a326821c724a520e85b3a
20,3,502,Native,0.7,0.125,False,f3351f05ac32d3b59ad30766c99eb74f1ffef556b5c439656d915a77a287e2c7
20,3,502,Public2,0.7,0.0,False,72430d1b4c12bfd988372d9939e100413446dda754cd508be73cd00a288ebede
20,3,503,ActionPool2,0.8,0.0,False,d775b7b4c768a2103dc84371e7655679cf07fe69d49e309f8759676a2a21b3b6
20,3,503,Common2,0.85,0.25,False,a33aeb0edb9267a21e53bc8e85af3182562ef7016e45c77ab3b0abcddbfbb2dc
20,3,503,Native,0.85,0.0,False,d863c455829c281a035da0f83e6cd2d42f6f877ee9992bb2a6b4eeddc146f064
20,3,503,Public2,0.6,0.0,False,acdaa8be82120f1ed0f205545d38336c97084690a61c62ae55ff2d700296ee0a
20,3,504,ActionPool2,0.15,0.0,False,d970bb0108d52c98acf4dde4541d95b9c0b96a155cb423a02b011f6fda5094b5
20,3,504,Common2,0.15,0.0,False,608e1deba5faa5d31b53356d3507e01bd4c0eb41979b5c298dd3bddf34f5e58a
20,3,504,Native,0.4,0.0,False,fe8d09d09f6cf12ab62f0da253d11e4797aed643fe603d5bf3c8148369405ab5
20,3,504,Public2,0.8,0.0,False,d8b69af129cd95b0c138e09bafdb12784136e14754a8b4097af4312735722a6d
20,3,505,ActionPool2,0.55,0.125,False,264452a2c080d806c86a71d05fbcad0841d24569319307d43a7a1b5bff1e7a22
20,3,505,Common2,0.2,0.0,False,1303c10a43eff514f07b03a348e3e5d86ce417fa77b41320124147053779db5f
20,3,505,Native,0.8,0.125,False,8b05d7bea398ac35c18d5be844285377f9363df84e9a3f9fff03c879ae54a6c6
20,3,505,Public2,0.55,0.125,False,0c423748ca62fdf79f03cb3a431291f26b8645e8d52d522c9b1faf2c127435e7
20,3,506,ActionPool2,0.75,0.125,False,4c01dc3e533050bf4330d582fff0c891884d206f649e0b52484bde4d389f7c34
20,3,506,Common2,0.75,0.125,False,b021f029696332b5e53c5bc9a3cc449b397ad61f96db74c672fb608253b71aa6
20,3,506,Native,0.35,0.0,False,378035571ba0152da81451cad5b2c6306f41a8e46e66c9c472986103cd4d8932
20,3,506,Public2,0.75,0.125,False,f6010f2389b0f4dbbcc73cde278c1ea409114fc2c66912f113adcb3c9fbdb413
20,3,507,ActionPool2,0.1,0.0,False,9b3fe9a7b67a0d321b21bbfbe9aeb94b94e757fbe88d5e8c5d3c13eb85e310b7
20,3,507,Common2,0.1,0.0,False,dcd89b190109c5a1d345fbc63702a9a75121971b71da193a0891490c6cd721c2
20,3,507,Native,0.05,0.0,False,6f72eec46d82070c6a11bb6c3abd78b2c373aa91ecafbc47bf3ab8f441af192d
20,3,507,Public2,0.2,0.125,False,3361b98179aed5570b296f8e86337f584204f23db6a18d280902589b6574e889
20,3,508,ActionPool2,0.8,0.25,False,98c1a5810354873a818df49e893a775f242e68054a72d019181f6e0912c1d879
20,3,508,Common2,0.8,0.25,False,91aabdc47294ff4326e3121f8ee3fde89d932c8adb89c4a20e8fadc646354f8e
20,3,508,Native,0.35,0.0,False,4dd5b6f94d41a5f1f74465e44986ad90c715ba04be478ff5e88faafe67092bca
20,3,508,Public2,0.8,0.25,False,764e03120f2ac9875649a90bf709a7d42ac01a3b8bfb31a9c4b8a8c6b2a232b8
20,3,509,ActionPool2,0.9,0.0,False,e3cd10f0034f3fe3b97810672ca1dee41f5e77f709e34b4e55c95378c5d97def
20,3,509,Common2,0.65,0.0,False,8566fb08dd74d4e3a0dc23529719b01c05fec3bd19f379bef450d8666278d1b6
20,3,509,Native,0.45,0.0,False,2df9e16ef0f18a7513f8b929d22826cf3985803ef080da4892ffb8c8973a8de7
20,3,509,Public2,0.55,0.0,False,b505de8f4aada046a28832be1dbe1097ce8d1f1dc24ca81469622e1c063f2d91
20,3,510,ActionPool2,0.9,0.125,False,0e5f80bf2d23e880a57f97f146aaec3fdd7f93e90998996e3197ace374b439c0
20,3,510,Common2,0.25,0.0,False,84820aa498989e708915782462c55987c084d6328359ac765c8ed4c547edbdcd
20,3,510,Native,0.05,0.0,False,f2fdd0d6ed51a11801a06407e940d95db2ccde0c70b92d5227baa703dabf6cca
20,3,510,Public2,0.85,0.125,False,4b5538ca7a19cbda53ac206bed269f1beb64ecf68acec89e1cf1fa9d230d3272
20,4,501,ActionPool2,0.35,0.125,False,8f43236f5a38944bb180273d2597d2621e6dc95a59c1cb75976b278e2a100b78
20,4,501,Common2,0.45,0.125,False,95a7f69f909e1ba64bd5b8cbf7002465111a40bd3ee499f752d4d4f4064a27a4
20,4,501,Native,0.1,0.0,False,c4838cbbd0c1f7fe75ddb807648e224f47f352d9405a3ede0bd815099aa7a0d5
20,4,501,Public2,0.4,0.125,False,339de809cf7be644bb6357be4ca629218bf2d764d74f6a3c4fe876d2a73da81e
20,4,502,ActionPool2,0.7,0.125,False,f149946d3e3b6c6d338628a4fb7e955debe270afc290f0123774a3dd153cdb53
20,4,502,Common2,0.65,0.25,False,b669ae45d6f6de653a278cc611e9e7a0098f918a3b1fb2eba6d8317fdb8c1b71
20,4,502,Native,0.65,0.125,False,911df9f0373bbaaf878b2200ee71f4ad4874e0fe66052ea0f30e660448c968fc
20,4,502,Public2,0.35,0.0,False,035b71d110e35cf5028ea808dd3d4594a3b605a696de23a1a353bfb5237c15db
20,4,503,ActionPool2,0.95,0.25,False,53ac831e360e621f2bca137019b646b39503eacf375a8c4c5070c9879972fecf
20,4,503,Common2,0.95,0.25,False,ff0a3e7d65b5931b4a46efa5ca865dac22f15d56514251bbc28e9d68545b5530
20,4,503,Native,0.25,0.125,False,8b778c0f3e6435f3a46640bfafc1f202e93c910400be66cfffd6eceb84981e69
20,4,503,Public2,0.95,0.25,False,9775efb1095606e2d84f0263d5479c63b03111e10340fdf43c1cc83a53018309
20,4,504,ActionPool2,0.65,0.0,False,d9a841f6f65b3f54ae88fc1cead6cd14f676d1948afdc9b071f93554e1df0159
20,4,504,Common2,0.75,0.125,False,36b97a2222239fad7cc8788e7bcc976a9f46842d089348026392e3e0523391b4
20,4,504,Native,0.4,0.0,False,330fc8f0d1b43148397a7a0380391b90de45f5a5a7c9c8f1462320e364eabf98
20,4,504,Public2,0.6,0.0,False,5b4c3085733c7df8749207ef5303cd9a1dbdd84bbde633d470824f5dd4e451da
20,4,505,ActionPool2,0.9,0.0,False,280dc10de1b5d7349c459317bc370e9b9f80ab5436eabf3ae3520b32fd49e699
20,4,505,Common2,0.95,0.0,False,3288a31af214c002998aa9c9e26480282560914c79ad0f2ec6a551719dd1b2ec
20,4,505,Native,0.8,0.0,False,7aab008a8d4b96ffbfe20e77a05a214310b6fcfb213d9e3e44f120a01060d0a2
20,4,505,Public2,0.75,0.0,False,cbbd0f1b4217b7b6c0dafe3c6a729037310d4e0310a1bbfc75ee01d8f9b011f2
20,4,506,ActionPool2,0.4,0.0,False,e171d50ecab205e5f05764b2762c71e5af95293e366be511fe4f757f3d26bede
20,4,506,Common2,0.3,0.0,False,90799fc6d0207762563329ab6192242dde132bd525e1c60e7eb0fb9322e9b922
20,4,506,Native,0.1,0.0,False,223292164422d5efd84b588fb667a28f29e4b2bed7e73372b5b14d59c0554a63
20,4,506,Public2,0.3,0.0,False,f2d7e8e5c49e9788247315b720d49fbdd9cf8881f162d720356e72283317fc52
20,4,507,ActionPool2,0.35,0.125,False,d3172e3e25edbda4d44f928149edf40c8fe001e231073d7397714de2a6f2ff9a
20,4,507,Common2,0.15,0.0,False,dcb2780581fa065913cd75a06fb2c70152a0d2e9294351c1749f0b995811db27
20,4,507,Native,0.15,0.0,False,bafbd8cc5b4068597664569fb74a4572d71fb9ad029e7cac92085dca6c58b39b
20,4,507,Public2,0.3,0.125,False,9abab3b38ffe6f2d512bf49e156b6dd6c887cb83e32f8c24420fdcc085f21901
20,4,508,ActionPool2,0.75,0.0,False,5882f2ce4de4aa2e190af2df4fd535b336698ca1f35e6ba452ed2bba891e856c
20,4,508,Common2,0.55,0.0,False,5970ac34f4288d47bc0acef94123e5244f3584859fa9df5534ceba0ba81ad5cd
20,4,508,Native,0.25,0.0,False,155779ba4e590e4f399bcdba4dbb9a325f03f24ae0591532cb8ed80b3c661816
20,4,508,Public2,0.75,0.0,False,3fa4099701ae1f2826aa3b2fa00c27b098c6a26723fe2f293c1253d5f3e813ee
20,4,509,ActionPool2,0.65,0.0,False,fac429fd3bbf348e9d4fcdd3f4be732872aa8d41c729a9cb749bd1dd37c43103
20,4,509,Common2,0.65,0.0,False,9c33f8db7ac12499f27604101598b7afcf0f9c0691ac71fd11589f57582512c4
20,4,509,Native,0.65,0.0,False,a56d550240a7ed0d52ef910d611391066b40ca89e3a7ed475848f9121546043e
20,4,509,Public2,0.85,0.0,False,6eab6686a789f987b3593fce59f847c0b555f783acff957c7c05fd52edce0f19
20,4,510,ActionPool2,0.5,0.125,False,559f0f5ede71e749b73f87ba5af36de9a4e6c6673d24ddeb216baf1a666fffcd
20,4,510,Common2,0.35,0.125,False,fabeabfcf67fee56b30c1cffc3ddf85e58b2652695d0732a27a059485a24eb4f
20,4,510,Native,0.25,0.125,False,3f4ea0150e89fad7459ed060a60c71efbcf503d21969eb0d9ed7f64144561b98
20,4,510,Public2,0.5,0.125,False,0a6d5b8085ffe1fe0be489770fef28eadd8427a5e963cbc68925d3280626b6bc
30,3,501,ActionPool2,0.06666666666666667,0.0,False,e9a7fd0d90490461ed4f58267bb9b3849bc5b6a7c40091b20f0e5d662addfe9d
30,3,501,Common2,0.03333333333333333,0.0,False,57cae7ffb00f99930b62865c1f40ba6f93c8905ccc92943a850bdf5022d1cae9
30,3,501,Native,0.03333333333333333,0.0,False,2ab8c73d846d809f7a416e486c3494cfdc3622943935c0ee88f465642ffafc9a
30,3,501,Public2,0.06666666666666667,0.0,False,259e5f62a434e9d6376b9b41c7c1d0bfdc50d62454ee88c555494a98ddc3333e
30,3,502,ActionPool2,0.6666666666666666,0.125,False,fba6746d05d0e0956137e7c43856fd3641a672894c2ee096aa94811a239d0113
30,3,502,Common2,0.1,0.0,False,c2af13334c092f68b0f95bdeb73e74a55fa55404cf07a3f3ca1a32ad2a174208
30,3,502,Native,0.7,0.125,False,ca28238300d3286be022cb578aaf861943b4d399199fae84194fcbf7b5258039
30,3,502,Public2,0.6666666666666666,0.125,False,b3ddf2a7fdc0961883a03ce7263f43053ed9ca4ceea4aa5ef210d064c698d86f
30,3,503,ActionPool2,0.8666666666666667,0.0,False,741c09a87ee701c1f6e3260840a77981c6cac4745a379227590e4d63ca077863
30,3,503,Common2,0.9,0.0,False,854c2e96a35165256b508536cc1ca1769e08e696a161b66b9786b517ef048f3f
30,3,503,Native,0.5666666666666667,0.0,False,b53f7f3fa475d37642610934b20b58d83ba03eb1bc077b3a278239a83f90b0c2
30,3,503,Public2,0.5333333333333333,0.125,False,06b7c6a55aaa099e4ea5128ad3419b1a96e0155631ad83570521819e7c1f28b2
30,3,504,ActionPool2,0.2,0.0,False,3ce9443ac845cf795608f9ecf92bacb1fe3c88a08b3d102f9d3ec0ccabe712d2
30,3,504,Common2,0.36666666666666664,0.125,False,dd74e9a74fa87d5ccb42e60c07862dbc894e3149faafbec70f39650bb47c130d
30,3,504,Native,0.4666666666666667,0.25,False,8a96827d2b6fdb30fd7605e0652881c284bf247f06566c55b20aae3f134aef3b
30,3,504,Public2,0.6666666666666666,0.125,False,359f8c75e70fbaa261680b7ff8ddf95052f5a99276bd598e61143158f6a8e161
30,3,505,ActionPool2,0.7,0.125,False,893a438b781be9d5caef4d273de35828b10b412c3d5360d956734515880e7733
30,3,505,Common2,0.6666666666666666,0.125,False,c5aab3c7ce458b7a8738a004a28d71ac21cb535186cd654199960dda3910b413
30,3,505,Native,0.8333333333333334,0.25,False,574880b5e2fbc952fcdd99e1111289ff75b04eada2e19eb1c942d51b638fa2e9
30,3,505,Public2,0.7,0.25,False,f3dc7e99b8c06c74dadb8c4a45748dcae41e35ec0c6849b327c3fa8bece3c7c0
30,3,506,ActionPool2,0.7666666666666667,0.125,False,2a9f9e772174bae46cbcef5157082038b8a450ac5ad68e3e90db53788082a855
30,3,506,Common2,0.8333333333333334,0.125,False,d57fc16b0f47eb1f01182431fa4884928388e992286f5edb275d6d66bdaa41d7
30,3,506,Native,0.3333333333333333,0.125,False,846142db5f2000bd65b5879611ffdd3b1565871067de0d3ea0309f86abcd0642
30,3,506,Public2,0.7333333333333333,0.125,False,9f3a8607dec0c515bcefecd87869a930a888fb46b28bbd509fb01757fbec0764
30,3,507,ActionPool2,0.16666666666666666,0.0,False,ddef2e2811c781d3dabb6d9ba78c94b31ec4bc1993f5583914abdf7ebaed86f4
30,3,507,Common2,0.1,0.0,False,a18e2bb21cdbed1e0fedaf32fdeb60e4a297d0d35adb2e10197c7cea1c53111f
30,3,507,Native,0.03333333333333333,0.0,False,23a2acc3f506de777f993a02fa67fcd7e90d92612d73724aedd650b68536723d
30,3,507,Public2,0.16666666666666666,0.0,False,704597b124bbbb8533b853004e4524bcf6b5497c9ee4424d202a28d1f536c681
30,3,508,ActionPool2,0.8,0.25,False,4b6262f46fa61188db10ee0f11ede2126e973df1fb872029a40d6f1c3ed9d5ae
30,3,508,Common2,0.4666666666666667,0.0,False,13449b5bc7ba9612ee84ec04dc0f4cb24166e92439a5377f4d3dca4208ccb41f
30,3,508,Native,0.7333333333333333,0.125,False,c1efa4baf7abf188a441b4e9531105edc59107bae9cbbcb05dfecfffa9defdd2
30,3,508,Public2,0.7666666666666667,0.25,False,6a353cabe91bb554c98a92a6ed3e80e401d5ffe784de95fbea6628afa30d69a7
30,3,509,ActionPool2,0.8666666666666667,0.0,False,d7e8cd2c6b0efc1c8cef98853f2f9ed966f199ce5eb64a2f4f1b96d0f62dd11a
30,3,509,Common2,0.7,0.125,False,6cc876d2226763961b95328dc673ce1bd92b5c0f19e4fe5f341dd36fb62c67af
30,3,509,Native,0.6666666666666666,0.125,False,644002b80f47ae5c91748605cf1000bea781f436b5a9d6c1b84540b01b419b14
30,3,509,Public2,0.4666666666666667,0.0,False,dcf2210c8ced6c7a2dbf960aead97930feda201aef93b780246322ae72534cac
30,3,510,ActionPool2,0.8333333333333334,0.125,False,09bb507eb97c4264f5e4f7ba2f0668e7e344e3875adb248f654deafaca6873a5
30,3,510,Common2,0.3,0.125,False,6705e409550508e79ba88c0c74f51c7020860ad3a9461c7bfbb426d83c5e6e5e
30,3,510,Native,0.03333333333333333,0.0,False,e933cb80bb1d995d2326fb8e0f04956bfaf42407b9d69a3422180eab94b46463
30,3,510,Public2,0.9,0.25,False,76a7fb19ca385b886cbc23f0a4ba432e67e590ad7fa1d1426f34095a563b4808
30,4,501,ActionPool2,0.5333333333333333,0.125,False,ab6c3975e2ce1ab89b5863b79f952a5f004f0fcd64099c28a8c32dc7b6e46c80
30,4,501,Common2,0.26666666666666666,0.125,False,3dc513d63eefae9dd4d1f97fdd7d2ef2f3076dcd92692ae938091fd838acd29e
30,4,501,Native,0.06666666666666667,0.0,False,31b7535ae863414c5d3df16cfb1f49fc307ab48a8dbb21af069043de87f06467
30,4,501,Public2,0.6,0.125,False,cf6b235528256c03c38ba2766361cb2b9e08d31112acb7cba6cc0a322a2ee504
30,4,502,ActionPool2,0.8333333333333334,0.0,False,8796f4c872005bf0ab0a965bbb0708d5b4fc0eb4f5d3376f8cfe69b691cf47d0
30,4,502,Common2,0.6,0.0,False,a3e5dc8e77e5b1f3a409dcc7d2523b6c0d44f84c7c5bbc9da8042e6d3e4b70f2
30,4,502,Native,0.5,0.125,False,16c66312b2fa739c996f1dca32fb35fd98de35be836a6867f4670e2923eef295
30,4,502,Public2,0.7,0.0,False,77fc817baf977ea79b6f4c263b2ade0baa805226b38f0908d961c820ec62b818
30,4,503,ActionPool2,0.8,0.25,False,122e67a2ea20fcee6603c5caa6da5b8c30d2436931d7ac29fc2c1f364d2ae1e4
30,4,503,Common2,0.26666666666666666,0.0,False,6eb3a824531a8f3b3f84f6104b524005cb33f40fa9b5183b8cd67032648cf5f4
30,4,503,Native,0.5,0.25,False,9d37bebb08ee59889f3491d223e5bb96ade30cbf80bbb43b14100d996b57579d
30,4,503,Public2,0.8333333333333334,0.25,False,9302562715eca73234531dd81d9307922a7c61f4330d94134aedcaafe25074f4
30,4,504,ActionPool2,0.5666666666666667,0.0,False,7a0b6cd9b1385d58ad9327012bcbecdfa75599378c56afeaf133d954bc1d4e5b
30,4,504,Common2,0.5666666666666667,0.125,False,c8dcf427837b542d400bb16cf3e85bbd4fe5058e2a923dd9b70aa64fb47b73b0
30,4,504,Native,0.4,0.0,False,ee4b8dff5a2a54ddd822a47d2db01cf0d40ac8924da82bf17bbf37a1ae529dc8
30,4,504,Public2,0.6333333333333333,0.0,False,d5866fe1c364734aa3925a1dd097a652601181c4a281b7a236308c6469a298f1
30,4,505,ActionPool2,0.7,0.125,False,de41e7428126122b7963c330bb83fcc84425357d79abcd0366fb8eeeab0e6dfb
30,4,505,Common2,0.6333333333333333,0.125,False,f10794b38d0427b18f83289fd51b9ec3d380bd0a0e8b7887e84672989f0bf4d3
30,4,505,Native,0.4,0.125,False,35bd93f4d3bf8669f2c606131c277fa7b5d7babd656d2f4d89da0664341bca15
30,4,505,Public2,0.7333333333333333,0.125,False,414f25eecdeff8c1269236c6888fc4fbdac7043f6a9885d5d3bf59527a685c52
30,4,506,ActionPool2,0.6,0.0,False,7acd24512270960393313eb5d1962d9f88997b7872e0d849e8022dda7260541d
30,4,506,Common2,0.6,0.0,False,cefb065eb1e8d64659b6a9379964ab0b72d522de941f09b173b941b577ed503e
30,4,506,Native,0.06666666666666667,0.0,False,06c17c3f65de9457e294f7d91ef6c7f3d89bc0591bf76d95ed5f16d4265a830b
30,4,506,Public2,0.6,0.0,False,d6f4d54a8be67b8bc18141b4812d052b1feb44130171490125554c7d686138a9
30,4,507,ActionPool2,0.5333333333333333,0.125,False,83c6f46f2769724f6b43cb8fcd05ff11a9a9670652d7ee4aa9cd738cc358feb3
30,4,507,Common2,0.36666666666666664,0.125,False,4de5bc6374c98e6221fc0390eb7c807b8c1fbab5721830660ad8d11efdd5a165
30,4,507,Native,0.1,0.0,False,5181bfa23fd41a5552feadbcd71452da153bb28f2bfea87b90ceb24486912a0a
30,4,507,Public2,0.5333333333333333,0.125,False,c71db4703c9ec33ab056f97483b9b010af690262e26817466d49902a9d381ca0
30,4,508,ActionPool2,0.7666666666666667,0.125,False,d3905f7ca0b55220f87649c5f25860e54cc086215d9f41db0a5c6c53c51c534f
30,4,508,Common2,0.7666666666666667,0.25,False,6c35b3d75cb0fbc784ffce90775ce0770eb8f93e20ea371adf4f685e0cc83735
30,4,508,Native,0.7,0.125,False,8c8fddd36fc2b9bc6b3200afad038da0f46dad49b70254c7169850a2fdb47729
30,4,508,Public2,0.8,0.0,False,69a17062f95cd1ab4c2717870f9b70c18dc93403264d637c5df56ac939705618
30,4,509,ActionPool2,0.5333333333333333,0.0,False,49cf2d313cac7911068b9f38f53dd0a80943683bd388b6eca66e633dfe6546d1
30,4,509,Common2,0.7666666666666667,0.0,False,8b73055edce850ef5c1027c703daf1cdd2b4070ec168156ee83b1feb0629980a
30,4,509,Native,0.3333333333333333,0.0,False,f54f97e6f3d4e60141b8be2f390677f4888090146986ebf6ca5259bb58485baf
30,4,509,Public2,0.7333333333333333,0.0,False,155e150f61d514532ac69554109520520a34ff21939f794ca5928a45dc331a7e
30,4,510,ActionPool2,0.7333333333333333,0.0,False,fec7bc6cdcaf296099ea0ff2de12d10e917a1dc97c7c3b709b3aa5248188b708
30,4,510,Common2,0.5,0.125,False,5b4993e36d680b502d05c16e03b4f46c54af7bf42a4b9e1337c275549b4adacb
30,4,510,Native,0.4,0.125,False,40bf5e75dae636afda1eb30e22ec8d60818ffec57390e1caa78a269ca878facf
30,4,510,Public2,0.6666666666666666,0.125,False,c41b0b99db33304b50a3005188966c9b8b1ef465788b1414fdfbce5a2704e79c
