condition,attempt,actual_failure,selected_action,base84/Internal,combined/Internal,combined/OutputAction
Common2,17,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.055630698800086975,0.052739180624485016,0.15018689632415771
Common2,19,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",0.040158577263355255,0.066547691822052,0.1478167623281479
Common2,20,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",0.03182293102145195,0.021963434293866158,0.03862202912569046
Common2,21,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.07861336320638657,0.5670036673545837,0.46052780747413635
Common2,22,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.038049183785915375,0.05614159628748894,0.002823081100359559
Common2,23,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",0.043606895953416824,0.06708364188671112,0.0023288214579224586
Common2,24,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.017453128471970558,0.09227661043405533,0.039586324244737625
Common2,25,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""23195""}",0.03713911026716232,0.043913595378398895,0.039451103657484055
Common2,26,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 5""}",0.012870106846094131,0.047311753034591675,0.010040228255093098
Common2,27,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.0076881637796759605,0.03131037577986717,0.001109005301259458
Common2,28,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.00943578127771616,0.030602669343352318,0.0075419144704937935
Common2,29,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 2""}",0.036191172897815704,0.0351046547293663,0.0380902960896492
Common2,30,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 3""}",0.011878950521349907,0.022454284131526947,0.015631794929504395
Internal_base84,1,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.04934356361627579,0.11330946534872055,0.12175924330949783
Internal_base84,2,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",0.03801453486084938,0.20477202534675598,0.007096223533153534
Internal_base84,3,0,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.09963949024677277,0.25262027978897095,0.9901404976844788
Internal_base84,4,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42983""}",0.030882133170962334,0.09934283047914505,0.001740047475323081
Internal_base84,5,0,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 42983}",0.13487419486045837,0.3522493243217468,0.9956874251365662
Internal_base84,6,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""64555""}",0.01690860278904438,0.06282475590705872,0.0053137196227908134
Internal_base84,7,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""42960""}",0.0048568230122327805,0.01907459646463394,0.010989689268171787
Internal_base84,8,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",0.0039797136560082436,0.023742718622088432,0.015394882299005985
Internal_base84,9,0,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 45538}",0.022236797958612442,0.1418125480413437,0.9854087233543396
Internal_base84,10,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",0.016856541857123375,0.10163012146949768,0.9712494015693665
Internal_base84,11,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",0.006489849649369717,0.019671296700835228,0.0025748719926923513
Internal_base84,12,1,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""south""}",0.02087727002799511,0.041920408606529236,0.676802933216095
Internal_base84,14,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""west""}",0.02773978002369404,0.17609260976314545,0.973914384841919
Internal_base84,15,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""west""}",0.059095777571201324,0.27610695362091064,0.9849886894226074
Internal_base84,16,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""east""}",0.062050409615039825,0.1889578253030777,0.9725242257118225
Internal_base84,17,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""east""}",0.04706743732094765,0.18234659731388092,0.5426548719406128
Internal_base84,18,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",0.012247538194060326,0.0567915253341198,0.0009745418792590499
Internal_base84,19,0,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""41261""}",0.06003513187170029,0.24818681180477142,0.9654015898704529
Internal_base84,20,0,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""south""}",0.029600027948617935,0.18136270344257355,0.770048975944519
Internal_base84,21,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",0.030603792518377304,0.07508327811956406,0.9877432584762573
Internal_base84,22,0,"{""action"": ""ROTATE_DIRECTION"", ""arg1"": ""east""}",0.040201734751462936,0.09334451705217361,0.44441676139831543
Internal_base84,23,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""south""}",0.04575226455926895,0.10091230273246765,0.7292520403862
Internal_base84,24,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",0.0201133880764246,0.04097716137766838,0.0020952587947249413
Internal_base84,25,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""41261""}",0.06484807282686234,0.0320919007062912,0.0007411057013086975
Internal_base84,26,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Possible Animal Area 1""}",0.019261259585618973,0.03655777499079704,0.008445719256997108
Internal_base84,27,1,"{""action"": ""USE"", ""arg1"": ""33276"", ""arg2"": ""23195""}",0.028543809428811073,0.11136164516210556,0.7863130569458008
Internal_base84,28,1,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 23195}",0.04360393062233925,0.24493341147899628,0.9739150404930115
Internal_base84,29,1,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 23195}",0.32162100076675415,0.5272467136383057,0.9164443016052246
Internal_combined,1,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",0.13153794407844543,0.071848563849926,0.0025975373573601246
Internal_combined,2,0,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",0.010678326711058617,0.06423384696245193,0.019749999046325684
Internal_combined,3,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",0.009493614546954632,0.03905857354402542,0.14460442960262299
Internal_combined,4,1,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",0.43195056915283203,0.22560393810272217,0.047587525099515915
Internal_combined,5,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.15356013178825378,0.3974667191505432,0.9996961355209351
Internal_combined,6,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.44008564949035645,0.43006399273872375,0.9110976457595825
Internal_combined,7,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.5355680584907532,0.5835163593292236,0.9543869495391846
Internal_combined,8,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.6683400869369507,0.769017219543457,0.993619978427887
Internal_combined,9,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.8228227496147156,0.9036215543746948,0.9799031615257263
Internal_combined,10,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9528412818908691,0.974467396736145,0.9958140254020691
Internal_combined,11,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9913514852523804,0.9932817220687866,0.999988317489624
Internal_combined,12,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.99534672498703,0.9980292916297913,0.9995331764221191
Internal_combined,13,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9966675639152527,0.9985778331756592,0.999446451663971
Internal_combined,14,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9964900612831116,0.9985016584396362,0.999446451663971
Internal_combined,15,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9968944787979126,0.9986176490783691,0.9988558292388916
Internal_combined,16,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9966912269592285,0.9987465143203735,0.999446451663971
Internal_combined,17,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.996855616569519,0.998633086681366,0.9989377856254578
Internal_combined,18,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9965448975563049,0.998498797416687,0.999446451663971
Internal_combined,19,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9962403774261475,0.9984978437423706,0.9989113807678223
Internal_combined,20,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""north""}",0.9962421655654907,0.996483325958252,0.9993025064468384
Internal_combined,21,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9504234194755554,0.9835989475250244,0.7944714426994324
Internal_combined,22,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9791066646575928,0.9905439615249634,0.9926631450653076
Internal_combined,23,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9768685698509216,0.9895089864730835,0.9925088286399841
Internal_combined,24,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""33276""}",0.7678423523902893,0.818878710269928,0.051717132329940796
Internal_combined,25,0,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.8468054533004761,0.954318106174469,0.6960130929946899
Internal_combined,27,0,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 18718}",0.5346712470054626,0.5975707769393921,0.7428135275840759
Internal_combined,28,0,"{""action"": ""MOVE_DIRECTION"", ""arg1"": ""east""}",0.15799929201602936,0.6279202699661255,0.9999395608901978
Internal_combined,29,1,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 53269}",0.31128376722335815,0.248395636677742,0.5994691252708435
OutputAction_combined,1,0,"{""action"": ""TELEPORT_TO_OBJECT"", ""arg1"": ""45538""}",0.13153794407844543,0.071848563849926,0.0025975373573601246
OutputAction_combined,2,0,"{""action"": ""DISCOVERY_FEED_GET_UPDATES""}",0.010678326711058617,0.06423384696245193,0.019749999046325684
OutputAction_combined,3,0,"{""action"": ""TELEPORT_TO_LOCATION"", ""arg1"": ""Instrument Table""}",0.009493614546954632,0.03905857354402542,0.14460442960262299
OutputAction_combined,4,1,"{""action"": ""PICKUP"", ""arg1"": ""33276""}",0.43195056915283203,0.22560393810272217,0.047587525099515915
OutputAction_combined,5,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.7247856259346008,0.8093202710151672,0.9766228199005127
OutputAction_combined,6,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.44008564949035645,0.43006399273872375,0.9110976457595825
OutputAction_combined,7,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.5355680584907532,0.5835163593292236,0.9543869495391846
OutputAction_combined,8,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.6683400869369507,0.769017219543457,0.993619978427887
OutputAction_combined,9,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.8228227496147156,0.9036215543746948,0.9799031615257263
OutputAction_combined,10,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9528412818908691,0.974467396736145,0.9958140254020691
OutputAction_combined,11,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9916553497314453,0.9946902990341187,0.9993360638618469
OutputAction_combined,12,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.99534672498703,0.9980292916297913,0.9995331764221191
OutputAction_combined,13,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9983715415000916,0.9986787438392639,0.9988310933113098
OutputAction_combined,14,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.998572587966919,0.9987565279006958,0.9989193677902222
OutputAction_combined,15,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9968944787979126,0.9986176490783691,0.9988558292388916
OutputAction_combined,16,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9966912269592285,0.9987465143203735,0.999446451663971
OutputAction_combined,17,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.996855616569519,0.998633086681366,0.9989377856254578
OutputAction_combined,18,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9965448975563049,0.998498797416687,0.999446451663971
OutputAction_combined,19,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9984123706817627,0.9986683130264282,0.9988823533058167
OutputAction_combined,20,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9969568252563477,0.9986540079116821,0.9986948370933533
OutputAction_combined,21,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9972947239875793,0.9989481568336487,0.999446451663971
OutputAction_combined,22,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9974507689476013,0.9988892674446106,0.9994414448738098
OutputAction_combined,23,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.997498095035553,0.9988142251968384,0.9994414448738098
OutputAction_combined,24,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.997333288192749,0.9987596273422241,0.9994414448738098
OutputAction_combined,25,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9974147081375122,0.9988092184066772,0.9994414448738098
OutputAction_combined,26,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.997605562210083,0.9989293217658997,0.9994414448738098
OutputAction_combined,27,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9970263838768005,0.998694121837616,0.9994414448738098
OutputAction_combined,28,1,"{""action"": ""PICKUP"", ""arg1"": 33276}",0.9971216320991516,0.9988069534301758,0.9994414448738098
OutputAction_combined,29,1,"{""action"": ""USE"", ""arg1"": 33276, ""arg2"": 37350}",0.9957005381584167,0.9945216178894043,0.9718592762947083
