budget,seed,task_id,arm,query,SUN
10,2,Al-Li-V,full_support_aware,10,0
10,2,Al-V-Zn,baseline_reference,0,0
10,2,Al-V-Zn,baseline_reference,1,1
10,2,Al-V-Zn,baseline_reference,2,2
10,2,Al-V-Zn,baseline_reference,3,2
10,2,Al-V-Zn,baseline_reference,4,3
10,2,Al-V-Zn,baseline_reference,5,3
10,2,Al-V-Zn,baseline_reference,6,3
10,2,Al-V-Zn,baseline_reference,7,3
10,2,Al-V-Zn,baseline_reference,8,3
10,2,Al-V-Zn,baseline_reference,9,3
10,2,Al-V-Zn,baseline_reference,10,4
10,2,Al-V-Zn,uq_only_support_aware,0,0
10,2,Al-V-Zn,uq_only_support_aware,1,1
10,2,Al-V-Zn,uq_only_support_aware,2,2
10,2,Al-V-Zn,uq_only_support_aware,3,3
10,2,Al-V-Zn,uq_only_support_aware,4,3
10,2,Al-V-Zn,uq_only_support_aware,5,4
10,2,Al-V-Zn,uq_only_support_aware,6,5
10,2,Al-V-Zn,uq_only_support_aware,7,5
10,2,Al-V-Zn,uq_only_support_aware,8,5
10,2,Al-V-Zn,uq_only_support_aware,9,5
10,2,Al-V-Zn,uq_only_support_aware,10,5
10,2,Al-V-Zn,es_only_independent,0,0
10,2,Al-V-Zn,es_only_independent,1,1
10,2,Al-V-Zn,es_only_independent,2,1
10,2,Al-V-Zn,es_only_independent,3,2
10,2,Al-V-Zn,es_only_independent,4,2
10,2,Al-V-Zn,es_only_independent,5,2
10,2,Al-V-Zn,es_only_independent,6,2
10,2,Al-V-Zn,es_only_independent,7,3
10,2,Al-V-Zn,es_only_independent,8,4
10,2,Al-V-Zn,es_only_independent,9,4
10,2,Al-V-Zn,es_only_independent,10,4
10,2,Al-V-Zn,full_support_aware,0,0
10,2,Al-V-Zn,full_support_aware,1,1
10,2,Al-V-Zn,full_support_aware,2,1
10,2,Al-V-Zn,full_support_aware,3,1
10,2,Al-V-Zn,full_support_aware,4,1
10,2,Al-V-Zn,full_support_aware,5,2
10,2,Al-V-Zn,full_support_aware,6,2
10,2,Al-V-Zn,full_support_aware,7,3
10,2,Al-V-Zn,full_support_aware,8,4
10,2,Al-V-Zn,full_support_aware,9,4
10,2,Al-V-Zn,full_support_aware,10,4
10,2,Au-Cr-Cs-Dy,baseline_reference,0,0
10,2,Au-Cr-Cs-Dy,baseline_reference,1,0
10,2,Au-Cr-Cs-Dy,baseline_reference,2,0
10,2,Au-Cr-Cs-Dy,baseline_reference,3,0
10,2,Au-Cr-Cs-Dy,baseline_reference,4,0
10,2,Au-Cr-Cs-Dy,baseline_reference,5,0
10,2,Au-Cr-Cs-Dy,baseline_reference,6,0
10,2,Au-Cr-Cs-Dy,baseline_reference,7,0
10,2,Au-Cr-Cs-Dy,baseline_reference,8,0
10,2,Au-Cr-Cs-Dy,baseline_reference,9,0
10,2,Au-Cr-Cs-Dy,baseline_reference,10,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,0,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,1,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,2,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,3,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,4,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,5,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,6,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,7,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,8,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,9,0
10,2,Au-Cr-Cs-Dy,uq_only_support_aware,10,0
10,2,Au-Cr-Cs-Dy,es_only_independent,0,0
10,2,Au-Cr-Cs-Dy,es_only_independent,1,1
10,2,Au-Cr-Cs-Dy,es_only_independent,2,1
10,2,Au-Cr-Cs-Dy,es_only_independent,3,2
10,2,Au-Cr-Cs-Dy,es_only_independent,4,3
10,2,Au-Cr-Cs-Dy,es_only_independent,5,4
10,2,Au-Cr-Cs-Dy,es_only_independent,6,4
10,2,Au-Cr-Cs-Dy,es_only_independent,7,4
10,2,Au-Cr-Cs-Dy,es_only_independent,8,4
10,2,Au-Cr-Cs-Dy,es_only_independent,9,4
10,2,Au-Cr-Cs-Dy,es_only_independent,10,4
10,2,Au-Cr-Cs-Dy,full_support_aware,0,0
10,2,Au-Cr-Cs-Dy,full_support_aware,1,0
10,2,Au-Cr-Cs-Dy,full_support_aware,2,0
10,2,Au-Cr-Cs-Dy,full_support_aware,3,0
10,2,Au-Cr-Cs-Dy,full_support_aware,4,0
10,2,Au-Cr-Cs-Dy,full_support_aware,5,0
10,2,Au-Cr-Cs-Dy,full_support_aware,6,0
10,2,Au-Cr-Cs-Dy,full_support_aware,7,0
10,2,Au-Cr-Cs-Dy,full_support_aware,8,0
10,2,Au-Cr-Cs-Dy,full_support_aware,9,0
10,2,Au-Cr-Cs-Dy,full_support_aware,10,0
10,2,Au-K-Tb,baseline_reference,0,0
10,2,Au-K-Tb,baseline_reference,1,0
10,2,Au-K-Tb,baseline_reference,2,0
10,2,Au-K-Tb,baseline_reference,3,0
10,2,Au-K-Tb,baseline_reference,4,1
10,2,Au-K-Tb,baseline_reference,5,1
10,2,Au-K-Tb,baseline_reference,6,1
10,2,Au-K-Tb,baseline_reference,7,2
10,2,Au-K-Tb,baseline_reference,8,3
10,2,Au-K-Tb,baseline_reference,9,3
10,2,Au-K-Tb,baseline_reference,10,4
10,2,Au-K-Tb,uq_only_support_aware,0,0
10,2,Au-K-Tb,uq_only_support_aware,1,0
10,2,Au-K-Tb,uq_only_support_aware,2,0
10,2,Au-K-Tb,uq_only_support_aware,3,0
10,2,Au-K-Tb,uq_only_support_aware,4,0
10,2,Au-K-Tb,uq_only_support_aware,5,1
10,2,Au-K-Tb,uq_only_support_aware,6,2
10,2,Au-K-Tb,uq_only_support_aware,7,2
10,2,Au-K-Tb,uq_only_support_aware,8,3
10,2,Au-K-Tb,uq_only_support_aware,9,3
10,2,Au-K-Tb,uq_only_support_aware,10,3
10,2,Au-K-Tb,es_only_independent,0,0
10,2,Au-K-Tb,es_only_independent,1,1
10,2,Au-K-Tb,es_only_independent,2,1
10,2,Au-K-Tb,es_only_independent,3,1
10,2,Au-K-Tb,es_only_independent,4,1
10,2,Au-K-Tb,es_only_independent,5,1
10,2,Au-K-Tb,es_only_independent,6,1
10,2,Au-K-Tb,es_only_independent,7,1
10,2,Au-K-Tb,es_only_independent,8,1
10,2,Au-K-Tb,es_only_independent,9,1
10,2,Au-K-Tb,es_only_independent,10,1
10,2,Au-K-Tb,full_support_aware,0,0
10,2,Au-K-Tb,full_support_aware,1,0
10,2,Au-K-Tb,full_support_aware,2,0
10,2,Au-K-Tb,full_support_aware,3,0
10,2,Au-K-Tb,full_support_aware,4,0
10,2,Au-K-Tb,full_support_aware,5,0
10,2,Au-K-Tb,full_support_aware,6,0
10,2,Au-K-Tb,full_support_aware,7,0
10,2,Au-K-Tb,full_support_aware,8,0
10,2,Au-K-Tb,full_support_aware,9,0
10,2,Au-K-Tb,full_support_aware,10,0
10,2,Au-Tb-V-Y,baseline_reference,0,0
10,2,Au-Tb-V-Y,baseline_reference,1,0
10,2,Au-Tb-V-Y,baseline_reference,2,0
10,2,Au-Tb-V-Y,baseline_reference,3,0
10,2,Au-Tb-V-Y,baseline_reference,4,0
10,2,Au-Tb-V-Y,baseline_reference,5,1
10,2,Au-Tb-V-Y,baseline_reference,6,1
10,2,Au-Tb-V-Y,baseline_reference,7,1
10,2,Au-Tb-V-Y,baseline_reference,8,1
10,2,Au-Tb-V-Y,baseline_reference,9,1
10,2,Au-Tb-V-Y,baseline_reference,10,1
10,2,Au-Tb-V-Y,uq_only_support_aware,0,0
10,2,Au-Tb-V-Y,uq_only_support_aware,1,0
10,2,Au-Tb-V-Y,uq_only_support_aware,2,0
10,2,Au-Tb-V-Y,uq_only_support_aware,3,0
10,2,Au-Tb-V-Y,uq_only_support_aware,4,0
10,2,Au-Tb-V-Y,uq_only_support_aware,5,1
10,2,Au-Tb-V-Y,uq_only_support_aware,6,1
10,2,Au-Tb-V-Y,uq_only_support_aware,7,1
10,2,Au-Tb-V-Y,uq_only_support_aware,8,1
10,2,Au-Tb-V-Y,uq_only_support_aware,9,1
10,2,Au-Tb-V-Y,uq_only_support_aware,10,1
10,2,Au-Tb-V-Y,es_only_independent,0,0
10,2,Au-Tb-V-Y,es_only_independent,1,0
10,2,Au-Tb-V-Y,es_only_independent,2,0
10,2,Au-Tb-V-Y,es_only_independent,3,1
10,2,Au-Tb-V-Y,es_only_independent,4,1
10,2,Au-Tb-V-Y,es_only_independent,5,1
10,2,Au-Tb-V-Y,es_only_independent,6,1
10,2,Au-Tb-V-Y,es_only_independent,7,1
10,2,Au-Tb-V-Y,es_only_independent,8,1
10,2,Au-Tb-V-Y,es_only_independent,9,1
10,2,Au-Tb-V-Y,es_only_independent,10,1
10,2,Au-Tb-V-Y,full_support_aware,0,0
10,2,Au-Tb-V-Y,full_support_aware,1,0
10,2,Au-Tb-V-Y,full_support_aware,2,0
10,2,Au-Tb-V-Y,full_support_aware,3,0
10,2,Au-Tb-V-Y,full_support_aware,4,0
10,2,Au-Tb-V-Y,full_support_aware,5,0
10,2,Au-Tb-V-Y,full_support_aware,6,0
10,2,Au-Tb-V-Y,full_support_aware,7,0
10,2,Au-Tb-V-Y,full_support_aware,8,0
10,2,Au-Tb-V-Y,full_support_aware,9,0
10,2,Au-Tb-V-Y,full_support_aware,10,0
10,2,Ba-Be-Hf-Li,baseline_reference,0,0
10,2,Ba-Be-Hf-Li,baseline_reference,1,0
10,2,Ba-Be-Hf-Li,baseline_reference,2,0
10,2,Ba-Be-Hf-Li,baseline_reference,3,0
10,2,Ba-Be-Hf-Li,baseline_reference,4,0
10,2,Ba-Be-Hf-Li,baseline_reference,5,0
10,2,Ba-Be-Hf-Li,baseline_reference,6,0
10,2,Ba-Be-Hf-Li,baseline_reference,7,0
10,2,Ba-Be-Hf-Li,baseline_reference,8,0
10,2,Ba-Be-Hf-Li,baseline_reference,9,0
10,2,Ba-Be-Hf-Li,baseline_reference,10,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,0,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,1,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,2,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,3,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,4,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,5,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,6,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,7,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,8,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,9,0
10,2,Ba-Be-Hf-Li,uq_only_support_aware,10,0
10,2,Ba-Be-Hf-Li,es_only_independent,0,0
10,2,Ba-Be-Hf-Li,es_only_independent,1,0
10,2,Ba-Be-Hf-Li,es_only_independent,2,0
10,2,Ba-Be-Hf-Li,es_only_independent,3,0
10,2,Ba-Be-Hf-Li,es_only_independent,4,0
10,2,Ba-Be-Hf-Li,es_only_independent,5,0
10,2,Ba-Be-Hf-Li,es_only_independent,6,0
10,2,Ba-Be-Hf-Li,es_only_independent,7,0
10,2,Ba-Be-Hf-Li,es_only_independent,8,0
10,2,Ba-Be-Hf-Li,es_only_independent,9,0
10,2,Ba-Be-Hf-Li,es_only_independent,10,0
10,2,Ba-Be-Hf-Li,full_support_aware,0,0
10,2,Ba-Be-Hf-Li,full_support_aware,1,0
10,2,Ba-Be-Hf-Li,full_support_aware,2,0
10,2,Ba-Be-Hf-Li,full_support_aware,3,0
10,2,Ba-Be-Hf-Li,full_support_aware,4,0
10,2,Ba-Be-Hf-Li,full_support_aware,5,0
10,2,Ba-Be-Hf-Li,full_support_aware,6,0
10,2,Ba-Be-Hf-Li,full_support_aware,7,0
10,2,Ba-Be-Hf-Li,full_support_aware,8,0
10,2,Ba-Be-Hf-Li,full_support_aware,9,0
10,2,Ba-Be-Hf-Li,full_support_aware,10,0
10,2,Ba-Nd-Ni-W,baseline_reference,0,0
10,2,Ba-Nd-Ni-W,baseline_reference,1,0
10,2,Ba-Nd-Ni-W,baseline_reference,2,0
10,2,Ba-Nd-Ni-W,baseline_reference,3,0
10,2,Ba-Nd-Ni-W,baseline_reference,4,0
10,2,Ba-Nd-Ni-W,baseline_reference,5,0
10,2,Ba-Nd-Ni-W,baseline_reference,6,0
10,2,Ba-Nd-Ni-W,baseline_reference,7,0
10,2,Ba-Nd-Ni-W,baseline_reference,8,0
10,2,Ba-Nd-Ni-W,baseline_reference,9,0
10,2,Ba-Nd-Ni-W,baseline_reference,10,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,0,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,1,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,2,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,3,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,4,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,5,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,6,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,7,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,8,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,9,0
10,2,Ba-Nd-Ni-W,uq_only_support_aware,10,0
10,2,Ba-Nd-Ni-W,es_only_independent,0,0
10,2,Ba-Nd-Ni-W,es_only_independent,1,0
10,2,Ba-Nd-Ni-W,es_only_independent,2,0
10,2,Ba-Nd-Ni-W,es_only_independent,3,0
10,2,Ba-Nd-Ni-W,es_only_independent,4,0
10,2,Ba-Nd-Ni-W,es_only_independent,5,0
10,2,Ba-Nd-Ni-W,es_only_independent,6,0
10,2,Ba-Nd-Ni-W,es_only_independent,7,0
10,2,Ba-Nd-Ni-W,es_only_independent,8,0
10,2,Ba-Nd-Ni-W,es_only_independent,9,0
10,2,Ba-Nd-Ni-W,es_only_independent,10,0
10,2,Ba-Nd-Ni-W,full_support_aware,0,0
10,2,Ba-Nd-Ni-W,full_support_aware,1,0
10,2,Ba-Nd-Ni-W,full_support_aware,2,0
10,2,Ba-Nd-Ni-W,full_support_aware,3,0
10,2,Ba-Nd-Ni-W,full_support_aware,4,0
10,2,Ba-Nd-Ni-W,full_support_aware,5,0
10,2,Ba-Nd-Ni-W,full_support_aware,6,0
10,2,Ba-Nd-Ni-W,full_support_aware,7,0
10,2,Ba-Nd-Ni-W,full_support_aware,8,0
10,2,Ba-Nd-Ni-W,full_support_aware,9,0
10,2,Ba-Nd-Ni-W,full_support_aware,10,0
10,2,Ca-Pd-Sn-W,baseline_reference,0,0
10,2,Ca-Pd-Sn-W,baseline_reference,1,0
10,2,Ca-Pd-Sn-W,baseline_reference,2,0
10,2,Ca-Pd-Sn-W,baseline_reference,3,0
10,2,Ca-Pd-Sn-W,baseline_reference,4,0
10,2,Ca-Pd-Sn-W,baseline_reference,5,0
10,2,Ca-Pd-Sn-W,baseline_reference,6,0
10,2,Ca-Pd-Sn-W,baseline_reference,7,0
10,2,Ca-Pd-Sn-W,baseline_reference,8,0
10,2,Ca-Pd-Sn-W,baseline_reference,9,0
10,2,Ca-Pd-Sn-W,baseline_reference,10,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,0,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,1,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,2,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,3,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,4,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,5,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,6,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,7,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,8,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,9,0
10,2,Ca-Pd-Sn-W,uq_only_support_aware,10,0
10,2,Ca-Pd-Sn-W,es_only_independent,0,0
10,2,Ca-Pd-Sn-W,es_only_independent,1,0
10,2,Ca-Pd-Sn-W,es_only_independent,2,0
10,2,Ca-Pd-Sn-W,es_only_independent,3,0
10,2,Ca-Pd-Sn-W,es_only_independent,4,0
10,2,Ca-Pd-Sn-W,es_only_independent,5,0
10,2,Ca-Pd-Sn-W,es_only_independent,6,0
10,2,Ca-Pd-Sn-W,es_only_independent,7,0
10,2,Ca-Pd-Sn-W,es_only_independent,8,0
10,2,Ca-Pd-Sn-W,es_only_independent,9,0
10,2,Ca-Pd-Sn-W,es_only_independent,10,0
10,2,Ca-Pd-Sn-W,full_support_aware,0,0
10,2,Ca-Pd-Sn-W,full_support_aware,1,0
10,2,Ca-Pd-Sn-W,full_support_aware,2,0
10,2,Ca-Pd-Sn-W,full_support_aware,3,0
10,2,Ca-Pd-Sn-W,full_support_aware,4,0
10,2,Ca-Pd-Sn-W,full_support_aware,5,0
10,2,Ca-Pd-Sn-W,full_support_aware,6,0
10,2,Ca-Pd-Sn-W,full_support_aware,7,0
10,2,Ca-Pd-Sn-W,full_support_aware,8,0
10,2,Ca-Pd-Sn-W,full_support_aware,9,0
10,2,Ca-Pd-Sn-W,full_support_aware,10,0
10,2,Ce-Er-Pb-Rh,baseline_reference,0,0
10,2,Ce-Er-Pb-Rh,baseline_reference,1,0
10,2,Ce-Er-Pb-Rh,baseline_reference,2,1
10,2,Ce-Er-Pb-Rh,baseline_reference,3,1
10,2,Ce-Er-Pb-Rh,baseline_reference,4,1
10,2,Ce-Er-Pb-Rh,baseline_reference,5,1
10,2,Ce-Er-Pb-Rh,baseline_reference,6,1
10,2,Ce-Er-Pb-Rh,baseline_reference,7,2
10,2,Ce-Er-Pb-Rh,baseline_reference,8,3
10,2,Ce-Er-Pb-Rh,baseline_reference,9,3
10,2,Ce-Er-Pb-Rh,baseline_reference,10,3
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,0,0
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,1,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,2,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,3,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,4,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,5,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,6,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,7,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,8,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,9,1
10,2,Ce-Er-Pb-Rh,uq_only_support_aware,10,1
10,2,Ce-Er-Pb-Rh,es_only_independent,0,0
10,2,Ce-Er-Pb-Rh,es_only_independent,1,1
10,2,Ce-Er-Pb-Rh,es_only_independent,2,1
10,2,Ce-Er-Pb-Rh,es_only_independent,3,1
10,2,Ce-Er-Pb-Rh,es_only_independent,4,1
10,2,Ce-Er-Pb-Rh,es_only_independent,5,1
10,2,Ce-Er-Pb-Rh,es_only_independent,6,1
10,2,Ce-Er-Pb-Rh,es_only_independent,7,1
10,2,Ce-Er-Pb-Rh,es_only_independent,8,1
10,2,Ce-Er-Pb-Rh,es_only_independent,9,1
10,2,Ce-Er-Pb-Rh,es_only_independent,10,1
10,2,Ce-Er-Pb-Rh,full_support_aware,0,0
10,2,Ce-Er-Pb-Rh,full_support_aware,1,0
10,2,Ce-Er-Pb-Rh,full_support_aware,2,0
10,2,Ce-Er-Pb-Rh,full_support_aware,3,0
10,2,Ce-Er-Pb-Rh,full_support_aware,4,1
10,2,Ce-Er-Pb-Rh,full_support_aware,5,1
10,2,Ce-Er-Pb-Rh,full_support_aware,6,1
10,2,Ce-Er-Pb-Rh,full_support_aware,7,1
10,2,Ce-Er-Pb-Rh,full_support_aware,8,2
10,2,Ce-Er-Pb-Rh,full_support_aware,9,3
10,2,Ce-Er-Pb-Rh,full_support_aware,10,3
10,2,Ce-Ir-Pt-Sn,baseline_reference,0,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,1,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,2,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,3,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,4,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,5,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,6,0
10,2,Ce-Ir-Pt-Sn,baseline_reference,7,1
10,2,Ce-Ir-Pt-Sn,baseline_reference,8,1
10,2,Ce-Ir-Pt-Sn,baseline_reference,9,1
10,2,Ce-Ir-Pt-Sn,baseline_reference,10,1
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,0,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,1,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,2,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,3,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,4,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,5,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,6,0
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,7,1
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,8,2
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,9,3
10,2,Ce-Ir-Pt-Sn,uq_only_support_aware,10,4
10,2,Ce-Ir-Pt-Sn,es_only_independent,0,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,1,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,2,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,3,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,4,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,5,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,6,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,7,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,8,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,9,0
10,2,Ce-Ir-Pt-Sn,es_only_independent,10,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,0,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,1,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,2,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,3,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,4,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,5,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,6,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,7,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,8,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,9,0
10,2,Ce-Ir-Pt-Sn,full_support_aware,10,0
10,2,Co-Dy-W,baseline_reference,0,0
10,2,Co-Dy-W,baseline_reference,1,0
10,2,Co-Dy-W,baseline_reference,2,0
10,2,Co-Dy-W,baseline_reference,3,0
10,2,Co-Dy-W,baseline_reference,4,0
10,2,Co-Dy-W,baseline_reference,5,0
10,2,Co-Dy-W,baseline_reference,6,0
10,2,Co-Dy-W,baseline_reference,7,0
10,2,Co-Dy-W,baseline_reference,8,0
10,2,Co-Dy-W,baseline_reference,9,0
10,2,Co-Dy-W,baseline_reference,10,0
10,2,Co-Dy-W,uq_only_support_aware,0,0
10,2,Co-Dy-W,uq_only_support_aware,1,0
10,2,Co-Dy-W,uq_only_support_aware,2,0
10,2,Co-Dy-W,uq_only_support_aware,3,1
10,2,Co-Dy-W,uq_only_support_aware,4,1
10,2,Co-Dy-W,uq_only_support_aware,5,1
10,2,Co-Dy-W,uq_only_support_aware,6,1
10,2,Co-Dy-W,uq_only_support_aware,7,1
10,2,Co-Dy-W,uq_only_support_aware,8,1
10,2,Co-Dy-W,uq_only_support_aware,9,1
10,2,Co-Dy-W,uq_only_support_aware,10,2
10,2,Co-Dy-W,es_only_independent,0,0
10,2,Co-Dy-W,es_only_independent,1,0
10,2,Co-Dy-W,es_only_independent,2,0
10,2,Co-Dy-W,es_only_independent,3,0
10,2,Co-Dy-W,es_only_independent,4,0
10,2,Co-Dy-W,es_only_independent,5,0
10,2,Co-Dy-W,es_only_independent,6,0
10,2,Co-Dy-W,es_only_independent,7,0
10,2,Co-Dy-W,es_only_independent,8,0
10,2,Co-Dy-W,es_only_independent,9,0
10,2,Co-Dy-W,es_only_independent,10,0
10,2,Co-Dy-W,full_support_aware,0,0
10,2,Co-Dy-W,full_support_aware,1,0
10,2,Co-Dy-W,full_support_aware,2,0
10,2,Co-Dy-W,full_support_aware,3,0
10,2,Co-Dy-W,full_support_aware,4,0
10,2,Co-Dy-W,full_support_aware,5,0
10,2,Co-Dy-W,full_support_aware,6,0
10,2,Co-Dy-W,full_support_aware,7,0
10,2,Co-Dy-W,full_support_aware,8,0
10,2,Co-Dy-W,full_support_aware,9,0
10,2,Co-Dy-W,full_support_aware,10,0
10,2,Co-Mg-Na,baseline_reference,0,0
10,2,Co-Mg-Na,baseline_reference,1,0
10,2,Co-Mg-Na,baseline_reference,2,0
10,2,Co-Mg-Na,baseline_reference,3,0
10,2,Co-Mg-Na,baseline_reference,4,0
10,2,Co-Mg-Na,baseline_reference,5,0
10,2,Co-Mg-Na,baseline_reference,6,0
10,2,Co-Mg-Na,baseline_reference,7,0
10,2,Co-Mg-Na,baseline_reference,8,0
10,2,Co-Mg-Na,baseline_reference,9,0
10,2,Co-Mg-Na,baseline_reference,10,0
10,2,Co-Mg-Na,uq_only_support_aware,0,0
10,2,Co-Mg-Na,uq_only_support_aware,1,0
10,2,Co-Mg-Na,uq_only_support_aware,2,0
10,2,Co-Mg-Na,uq_only_support_aware,3,0
