arm,budget,seed,task_id,status,SUN,AUDC
es_only_independent,10,2,Al-Li-V,accepted,1,0.15
es_only_independent,10,2,Al-V-Zn,accepted,4,0.46
es_only_independent,10,2,Au-K-Tb,accepted,1,0.19
es_only_independent,10,2,Co-Dy-W,accepted,0,0.0
es_only_independent,10,2,Co-Mg-Na,accepted,0,0.0
es_only_independent,10,3,Al-Li-V,accepted,0,0.0
es_only_independent,10,3,Al-V-Zn,accepted,5,0.63
es_only_independent,10,3,Au-K-Tb,accepted,1,0.17
es_only_independent,10,3,Co-Dy-W,accepted,0,0.0
es_only_independent,10,3,Co-Mg-Na,accepted,0,0.0
es_only_independent,10,4,Al-Li-V,unclaimed,,
es_only_independent,10,4,Al-V-Zn,unclaimed,,
es_only_independent,10,4,Au-K-Tb,unclaimed,,
es_only_independent,10,4,Co-Dy-W,unclaimed,,
es_only_independent,10,4,Co-Mg-Na,unclaimed,,
es_only_independent,30,2,Al-Li-V,unclaimed,,
es_only_independent,30,2,Al-V-Zn,unclaimed,,
es_only_independent,30,2,Au-K-Tb,unclaimed,,
es_only_independent,30,2,Co-Dy-W,unclaimed,,
es_only_independent,30,2,Co-Mg-Na,unclaimed,,
es_only_independent,30,3,Al-Li-V,unclaimed,,
es_only_independent,30,3,Al-V-Zn,unclaimed,,
es_only_independent,30,3,Au-K-Tb,unclaimed,,
es_only_independent,30,3,Co-Dy-W,unclaimed,,
es_only_independent,30,3,Co-Mg-Na,unclaimed,,
es_only_independent,30,4,Al-Li-V,unclaimed,,
es_only_independent,30,4,Al-V-Zn,unclaimed,,
es_only_independent,30,4,Au-K-Tb,unclaimed,,
es_only_independent,30,4,Co-Dy-W,unclaimed,,
es_only_independent,30,4,Co-Mg-Na,unclaimed,,
es_only_independent,50,2,Al-Li-V,unclaimed,,
es_only_independent,50,2,Al-V-Zn,unclaimed,,
es_only_independent,50,2,Au-K-Tb,unclaimed,,
es_only_independent,50,2,Co-Dy-W,unclaimed,,
es_only_independent,50,2,Co-Mg-Na,unclaimed,,
es_only_independent,50,3,Al-Li-V,unclaimed,,
es_only_independent,50,3,Al-V-Zn,unclaimed,,
es_only_independent,50,3,Au-K-Tb,unclaimed,,
es_only_independent,50,3,Co-Dy-W,unclaimed,,
es_only_independent,50,3,Co-Mg-Na,unclaimed,,
es_only_independent,50,4,Al-Li-V,unclaimed,,
es_only_independent,50,4,Al-V-Zn,unclaimed,,
es_only_independent,50,4,Au-K-Tb,unclaimed,,
es_only_independent,50,4,Co-Dy-W,unclaimed,,
es_only_independent,50,4,Co-Mg-Na,unclaimed,,
full_support_aware,10,2,Al-Li-V,accepted,0,0.0
full_support_aware,10,2,Al-V-Zn,accepted,4,0.42
full_support_aware,10,2,Au-K-Tb,accepted,0,0.0
full_support_aware,10,2,Co-Dy-W,accepted,0,0.0
full_support_aware,10,2,Co-Mg-Na,accepted,2,0.08
full_support_aware,10,3,Al-Li-V,unclaimed,,
full_support_aware,10,3,Al-V-Zn,unclaimed,,
full_support_aware,10,3,Au-K-Tb,unclaimed,,
full_support_aware,10,3,Co-Dy-W,unclaimed,,
full_support_aware,10,3,Co-Mg-Na,unclaimed,,
full_support_aware,10,4,Al-Li-V,unclaimed,,
full_support_aware,10,4,Al-V-Zn,unclaimed,,
full_support_aware,10,4,Au-K-Tb,unclaimed,,
full_support_aware,10,4,Co-Dy-W,unclaimed,,
full_support_aware,10,4,Co-Mg-Na,unclaimed,,
full_support_aware,30,2,Al-Li-V,unclaimed,,
full_support_aware,30,2,Al-V-Zn,unclaimed,,
full_support_aware,30,2,Au-K-Tb,unclaimed,,
full_support_aware,30,2,Co-Dy-W,unclaimed,,
full_support_aware,30,2,Co-Mg-Na,unclaimed,,
full_support_aware,30,3,Al-Li-V,unclaimed,,
full_support_aware,30,3,Al-V-Zn,unclaimed,,
full_support_aware,30,3,Au-K-Tb,unclaimed,,
full_support_aware,30,3,Co-Dy-W,unclaimed,,
full_support_aware,30,3,Co-Mg-Na,unclaimed,,
full_support_aware,30,4,Al-Li-V,unclaimed,,
full_support_aware,30,4,Al-V-Zn,unclaimed,,
full_support_aware,30,4,Au-K-Tb,unclaimed,,
full_support_aware,30,4,Co-Dy-W,unclaimed,,
full_support_aware,30,4,Co-Mg-Na,unclaimed,,
full_support_aware,50,2,Al-Li-V,unclaimed,,
full_support_aware,50,2,Al-V-Zn,unclaimed,,
full_support_aware,50,2,Au-K-Tb,unclaimed,,
full_support_aware,50,2,Co-Dy-W,unclaimed,,
full_support_aware,50,2,Co-Mg-Na,unclaimed,,
full_support_aware,50,3,Al-Li-V,unclaimed,,
full_support_aware,50,3,Al-V-Zn,unclaimed,,
full_support_aware,50,3,Au-K-Tb,unclaimed,,
full_support_aware,50,3,Co-Dy-W,unclaimed,,
full_support_aware,50,3,Co-Mg-Na,unclaimed,,
full_support_aware,50,4,Al-Li-V,unclaimed,,
full_support_aware,50,4,Al-V-Zn,unclaimed,,
full_support_aware,50,4,Au-K-Tb,unclaimed,,
full_support_aware,50,4,Co-Dy-W,unclaimed,,
full_support_aware,50,4,Co-Mg-Na,unclaimed,,
