AUDC,SUN,arm,budget,job_id,seed,task_id,proposals,executed_tools,physical_steps,initialization_ORB,MACE_count_field,MACE_count_field_missing,MACE_events,wall_seconds,graph_seconds,llm_calls,prompt_tokens,completion_tokens,failed_selects,tool_failures,graph_succeeded,graph_unavailable,invalid_generation,controller_schema_retry_requests,controller_neural_retry_requests,actual_second_proposals,actual_second_schema,actual_second_neural,selected_second,selected_second_after_schema,multiple_valid_risk_selection_changed,supported_scalar_ge_threshold,unexecuted_neural_second,neural_second_generation_seconds,neural_second_graph_seconds,neural_second_prompt_tokens,neural_second_completion_tokens,generate_structures_executed,score_buffer_executed,query_structures_executed,select_for_evaluation_executed,get_buffer_stats_executed,list_compositions_executed,create_structure_executed,scalar_NN_n,scalar_NN_min,scalar_NN_max,model_state_hash,selected_generation,direct_stable_new_events,repeated_step_candidate_hashes,SUN_curve
0.0,0,full_support_aware,10,support-final-f6823e6cdf872a727ba2d1e8,4,Co-Dy-W,17,16,10,11,,1,0,1071.147506760899,757.5086189773865,17,37272,2372,1,1,11,6,1,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,4,0,1,11,0,0,0,16,0.4996664226055145,0.500624418258667,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.08,2,full_support_aware,10,support-final-03a88c2191e750bc3ef7d49f,2,Co-Mg-Na,15,14,10,13,,1,0,1011.3061305563897,725.3294841032475,15,27897,2242,0,0,12,3,0,0,1,1,0,1,0,0,0,0,1,12.979370451532304,8.373381574638188,1765,138,4,0,0,10,0,0,0,15,0.4995139241218567,0.5009710788726807,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,2,0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 2]"
0.0,0,full_support_aware,10,support-final-c2968e57d9e2851ad1f9774e,3,Co-Mg-Na,19,18,10,13,44,0,44,1638.04525595624,1209.69332060311,19,45701,2638,2,2,15,4,1,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,4,1,1,12,0,0,0,18,0.49935078620910645,0.5009732246398926,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,full_support_aware,10,support-final-32b9c75a950dc72b690b9f75,4,Co-Mg-Na,19,18,10,13,84,0,84,1226.0548757077195,849.2883153418079,19,34197,2493,2,2,15,4,0,0,1,1,0,1,0,0,0,0,1,11.489122293889523,8.592158302199095,1872,112,4,2,0,12,0,0,0,19,0.4989382028579712,0.5005891919136047,d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85,2,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0,0,uq_only_support_aware,10,support-final-ccd9a242b4945d6cfcdb68dc,2,Al-Li-V,23,22,10,16,102,0,102,1732.5162540143356,1124.7261922690086,23,36871,2976,0,0,22,1,1,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,8,3,1,10,0,0,0,22,0.4989717900753021,0.5010794997215271,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.09,1,uq_only_support_aware,10,support-final-2cd11ff827dc56a49263e71d,3,Al-Li-V,22,22,10,16,259,0,259,1932.4109737887047,1215.1802980895154,22,39779,2816,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,9,2,0,11,0,0,0,22,0.499053955078125,0.5012179017066956,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,1,0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
0.0,0,uq_only_support_aware,10,support-final-4a84dce05fdc57c5272bb199,4,Al-Li-V,18,17,10,16,,1,0,1508.2512320266105,1181.053286735434,18,37617,2240,4,4,18,0,0,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,2,0,1,14,0,0,0,18,0.49927982687950134,0.5008413791656494,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.71,5,uq_only_support_aware,10,support-final-50481d7de104501120b84fb5,2,Al-V-Zn,24,21,10,12,67,0,67,1833.4114383989945,1311.1910614655353,24,46607,3295,1,2,20,4,2,3,1,3,3,0,3,3,0,0,0,0.0,0.0,0,0,6,2,1,11,1,0,0,22,0.4994548559188843,0.5009214282035828,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,5,0,"[1, 2, 3, 3, 4, 5, 5, 5, 5, 5]"
0.73,7,uq_only_support_aware,10,support-final-5d1cc6924d5efee9cbf9f4a0,3,Al-V-Zn,18,16,10,12,,1,0,1489.251800976228,1180.944634262938,18,39406,2221,0,0,17,1,1,2,1,2,2,0,2,2,0,0,0,0.0,0.0,0,0,4,0,1,10,1,0,0,17,0.49949362874031067,0.5009446740150452,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,7,0,"[1, 2, 2, 3, 3, 4, 5, 6, 7, 7]"
0.41,3,uq_only_support_aware,10,support-final-b8ea68c4cba1f93c238e3acd,4,Al-V-Zn,19,19,10,12,,1,0,1811.2992421332747,1458.071444991976,19,46586,2530,3,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,6,0,0,13,0,0,0,19,0.49901530146598816,0.501150369644165,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,3,0,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
0.25,3,uq_only_support_aware,10,support-final-38ae55456a55c01858bdaca6,2,Au-K-Tb,24,23,10,11,52,0,52,1974.4646615777165,1500.0568366358057,24,49519,3080,0,0,22,2,1,1,0,1,1,0,1,1,0,0,0,0.0,0.0,0,0,10,2,0,10,1,0,0,23,0.4992731809616089,0.5009292364120483,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,3,0,"[0, 0, 0, 0, 1, 2, 2, 3, 3, 3]"
0.37,3,uq_only_support_aware,10,support-final-2b6cfd7c97c158c305971c45,3,Au-K-Tb,24,21,10,11,157,0,157,2005.2476914627478,1452.4643231332302,24,50063,3579,0,0,20,4,3,3,0,2,2,0,1,1,0,0,0,0.0,0.0,0,0,6,4,0,10,1,0,0,21,0.49894627928733826,0.50115567445755,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,3,0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 3]"
0.0,0,uq_only_support_aware,10,support-final-3e91e70d18721910fb699c2a,4,Au-K-Tb,13,13,10,11,,1,0,1210.164905927144,961.6338276490569,13,31817,1931,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,3,0,0,10,0,0,0,13,0.4989052712917328,0.5008952021598816,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.16,2,uq_only_support_aware,10,support-final-5eccea7f5a24da2f5b31b4ab,2,Co-Dy-W,22,20,10,11,124,0,124,1544.5600100336596,1006.1425081044436,22,32863,3120,0,0,20,2,1,2,0,2,2,0,2,2,0,0,0,0.0,0.0,0,0,6,2,1,10,1,0,0,21,0.4995023310184479,0.5007981061935425,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,2,0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 2]"
0.0,0,uq_only_support_aware,10,support-final-97076161f2eb1dff20b02ffe,3,Co-Dy-W,28,25,10,11,119,0,119,1773.8086522370577,1246.7023408561945,28,44713,3126,1,1,25,3,1,3,1,3,3,0,3,3,0,0,0,0.0,0.0,0,0,8,3,2,11,1,0,0,27,0.4996183514595032,0.5009261965751648,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
