job_id,arm,task_id,seed,decision_id,tool_rpc_id,tool,error,next_scientific_rpc_id,action
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,component-final-829f81d1c8b6dff9869aa711:d0000010-c0,21,select_for_evaluation,The selected hash is not in this composition buffer.,26,"{""action_sha256"": ""e97e3d794449f6ba858b7f8844192043da056fd64f598166a04c9ee5fa7589c6"", ""arguments"": {""composition"": ""K2TbAu2"", ""structure_hash"": ""e59c3a3f179b0ca442b24055549c3818fe96386533c08307bc5c5bcc8193eb06""}, ""tool"": ""select_for_evaluation""}"
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,component-final-57ec2ac8f1ba4127bcccc073:d0000005-c0,11,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""5606a44ed652937f604978878c0876ef611b771b4fd2996c62f669d7427bccf4"", ""arguments"": {""composition"": ""KTb2Au"", ""structure_hash"": ""36facf5c0f31cabec211dcc27eb6c7f03e496708fa4aace23935772d698a79b7""}, ""tool"": ""select_for_evaluation""}"
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,component-final-57ec2ac8f1ba4127bcccc073:d0000021-c0,43,select_for_evaluation,The selected hash is not in this composition buffer.,46,"{""action_sha256"": ""9f49caab63bbc29dbb708fac431c83f816480ea36df6275b8a9ba60de8c0ce62"", ""arguments"": {""composition"": ""K7Tb3Au"", ""structure_hash"": ""42e520a744bef3ff866acb2afa64683020c79b23c2692a96f118b1e25e586be""}, ""tool"": ""select_for_evaluation""}"
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,component-final-57ec2ac8f1ba4127bcccc073:d0000027-c0,55,select_for_evaluation,The selected hash is not in this composition buffer.,62,"{""action_sha256"": ""b0ad98093d9710d1393ea4d7af4fe71be063856417acfdb8d3f767fde7740e56"", ""arguments"": {""composition"": ""K12Tb3Au"", ""structure_hash"": ""4c1541aa66891a02df64549442845544e8f303f292e46fa0ce763cbd0f75fe1fa""}, ""tool"": ""select_for_evaluation""}"
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,component-final-57ec2ac8f1ba4127bcccc073:d0000028-c0,57,query_structures,unhashable type: 'list',62,"{""action_sha256"": ""ddf6ede04aeea5d49ddc853f94dade9eda66bdaf573ce8ba30e6c08b6f2ee6af"", ""arguments"": {""composition"": [""Au"", ""K"", ""Tb""], ""k"": 5, ""mode"": ""top"", ""scorer_name"": ""oracle""}, ""tool"": ""query_structures""}"
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,component-final-2dce2a3709aad3945727809d:d0000004-c0,9,select_for_evaluation,The selected hash is not in this composition buffer.,18,"{""action_sha256"": ""5ca65908d5b8be9eaf91ecb33eeb781bdf3e1122ef5af1af70c6a3b1c998aa94"", ""arguments"": {""composition"": ""DyCoW"", ""structure_hash"": ""233bee3e528ffe0bffe7fefaf03d3f1d2edd6bd68d83259d8e2c1073800dfd1d""}, ""tool"": ""select_for_evaluation""}"
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,component-final-2dce2a3709aad3945727809d:d0000007-c0,15,score_buffer,unhashable type: 'list',18,"{""action_sha256"": ""ba51a0e509fb42ae4888fd6144a75f05018154553b57620264b807b8cf7e8d62"", ""arguments"": {""composition"": [""DyCoW2""], ""scorer_name"": ""oracle""}, ""tool"": ""score_buffer""}"
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,component-final-a526e6a613189f807a458cb1:d0000003-c0,7,select_for_evaluation,Select an existing buffer composition.,12,"{""action_sha256"": ""d19f1aaf8a8b9286b69aba8e5ad037311cb06b04299ab4bcf40f06403fc7643c"", ""arguments"": {}, ""tool"": ""select_for_evaluation""}"
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,component-final-a526e6a613189f807a458cb1:d0000011-c0,23,select_for_evaluation,Select an existing buffer composition.,26,"{""action_sha256"": ""19091150521d53a3468d1f0931f7c69bce7e36a6a3402fd24c1cc03472b9e908"", ""arguments"": {}, ""tool"": ""select_for_evaluation""}"
component-final-a8630b6c09e7eed6994a9658,baseline_reference,Co-Mg-Na,2,component-final-a8630b6c09e7eed6994a9658:d0000007-c0,13,select_for_evaluation,The selected hash is not in this composition buffer.,16,"{""action_sha256"": ""aa8c17614608fefabc7adbbc204c29bb1784fcbc2a39c9b55f860513b9c82ecf"", ""arguments"": {""composition"": ""NaMgCo2"", ""structure_hash"": ""aee370ef3b7da619812b4f3e446db3ae6e006528f8b7df734e88324c3756917c""}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000001-c0,3,select_for_evaluation,The selected hash is not in this composition buffer.,12,"{""action_sha256"": ""c9c916b388d65fbaf9f38faafde719bed1187a80238ac4692c3596dfa1041b2c"", ""arguments"": {""composition"": ""Na2Mg2Co3"", ""structure_hash"": ""8e32838e255c23c143333edad553695f17a7cd76f576fe212706796cfa108ddf""}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000002-c0,5,select_for_evaluation,The selected hash is not in this composition buffer.,12,"{""action_sha256"": ""bfc7e349a5a39ee4b7ecc9a85dc1e6fd348277111497f662ef804fd18e090903"", ""arguments"": {""composition"": ""Na2Mg2Co3"", ""structure_hash"": ""8e32838e255c23c143333edad553695f17a7cd76f576fe212706796cfa108ddf""}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000003-c0,7,select_for_evaluation,The selected hash is not in this composition buffer.,12,"{""action_sha256"": ""2888c1221da31660dbf2561a4a9be3657c6a0546211bcd3e6e37f533716cff6c"", ""arguments"": {""composition"": ""Na2Mg2Co3"", ""structure_hash"": ""8e32838e255c23c143333edad553695f17a7cd76f576fe212706796cfa108ddf""}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000004-c0,9,select_for_evaluation,The selected hash is not in this composition buffer.,12,"{""action_sha256"": ""7b9d05de94816aedf67bc187593563d1d1db6095614df3dca633fba5713a1e5b"", ""arguments"": {""composition"": ""Na2Mg2Co3"", ""structure_hash"": ""8e32838e255c23c143333edad553695f17a7cd76f576fe212706796cfa108ddf""}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000012-c0,25,select_for_evaluation,Select an existing buffer composition.,28,"{""action_sha256"": ""1f3d75f694e27979120c40c40bc8b061a04d8a88bf8ca6d0cd6507f5ea81fa8c"", ""arguments"": {""structure_index"": 0}, ""tool"": ""select_for_evaluation""}"
component-final-4b3d96d6b87ab535fb130a5e,baseline_reference,Co-Mg-Na,3,component-final-4b3d96d6b87ab535fb130a5e:d0000034-c0,69,select_for_evaluation,Select an existing buffer composition.,74,"{""action_sha256"": ""265e2ea33b3dc040db7cc53cc3a1b14ccf3a16b1dd8baee51c0740b543d8d183"", ""arguments"": {""structure_index"": 7}, ""tool"": ""select_for_evaluation""}"
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,component-final-613da1e8bf281966bbdc66db:d0000001-c0,3,select_for_evaluation,Buffer selection index is out of range.,6,"{""action_sha256"": ""431323fe51558b3c4ee01e2f2bf279f491d2856b850bb64cdc756c28b2a901c9"", ""arguments"": {""composition"": ""Na3Mg2Co"", ""structure_index"": 2}, ""tool"": ""select_for_evaluation""}"
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,component-final-613da1e8bf281966bbdc66db:d0000008-c0,17,select_for_evaluation,Select an existing buffer composition.,20,"{""action_sha256"": ""604b64021421f3cef3dd808f6d4e8f5a1c7e1fcd9e49d5e486a019176b9b472f"", ""arguments"": {""structure_index"": 0}, ""tool"": ""select_for_evaluation""}"
component-final-2e27f5563acb699daae1d131,es_only_independent,Al-Li-V,2,component-final-2e27f5563acb699daae1d131:d0000009-c0,19,select_for_evaluation,Select an existing buffer composition.,22,"{""action_sha256"": ""672720e25d7c2289df01dfcb50ade857ff843d6d220fc398983f671ce2d970ff"", ""arguments"": {""structure_index"": 2}, ""tool"": ""select_for_evaluation""}"
component-final-8e1fbdae4c717bead751ef3f,es_only_independent,Al-Li-V,3,component-final-8e1fbdae4c717bead751ef3f:d0000011-c0,23,select_for_evaluation,Select an existing buffer composition.,26,"{""action_sha256"": ""db182b2e7faf5a6863ec22e8e0bb8f56ec1457f8dfbb3285f7676d9d4be22e5e"", ""arguments"": {""structure_hash"": ""fb2741a0275dca5d4b17c0b77f7b813eb3150fb9991c79828a32d2ad9b40d387""}, ""tool"": ""select_for_evaluation""}"
component-final-d183e09d99cadf104f59d07e,es_only_independent,Al-Li-V,4,component-final-d183e09d99cadf104f59d07e:d0000002-c0,5,select_for_evaluation,The selected hash is not in this composition buffer.,8,"{""action_sha256"": ""bfc99b9a5b5e39b98ac5611b5f8706095ea19029711f3d5330d94e95694c9cb5"", ""arguments"": {""composition"": ""LiAlV"", ""structure_hash"": ""540c521a4cfdaf5a41c93d527656dec58287185c8ca5ed576cb3376eead470f9""}, ""tool"": ""select_for_evaluation""}"
component-final-d183e09d99cadf104f59d07e,es_only_independent,Al-Li-V,4,component-final-d183e09d99cadf104f59d07e:d0000008-c0,17,select_for_evaluation,The selected hash is not in this composition buffer.,22,"{""action_sha256"": ""92cb6000c23a0dd0619237da78a0619fb57d4660083ad64fa38e6eca44401dc0"", ""arguments"": {""composition"": ""Li3AlV4"", ""structure_hash"": ""c6c4ee75176915b38e182aaeed5bed66ced0f47bbb476c83231a0868f086714a""}, ""tool"": ""select_for_evaluation""}"
component-final-d183e09d99cadf104f59d07e,es_only_independent,Al-Li-V,4,component-final-d183e09d99cadf104f59d07e:d0000009-c0,19,select_for_evaluation,Buffer selection index is out of range.,22,"{""action_sha256"": ""e7ebc9c9cbba0f5827f1bb88db4a3453e1559d39789e140b6903eaaa402f2229"", ""arguments"": {""composition"": ""Li2AlV"", ""structure_index"": 18}, ""tool"": ""select_for_evaluation""}"
component-final-b20a8fccedb10da7d5ed97a6,es_only_independent,Al-V-Zn,2,component-final-b20a8fccedb10da7d5ed97a6:d0000009-c0,19,select_for_evaluation,The selected hash is not in this composition buffer.,26,"{""action_sha256"": ""833ff3ef435681b282bd9731be16f46e195bf709d23bba31fc310c108525a7cb"", ""arguments"": {""composition"": ""Al2VZn"", ""structure_hash"": ""385dcae98931501335ef44922efb9ad71ca1bc72c182af1e658428d9dd328abf""}, ""tool"": ""select_for_evaluation""}"
component-final-b20a8fccedb10da7d5ed97a6,es_only_independent,Al-V-Zn,2,component-final-b20a8fccedb10da7d5ed97a6:d0000010-c0,21,select_for_evaluation,The selected hash is not in this composition buffer.,26,"{""action_sha256"": ""0701d0796da0b3808955e6fca2e2eff4524dbe337ee9ebc4f2e64ed7a8331fb7"", ""arguments"": {""composition"": ""Al2VZn"", ""structure_hash"": ""990c177e685cab93a11ce513c048809d2df8a013a8c46fa8784e98e9b9af0eae""}, ""tool"": ""select_for_evaluation""}"
component-final-b20a8fccedb10da7d5ed97a6,es_only_independent,Al-V-Zn,2,component-final-b20a8fccedb10da7d5ed97a6:d0000018-c0,37,select_for_evaluation,Select an existing buffer composition.,40,"{""action_sha256"": ""817dc651ed7d5e41f16b2117aa5507fc8bb2db6bbf73a45c0c8fad8c9b0b2b5d"", ""arguments"": {""structure_index"": 15}, ""tool"": ""select_for_evaluation""}"
component-final-02fb34c6b01aed253ffa4730,es_only_independent,Al-V-Zn,3,component-final-02fb34c6b01aed253ffa4730:d0000007-c0,15,select_for_evaluation,Select an existing buffer composition.,20,"{""action_sha256"": ""fe28d4791deaa5670835396bfc5ddda25afd5fd6419e77473b10db6f6130ea58"", ""arguments"": {""structure_index"": 2}, ""tool"": ""select_for_evaluation""}"
component-final-02fb34c6b01aed253ffa4730,es_only_independent,Al-V-Zn,3,component-final-02fb34c6b01aed253ffa4730:d0000012-c0,25,select_for_evaluation,Select an existing buffer composition.,28,"{""action_sha256"": ""6b650799b460e374a2ae83ab41196ee4972e554a66951c84f2e4828efc64abc2"", ""arguments"": {""structure_index"": 0}, ""tool"": ""select_for_evaluation""}"
component-final-2ba86fe5167c7c377083c728,es_only_independent,Al-V-Zn,4,component-final-2ba86fe5167c7c377083c728:d0000008-c0,17,select_for_evaluation,The selected hash is not in this composition buffer.,20,"{""action_sha256"": ""5bc1a9059b295d2a23bb03d694097625f63921d3d13ba0716f5d1e743bc75197"", ""arguments"": {""composition"": ""AlVZn2"", ""structure_hash"": ""30307e0c207e0a4170473310f6300e2035828109768f9dfe93d5de828a2144f9""}, ""tool"": ""select_for_evaluation""}"
component-final-637e688029854bff551ffb68,es_only_independent,Au-K-Tb,2,component-final-637e688029854bff551ffb68:d0000015-c0,31,select_for_evaluation,The selected hash is not in this composition buffer.,34,"{""action_sha256"": ""1ae4131fb0064735e7704d57f9d28783cff57c5d8f8221ad0d5bb4c30c574454"", ""arguments"": {""composition"": ""KTb2Au"", ""structure_hash"": ""a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0u1v2w3x4y5z6""}, ""tool"": ""select_for_evaluation""}"
component-final-637e688029854bff551ffb68,es_only_independent,Au-K-Tb,2,component-final-637e688029854bff551ffb68:d0000018-c0,37,select_for_evaluation,Select an existing buffer composition.,40,"{""action_sha256"": ""9b5b13a77a24f9aa62d8427f929b4f054d6402517f942990529a6ac35699671d"", ""arguments"": {""structure_index"": 0}, ""tool"": ""select_for_evaluation""}"
component-final-f01350a0031f3cb06d45632e,es_only_independent,Au-K-Tb,3,component-final-f01350a0031f3cb06d45632e:d0000005-c0,11,select_for_evaluation,The selected hash is not in this composition buffer.,18,"{""action_sha256"": ""836eba2a858a5a1b6ee798d03a5df2ecba190356bbbc310a12865973aeadc0fb"", ""arguments"": {""composition"": ""KTb2"", ""structure_hash"": ""4c2832a6d87618aa27e43c1e86706bec2dd5a7e234760df0657f21cac6b5cd47""}, ""tool"": ""select_for_evaluation""}"
component-final-f01350a0031f3cb06d45632e,es_only_independent,Au-K-Tb,3,component-final-f01350a0031f3cb06d45632e:d0000006-c0,13,select_for_evaluation,The selected hash is not in this composition buffer.,18,"{""action_sha256"": ""23c2bc5edd7fb6e8ba74018150201b41b9e67dab6ea21f766b9b6fc37b18053a"", ""arguments"": {""composition"": ""KTb2"", ""structure_hash"": ""4c2832a6d87618aa27e43c1e86706bec2dd5a7e234760df0657f21cac6b5cd47""}, ""tool"": ""select_for_evaluation""}"
component-final-f01350a0031f3cb06d45632e,es_only_independent,Au-K-Tb,3,component-final-f01350a0031f3cb06d45632e:d0000007-c0,15,select_for_evaluation,The selected hash is not in this composition buffer.,18,"{""action_sha256"": ""5805b752a135a1b4521c2cae9201948d41a9a2408cc4b1c666cba74e3f35d6eb"", ""arguments"": {""composition"": ""KTb2"", ""structure_hash"": ""4c2832a6d87618aa27e43c1e86706bec2dd5a7e234760df0657f21cac6b5cd47""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000001-c0,3,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""50cac05296b0eb2f2ea3c698aa2c10c296536810022325fd57c53bdb8ed954b4"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""6adeaace7c02c2c6c91b49d4a862ea821be2efd63a04670b8839e5db50198787""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000002-c0,5,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""4ae600a024d9b8e98975148fa3d42df583a72c0894b4f732fcdc73ad5ef6a048"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""6adeaace7c02c2c6c91b49d4a862ea821be2efd63a04670b8839e5db50198787""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000003-c0,7,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""77515190495ba091976066505ddf177bec9b0ad7897f661f52759126cf6d1673"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""6adeaace7c02c2c6c91b49d4a862ea821be2efd63a04670b8839e5db50198787""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000004-c0,9,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""b4d95b5b9bc58291762f3e8824183c513e8ee0ff51a684a8bedfa5585f637dbb"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""6adeaace7c02c2c6c91b49d4a862ea821be2efd63a04670b8839e5db50198787""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000005-c0,11,select_for_evaluation,The selected hash is not in this composition buffer.,14,"{""action_sha256"": ""6864055bcee0f8b220413b35f62b331779474402b54794e6703bb301a3e4ac78"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""6adeaace7c02c2c6c91b49d4a862ea821be2efd63a04670b8839e5db50198787""}, ""tool"": ""select_for_evaluation""}"
component-final-fd363bc50f56142b92b62728,es_only_independent,Au-K-Tb,4,component-final-fd363bc50f56142b92b62728:d0000009-c0,19,select_for_evaluation,The selected hash is not in this composition buffer.,22,"{""action_sha256"": ""b4e6a99e8d194723c3eee4966de1c789ef9f70312634d6f611cb491b8cc2c126"", ""arguments"": {""composition"": ""KTbAu"", ""structure_hash"": ""2a7bebeb3125ca9b4774093ee7b5d11b179c0d3fbec47d7633868a4a02b74630""}, ""tool"": ""select_for_evaluation""}"
component-final-309c3c6fb2c047a93c1f8575,es_only_independent,Co-Dy-W,2,component-final-309c3c6fb2c047a93c1f8575:d0000007-c0,15,select_for_evaluation,The selected hash is not in this composition buffer.,20,"{""action_sha256"": ""e8f1beea45f90adb6f86f2df000a8d84a7c612c8389c2514bdd98e2eb66d32b6"", ""arguments"": {""composition"": ""Dy2CoW"", ""structure_hash"": ""9e63d227800d5214142abea4ddc875c7c40ecb4c88e02935d46787915ddf9e6""}, ""tool"": ""select_for_evaluation""}"
component-final-309c3c6fb2c047a93c1f8575,es_only_independent,Co-Dy-W,2,component-final-309c3c6fb2c047a93c1f8575:d0000008-c0,17,select_for_evaluation,The selected hash is not in this composition buffer.,20,"{""action_sha256"": ""f53980f7ebac7c2dacbffc5690b4e875275f3cae6dc647240716232219075002"", ""arguments"": {""composition"": ""Dy2CoW2"", ""structure_hash"": ""9e63d227800d5214142abea4ddc875c7c40ecb4c88e02935d46787915ddf9e6""}, ""tool"": ""select_for_evaluation""}"
component-final-ced0af809caafbfd44aa8165,es_only_independent,Co-Dy-W,3,component-final-ced0af809caafbfd44aa8165:d0000004-c0,9,select_for_evaluation,The selected hash is not in this composition buffer.,12,"{""action_sha256"": ""5d8fc4e65863c307ad259ea4d86ae1953eb7b225c7c17243c055c76d76ad4727"", ""arguments"": {""composition"": ""DyCoW"", ""structure_hash"": ""9e2a05b4042806583159d79bd4c31ad546794b23d42e4b680c6e9fc2077766ab""}, ""tool"": ""select_for_evaluation""}"
component-final-ced0af809caafbfd44aa8165,es_only_independent,Co-Dy-W,3,component-final-ced0af809caafbfd44aa8165:d0000006-c0,13,select_for_evaluation,The selected hash is not in this composition buffer.,16,"{""action_sha256"": ""e7ddb9399e9eb4eabf1c94fcf9293814ec80b3f1f1088b5c1f7cc18c33c72ab2"", ""arguments"": {""composition"": ""DyCoW2"", ""structure_hash"": ""54dadb4e0ab06332558edb77dca777dc0c5dbac73258a01e471ce08eea8cfa37""}, ""tool"": ""select_for_evaluation""}"
component-final-60a0f011651058cfacc89f7b,es_only_independent,Co-Dy-W,4,component-final-60a0f011651058cfacc89f7b:d0000008-c0,17,select_for_evaluation,The selected hash is not in this composition buffer.,20,"{""action_sha256"": ""5bba6ebaed9ac2db871139297a5853c149199bfc0f63281d7147d4a1f8df0ce9"", ""arguments"": {""composition"": ""DyCo2W"", ""structure_hash"": ""299ceae8c03e2ae9eb869d1b3135ac89f74086cfe825a977f922123891e0e013""}, ""tool"": ""select_for_evaluation""}"
component-final-7cc2c2335ff1e079999ecabb,es_only_independent,Co-Mg-Na,2,component-final-7cc2c2335ff1e079999ecabb:d0000009-c0,19,select_for_evaluation,The selected hash is not in this composition buffer.,28,"{""action_sha256"": ""b153db02f2dc6a8ffec8bb8f282fc60a6e3b90e7f9dc5f9042c2cf464953d002"", ""arguments"": {""composition"": ""Na2Mg2Co3"", ""structure_hash"": ""7fdd424de15f2a533617f0ecdf4d86fd82f4e2eef520be8260a8737dca379b26""}, ""tool"": ""select_for_evaluation""}"
component-final-7cc2c2335ff1e079999ecabb,es_only_independent,Co-Mg-Na,2,component-final-7cc2c2335ff1e079999ecabb:d0000010-c0,21,select_for_evaluation,The selected hash is not in this composition buffer.,28,"{""action_sha256"": ""191bd301aa73ec3cbcc051217c2fd6d9de95a4cce34a8caee0c65b775b9cbb2b"", ""arguments"": {""composition"": ""Na2MgCo"", ""structure_hash"": ""27559e7af1b36d81ab8dc5202576ace3f633b1272de0053754483b51b009ede1""}, ""tool"": ""select_for_evaluation""}"
component-final-7cc2c2335ff1e079999ecabb,es_only_independent,Co-Mg-Na,2,component-final-7cc2c2335ff1e079999ecabb:d0000011-c0,23,select_for_evaluation,The selected hash is not in this composition buffer.,28,"{""action_sha256"": ""7efa9088d8a736a499063b61ffb3c7bc0358638adee4a5cf81423840b35701b3"", ""arguments"": {""composition"": ""Na2MgCo"", ""structure_hash"": ""7fdd424de15f2a533617f0ecdf4d86fd82f4e2eef520be8260a8737dca379b26""}, ""tool"": ""select_for_evaluation""}"
component-final-7cc2c2335ff1e079999ecabb,es_only_independent,Co-Mg-Na,2,component-final-7cc2c2335ff1e079999ecabb:d0000012-c0,25,select_for_evaluation,Select an existing buffer composition.,28,"{""action_sha256"": ""fe6a2085562aa15d8b1d7c64a8ac9bb93d0ae7cec41b1fb62c506b8c6d36bd1a"", ""arguments"": {""composition"": ""Na1Mg2Co2"", ""structure_hash"": ""43cdb709e25b7a327bd724bceec0f59c2d1b130cc5a796606fb63aae4c70aeb6""}, ""tool"": ""select_for_evaluation""}"
