AUDC,SUN,arm,budget,job_id,seed,task_id,actual_extra_proposals,candidate_step_failures,changed_from_first_valid_with_unknown_support,duplicate_known_step_candidate_hashes,duplicate_tool_arguments,event_stable_new,event_stable_new_missing,executed_policy_tools,failed_selects,fixed_recovery_tools,generation_invalid,graph_other_or_absent,graph_succeeded,graph_unavailable,multiple_controller_valid,negative_SUN_curve_deltas,other_extra_proposals,other_retry_requests,physical_steps,proposals,scalar_control_threshold_crossings,scalar_threshold_extra_proposals,schema_extra_proposals,schema_invalid,schema_retry_requests,schema_status_missing,selected_nonfirst,selected_nonfirst_after_schema,sequences,stable_new_with_zero_SUN_delta,steps_with_negative_event_minus_SUN_delta,steps_with_positive_event_minus_SUN_delta,support_false,support_missing,support_true,supported_scalar_threshold_crossings,supported_valid_pair_comparisons,supported_valid_pair_selected_second,supported_valid_pair_selection_changes,tool_failures,type_extra_proposals,type_retry_requests,unexecuted_candidates,unexecuted_future_labels,unknown_step_candidate_hashes,scalar_n,scalar_min,scalar_max,event_minus_final,formula_top_fraction,unique_evaluated_formulas,wall_seconds,graph_seconds,initialization_calls,MACE_events,MACE_cost_field,tool_counts,actual_model_state_hash
0.0,0,baseline_reference,10,component-final-57ec2ac8f1ba4127bcccc073,3,Au-K-Tb,0,0,0,0,1,0,0,31,3,0,0,31,0,0,0,0,0,0,10,31,0,0,0,0,0,31,0,0,31,0,0,0,0,31,0,0,0,0,0,4,0,0,0,0,0,31,0.4998474717140198,0.5004650354385376,0,0.2,8,618.8721373360604,0,11,199,199,"{""generate_structures"":13,""query_structures"":2,""score_buffer"":3,""select_for_evaluation"":13}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-b1999f2e9c20505d5a373485,4,Au-K-Tb,0,0,0,0,1,0,0,13,0,0,0,13,0,0,0,0,0,0,10,13,0,0,0,0,0,13,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,0.49995577335357666,0.5001493096351624,0,0.3,5,219.0269360113889,0,11,0,,"{""generate_structures"":3,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,full_support_aware,10,support-final-68807310bf257b755381e67b,2,Au-K-Tb,3,0,0,0,1,0,0,18,0,0,0,0,16,5,2,0,0,0,10,21,0,0,1,1,1,0,1,1,18,0,0,0,5,0,16,0,1,0,0,1,2,3,3,0,0,21,0.4994080662727356,0.500843346118927,0,0.4,4,1395.2760076262057,1056.4421615721658,11,0,,"{""generate_structures"":7,""get_buffer_stats"":1,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.37,3,full_support_aware,10,support-final-5b6d1b84cc2ee0f52bb1c366,3,Au-K-Tb,0,0,0,0,2,3,0,18,3,0,0,0,16,2,0,0,0,0,10,18,0,0,0,0,0,0,0,0,18,0,0,0,2,0,16,0,0,0,0,3,0,0,0,0,0,18,0.49868762493133545,0.5005560517311096,0,0.2,9,1334.4025004543364,956.0257157050073,11,0,,"{""generate_structures"":5,""select_for_evaluation"":13}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.07,1,full_support_aware,10,support-final-17ba56fb5d378648ebbbe7c8,4,Au-K-Tb,0,0,0,0,2,1,0,14,0,0,0,0,13,1,0,0,0,0,10,14,0,0,0,0,0,0,0,0,14,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,14,0.49940168857574463,0.5006909370422363,0,0.6,3,1183.5856687454507,936.4396738512442,11,0,,"{""generate_structures"":4,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,baseline_reference,10,component-final-2dce2a3709aad3945727809d,2,Co-Dy-W,1,0,0,0,2,0,0,21,1,0,1,22,0,0,0,0,1,0,10,22,0,0,0,0,0,22,1,0,21,0,0,0,0,22,0,0,0,0,0,2,0,0,1,0,0,21,0.49987486004829407,0.5002313852310181,0,0.7,3,402.82899418100715,0,11,87,87,"{""generate_structures"":6,""score_buffer"":4,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-3a4b0c1cd037fc1028c65eb5,3,Co-Dy-W,2,0,0,0,1,0,0,22,0,0,2,24,0,0,0,0,2,0,10,24,0,0,0,0,0,24,2,0,22,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,22,0.49991098046302795,0.5002491474151611,0,0.3,6,912.0487981168553,0,11,224,224,"{""generate_structures"":9,""score_buffer"":3,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-a526e6a613189f807a458cb1,4,Co-Dy-W,1,0,0,0,5,0,0,19,2,0,1,20,0,0,0,0,1,0,10,20,0,0,0,0,0,20,1,0,19,0,0,0,0,20,0,0,0,0,0,2,0,0,1,0,0,19,0.4999767541885376,0.5005589127540588,0,0.9,2,428.04346511047333,0,11,143,143,"{""generate_structures"":6,""score_buffer"":1,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,full_support_aware,10,support-final-fdb8c5628b1505159c52f7cc,2,Co-Dy-W,1,0,0,0,2,0,0,17,3,0,0,0,12,6,1,0,0,0,10,18,0,0,0,0,0,0,0,0,17,0,0,0,6,0,12,0,0,0,0,3,1,1,1,0,0,18,0.4993220269680023,0.5008540749549866,0,0.4,4,1121.9164597764611,790.026648263447,11,31,31,"{""generate_structures"":3,""score_buffer"":1,""select_for_evaluation"":13}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.13,1,full_support_aware,10,support-final-756405aa341c84c08489f23c,3,Co-Dy-W,0,0,0,0,0,1,0,15,0,0,0,0,14,1,0,0,0,0,10,15,0,0,0,0,0,0,0,0,15,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,15,0.4995470643043518,0.5009475946426392,0,0.3,7,1247.869786515832,950.8655753489584,11,0,,"{""generate_structures"":5,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-f6823e6cdf872a727ba2d1e8,4,Co-Dy-W,1,0,0,0,2,0,0,16,1,0,1,0,11,6,0,0,0,0,10,17,0,0,1,1,1,0,1,1,16,0,0,0,6,0,11,0,0,0,0,1,0,0,1,0,0,16,0.4996664226055145,0.500624418258667,0,0.5,3,1071.147506760899,757.5086189773865,11,0,,"{""generate_structures"":4,""query_structures"":1,""select_for_evaluation"":11}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,baseline_reference,10,component-final-a8630b6c09e7eed6994a9658,2,Co-Mg-Na,1,0,0,0,2,0,0,23,1,0,2,25,0,0,0,0,1,0,10,25,0,0,0,0,0,25,0,0,24,0,0,0,0,25,0,0,0,0,0,1,0,0,2,0,0,23,0.4999723434448242,0.5003985166549683,0,0.3,6,729.4627438513562,0,13,223,223,"{""generate_structures"":9,""score_buffer"":3,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-4b3d96d6b87ab535fb130a5e,3,Co-Mg-Na,0,0,0,0,5,0,0,38,6,0,0,38,0,0,0,0,0,0,10,38,0,0,0,0,0,38,0,0,38,0,0,0,0,38,0,0,0,0,0,6,0,0,0,0,0,38,0.49986889958381653,0.5004134774208069,0,0.2,9,797.893015595153,0,13,234,234,"{""generate_structures"":18,""query_structures"":1,""score_buffer"":3,""select_for_evaluation"":16}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-613da1e8bf281966bbdc66db,4,Co-Mg-Na,1,0,0,0,1,0,0,20,2,0,1,21,0,0,0,0,1,0,10,21,0,0,0,0,0,21,1,0,20,0,0,0,0,21,0,0,0,0,0,2,0,0,1,0,0,20,0.4998798668384552,0.5004270672798157,0,0.5,5,503.1709984447807,0,13,126,126,"{""generate_structures"":7,""score_buffer"":1,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.08,2,full_support_aware,10,support-final-03a88c2191e750bc3ef7d49f,2,Co-Mg-Na,1,0,0,0,0,2,0,14,0,0,0,0,12,3,1,0,0,0,10,15,0,0,0,0,0,0,0,0,14,0,0,0,3,0,12,0,0,0,0,0,1,1,1,0,0,15,0.4995139241218567,0.5009710788726807,0,0.3,6,1011.3061305563897,725.3294841032475,13,0,,"{""generate_structures"":4,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-c2968e57d9e2851ad1f9774e,3,Co-Mg-Na,1,0,0,0,2,0,0,18,2,0,1,0,15,4,0,0,0,0,10,19,0,0,1,1,1,0,1,1,18,0,0,0,4,0,15,0,0,0,0,2,0,0,1,0,0,18,0.49935078620910645,0.5009732246398926,0,0.5,4,1638.04525595624,1209.69332060311,13,44,44,"{""generate_structures"":4,""query_structures"":1,""score_buffer"":1,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-32b9c75a950dc72b690b9f75,4,Co-Mg-Na,1,0,0,0,2,0,0,18,2,0,0,0,15,4,1,0,0,0,10,19,0,0,0,0,0,0,0,0,18,0,0,0,4,0,15,0,0,0,0,2,1,1,1,0,0,19,0.4989382028579712,0.5005891919136047,0,0.2,9,1226.0548757077195,849.2883153418079,13,84,84,"{""generate_structures"":4,""score_buffer"":2,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,baseline_reference,10,component-final-768072dbaebb53494719e468,2,Co-Pd-Tl,4,0,0,0,6,0,0,30,5,0,5,35,0,0,0,0,4,0,10,35,0,0,0,0,0,35,3,0,31,0,0,0,0,35,0,0,0,0,0,7,0,0,5,0,0,30,0.49990037083625793,0.5006033182144165,0,0.3,6,855.9519649958238,0,12,283,283,"{""generate_structures"":12,""score_buffer"":3,""select_for_evaluation"":15}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-89976b0b86ed30f4138895ae,3,Co-Pd-Tl,1,0,0,0,3,0,0,29,0,0,2,31,0,0,0,0,1,0,10,31,0,0,0,0,0,31,0,0,30,0,0,0,0,31,0,0,0,0,0,1,0,0,2,0,0,29,0.4998498558998108,0.5002895593643188,0,0.4,7,813.382024910301,0,12,303,303,"{""generate_structures"":16,""score_buffer"":3,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,baseline_reference,10,component-final-1620ce45018562d221e4194e,4,Co-Pd-Tl,0,0,0,0,1,0,0,16,2,0,0,16,0,0,0,0,0,0,10,16,0,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,16,0.49985578656196594,0.5002892017364502,0,0.5,4,251.5873872274533,0,12,0,,"{""generate_structures"":4,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.0,0,full_support_aware,10,support-final-3c7a01fbc23fb606dce7a9d6,2,Co-Pd-Tl,1,0,0,0,1,0,0,18,0,0,1,0,13,6,0,0,0,0,10,19,0,0,1,1,1,0,1,1,18,0,0,0,6,0,13,0,0,0,0,0,0,0,1,0,0,18,0.49932748079299927,0.5008789300918579,0,0.3,6,1076.608164682053,704.5040996354073,12,0,,"{""generate_structures"":7,""query_structures"":1,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-3053f402dfffb1c0c29e14c7,3,Co-Pd-Tl,0,0,0,0,0,0,0,20,1,0,0,0,20,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,20,0.49913010001182556,0.5009614825248718,0,0.2,6,1543.561918143183,1051.1964785875753,12,142,142,"{""generate_structures"":7,""score_buffer"":2,""select_for_evaluation"":11}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.0,0,full_support_aware,10,support-final-fb69e77b7aee89ccf4423be0,4,Co-Pd-Tl,0,0,0,0,1,0,0,16,1,0,0,0,16,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,16,0.4993777871131897,0.5008974671363831,0,0.3,4,1722.715863614343,1125.3087510829791,12,151,151,"{""generate_structures"":4,""score_buffer"":1,""select_for_evaluation"":11}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.32,4,baseline_reference,10,component-final-43aa37d047cc1f695b405364,2,Ga-Ho-Lu,0,0,0,0,3,4,0,25,2,0,0,25,0,0,0,0,0,0,10,25,0,0,0,0,0,25,0,0,25,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,25,0.49993205070495605,0.5005398988723755,0,0.2,8,487.60020287148654,0,20,153,153,"{""generate_structures"":8,""score_buffer"":5,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.33,5,baseline_reference,10,component-final-0b794010d9d728a44ef9b580,3,Ga-Ho-Lu,5,0,0,0,7,5,0,32,2,0,5,37,0,0,0,0,5,0,10,37,0,0,0,0,0,37,5,0,32,0,0,0,0,37,0,0,0,0,0,4,0,0,5,0,0,32,0.4998699724674225,0.500359058380127,0,0.4,5,629.0356792332605,0,20,69,69,"{""generate_structures"":16,""score_buffer"":4,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.65,5,baseline_reference,10,component-final-9c6d0e95f17bee2c910f2581,4,Ga-Ho-Lu,0,0,0,0,0,5,0,16,0,0,0,16,0,0,0,0,0,0,10,16,0,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,0.49999165534973145,0.5004231333732605,0,0.5,4,210.481235537678,0,20,0,,"{""generate_structures"":6,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.45,3,full_support_aware,10,support-final-fc0043a22db53c8ad31ef9fd,2,Ga-Ho-Lu,0,0,0,0,0,3,0,19,1,0,0,0,11,8,0,0,0,0,10,19,0,0,0,0,0,0,0,0,19,0,0,0,8,0,11,0,0,0,0,2,0,0,0,0,0,19,0.49946722388267517,0.5009293556213379,0,0.9,2,1149.6062922608107,770.0412830831483,20,20,20,"{""generate_structures"":7,""score_buffer"":1,""select_for_evaluation"":11}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.34,2,full_support_aware,10,support-final-7c6cdc8a97236fef8f4b3ad1,3,Ga-Ho-Lu,1,0,0,0,5,2,0,22,8,0,1,0,11,12,0,0,0,0,10,23,0,0,1,1,1,0,1,1,22,0,0,0,12,0,11,0,0,0,0,9,0,0,1,0,0,22,0.4995076656341553,0.5004309415817261,0,0.8,2,1145.5298820817843,724.7019286006689,20,0,,"{""generate_structures"":3,""query_structures"":1,""select_for_evaluation"":18}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.49,3,full_support_aware,10,support-final-af51ed342d33b26f2bb379d1,4,Ga-Ho-Lu,0,0,0,0,1,3,0,16,2,0,0,0,14,2,0,0,0,0,10,16,0,0,0,0,0,0,0,0,16,0,0,0,2,0,14,0,0,0,0,2,0,0,0,0,0,16,0.4996153712272644,0.5006610751152039,0,0.6,4,1248.8257758691907,932.5550633221865,20,28,28,"{""generate_structures"":3,""score_buffer"":1,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.57,5,baseline_reference,10,component-final-ad88bcc33aed1830b5c23909,2,Ga-Pt-Tm,2,0,0,0,1,5,0,20,0,0,3,23,0,0,0,0,2,0,10,23,0,0,0,0,0,23,1,0,21,0,0,0,0,23,0,0,0,0,0,1,0,0,3,0,0,20,0.4998854100704193,0.5003760457038879,0,0.2,8,458.44659398682415,0,29,66,66,"{""generate_structures"":6,""score_buffer"":4,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.36,2,baseline_reference,10,component-final-73db923e88523fa0fa68dae5,3,Ga-Pt-Tm,0,0,0,0,2,2,0,14,0,0,0,14,0,0,0,0,0,0,10,14,0,0,0,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0.4998587667942047,0.5003911852836609,0,0.8,3,219.9459535824135,0,29,0,,"{""generate_structures"":4,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.53,5,baseline_reference,10,component-final-fc418323f51d699f8e0035cc,4,Ga-Pt-Tm,0,0,0,0,3,5,0,14,1,0,0,14,0,0,0,0,0,0,10,14,0,0,0,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,14,0.4999028742313385,0.5005373358726501,0,0.5,3,219.54619359690696,0,29,0,,"{""generate_structures"":3,""select_for_evaluation"":11}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.51,5,full_support_aware,10,support-final-b97c118de29096b29157a22f,2,Ga-Pt-Tm,2,0,0,0,1,5,0,17,2,0,2,0,13,6,0,0,0,0,10,19,0,0,2,2,2,0,2,2,17,0,0,0,6,0,13,0,0,0,0,2,0,1,2,0,0,17,0.4993833303451538,0.5009661316871643,0,0.4,4,1220.5393398655578,868.5224194787443,29,0,,"{""generate_structures"":4,""query_structures"":1,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.59,5,full_support_aware,10,support-final-74fa15dc86babde87cd0cf0f,3,Ga-Pt-Tm,2,0,0,0,4,5,0,18,2,0,2,0,12,8,0,0,0,0,10,20,0,0,2,2,2,0,2,2,18,0,0,0,8,0,12,0,0,0,0,2,0,0,2,0,0,18,0.49930596351623535,0.5009981989860535,0,0.4,4,1163.3993323147297,801.0373041760176,29,0,,"{""generate_structures"":4,""query_structures"":2,""select_for_evaluation"":12}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.33,3,full_support_aware,10,support-final-88231a22354b2636e4c97fea,4,Ga-Pt-Tm,0,0,0,0,1,3,0,11,0,0,0,0,11,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0.49941036105155945,0.5006816387176514,0,0.5,3,958.5548335202038,766.6857201904058,29,0,,"{""generate_structures"":1,""select_for_evaluation"":10}",d97a518f339174fd21c002e41617a80554d73facffc3c440584f32d7e9314b85
0.78,6,baseline_reference,10,component-final-3d03035528cf4d1c96e2f688,2,Hf-Ni-Zr,2,0,0,0,0,6,0,16,0,0,2,18,0,0,0,0,2,0,10,18,0,0,0,0,0,18,2,0,16,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,16,0.4998832046985626,0.5002104043960571,0,0.4,4,328.0664028516039,0,22,26,26,"{""generate_structures"":5,""score_buffer"":1,""select_for_evaluation"":10}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
0.82,8,baseline_reference,10,component-final-3507a0495ad91ac725a68882,3,Hf-Ni-Zr,0,0,0,0,1,8,0,16,2,0,0,16,0,0,0,0,0,0,10,16,0,0,0,0,0,16,0,0,16,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,16,0.4998539984226227,0.5003400444984436,0,0.3,6,284.69365107268095,0,22,0,,"{""generate_structures"":4,""select_for_evaluation"":12}",6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516
