task_id,budget,seed,arm,job_id,candidate_oracle_attempts,completion_tokens,graph_seconds,initialization_oracle_attempts,initialization_wall_seconds,llm_calls,prompt_tokens,rpc_attempts,score_sentinels,step_attempts,surrogate_oracle_attempts,tool_attempts,wall_seconds
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,10,3086,0,11,42.35026892460883,21,33071,40,,10,58,20,365.68822515010834
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,10,3236,0,11,53.04502479173243,24,49457,46,,10,,23,352.1709651891142
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,10,2928,0,11,46.56486224755645,23,44797,44,,10,40,22,331.64089618902653
Au-K-Tb,10,2,full_support_aware,support-final-68807310bf257b755381e67b,10,2738,1056.4421615721658,11,66.00681381579489,21,38723,36,,10,,18,1395.2760076262057
Co-Dy-W,10,2,baseline_reference,component-final-2dce2a3709aad3945727809d,10,2998,0,11,51.70736765675247,22,42376,42,21,10,87,21,402.82899418100715
Co-Dy-W,10,3,baseline_reference,component-final-3a4b0c1cd037fc1028c65eb5,10,3276,0,11,52.419947320595384,24,44620,44,54,10,224,22,912.0487981168553
Co-Dy-W,10,4,baseline_reference,component-final-a526e6a613189f807a458cb1,10,2815,0,11,52.241789317689836,20,41801,38,73,10,143,19,428.04346511047333
Co-Dy-W,10,2,uq_only_support_aware,support-final-5eccea7f5a24da2f5b31b4ab,10,3120,1006.1425081044436,11,38.853640451096,22,32863,40,33,10,124,20,1544.5600100336596
Co-Dy-W,10,3,uq_only_support_aware,support-final-97076161f2eb1dff20b02ffe,10,3126,1246.7023408561945,11,53.02058370318264,28,44713,50,62,10,119,25,1773.8086522370577
Co-Dy-W,10,2,es_only_independent,component-final-309c3c6fb2c047a93c1f8575,10,3529,0,11,46.88720638304949,22,39337,38,9,10,29,19,407.79038153309375
Co-Dy-W,10,3,es_only_independent,component-final-ced0af809caafbfd44aa8165,10,2910,0,11,51.27028090599924,20,43893,40,3,10,10,20,334.1595499776304
Co-Dy-W,10,4,es_only_independent,component-final-60a0f011651058cfacc89f7b,10,2137,0,11,50.7759600924328,16,38314,32,8,10,81,16,302.63306891173124
Co-Dy-W,10,2,full_support_aware,support-final-fdb8c5628b1505159c52f7cc,10,2238,790.026648263447,11,49.2616762323305,18,37836,34,9,10,31,17,1121.9164597764611
Co-Mg-Na,10,2,baseline_reference,component-final-a8630b6c09e7eed6994a9658,10,4059,0,13,51.52962984889746,25,50458,46,,10,223,23,729.4627438513562
Co-Mg-Na,10,3,baseline_reference,component-final-4b3d96d6b87ab535fb130a5e,10,4992,0,13,52.571309690363705,38,60169,76,,10,234,38,797.893015595153
Co-Mg-Na,10,4,baseline_reference,component-final-613da1e8bf281966bbdc66db,10,2890,0,13,47.38004635181278,21,40356,40,,10,126,20,503.1709984447807
Co-Mg-Na,10,2,uq_only_support_aware,support-final-fbf58f289d7058d1b56ff33f,10,2550,874.838410501834,13,55.882781837601215,19,39750,32,,10,32,16,1276.4240126479417
Co-Mg-Na,10,3,uq_only_support_aware,support-final-8f46b298f45606301f129592,10,4721,1538.5287385750562,13,36.58163181087002,39,50779,74,,10,302,37,2569.7169816428795
Co-Mg-Na,10,2,es_only_independent,component-final-7cc2c2335ff1e079999ecabb,10,2510,0,13,46.75233045220375,18,35757,36,,10,40,18,324.5831524161622
Co-Mg-Na,10,3,es_only_independent,component-final-827fb29e7d467a5c1448a2d5,10,2728,0,13,46.54189642332494,22,38811,44,,10,171,22,499.70717598870397
Co-Mg-Na,10,4,es_only_independent,component-final-209f38eb700cca3d60e9efa7,10,1937,0,13,46.952642787247896,13,26716,26,7,10,45,13,274.85781716927886
Co-Mg-Na,10,2,full_support_aware,support-final-03a88c2191e750bc3ef7d49f,10,2242,725.3294841032475,13,50.64939353894442,15,27897,28,,10,,14,1011.3061305563897
Co-Pd-Tl,10,2,baseline_reference,component-final-768072dbaebb53494719e468,10,5269,0,12,46.89747533015907,35,57694,60,,10,283,30,855.9519649958238
Co-Pd-Tl,10,3,baseline_reference,component-final-89976b0b86ed30f4138895ae,10,4020,0,12,47.639199037104845,31,43910,58,,10,303,29,813.382024910301
Co-Pd-Tl,10,4,baseline_reference,component-final-1620ce45018562d221e4194e,10,2311,0,12,48.86921955924481,16,34196,32,,10,,16,251.5873872274533
Co-Pd-Tl,10,2,uq_only_support_aware,support-final-5afa3ed6bdf12d1fd1bdd1d2,10,4420,1376.6665421747603,12,46.53295977320522,35,48569,60,,10,261,30,2261.0935306479223
Co-Pd-Tl,10,3,uq_only_support_aware,support-final-05feaed2ad61a92cb190b3e5,10,4125,1749.775081474334,12,45.465160904917866,35,58152,64,,10,124,32,2429.7378999767825
Co-Pd-Tl,10,2,es_only_independent,component-final-e4bf3b453ceb5bc2b6058668,10,3428,0,12,43.32142252847552,21,36354,36,,10,64,18,406.92933868430555
Co-Pd-Tl,10,3,es_only_independent,component-final-438db475a0bdb477ce8df268,10,2964,0,12,46.907675488851964,22,44526,40,,10,101,20,429.2301060585305
Co-Pd-Tl,10,4,es_only_independent,component-final-4196966d5c53dfe11bcc143c,10,2109,0,12,45.12550727557391,16,32681,32,,10,85,16,335.52502088434994
Co-Pd-Tl,10,2,full_support_aware,support-final-3c7a01fbc23fb606dce7a9d6,10,2727,704.5040996354073,12,45.12341895978898,19,36552,36,,10,,18,1076.608164682053
Ga-Ho-Lu,10,2,baseline_reference,component-final-43aa37d047cc1f695b405364,10,3233,0,20,68.79102615639567,25,57839,50,381,10,153,25,487.60020287148654
Ga-Ho-Lu,10,3,baseline_reference,component-final-0b794010d9d728a44ef9b580,10,5380,0,20,69.29923212341964,37,73704,64,169,10,69,32,629.0356792332605
Ga-Ho-Lu,10,4,baseline_reference,component-final-9c6d0e95f17bee2c910f2581,10,1795,0,20,72.45088223554194,16,34989,32,,10,,16,210.481235537678
Ga-Ho-Lu,10,2,uq_only_support_aware,support-final-734638a13232cf33fc56501c,10,2308,1209.4100361908786,20,60.1355925812386,19,42567,34,,10,,17,1509.4721663608216
Ga-Ho-Lu,10,3,uq_only_support_aware,support-final-457a10ecbf532b6fd06f39e4,10,4271,1649.2992167836055,20,59.799770114943385,34,63627,60,115,10,66,30,2243.685639568139
Ga-Ho-Lu,10,2,es_only_independent,component-final-db8afb47c42b962ce65c01b6,10,3433,0,20,72.64099983405322,24,53405,48,60,10,61,24,404.4869169741869
Ga-Ho-Lu,10,3,es_only_independent,component-final-d8e2ace6c4e96aab950ba769,10,2898,0,20,73.82662166841328,20,45457,40,98,10,68,20,325.5699384473264
Ga-Ho-Lu,10,4,es_only_independent,component-final-c45c02cfcfba22369cf3d67e,10,3050,0,20,74.55471789743751,22,49887,44,,10,,22,342.43260077387094
Ga-Ho-Lu,10,2,full_support_aware,support-final-fc0043a22db53c8ad31ef9fd,10,2809,770.0412830831483,20,74.87186617031693,19,41194,38,17,10,20,19,1149.6062922608107
Ga-Pt-Tm,10,2,baseline_reference,component-final-ad88bcc33aed1830b5c23909,10,3808,0,29,94.17339516896755,23,35264,40,30,10,66,20,458.44659398682415
Ga-Pt-Tm,10,3,baseline_reference,component-final-73db923e88523fa0fa68dae5,10,1968,0,29,96.18002572655678,14,32644,28,,10,,14,219.9459535824135
Ga-Pt-Tm,10,4,baseline_reference,component-final-fc418323f51d699f8e0035cc,10,2004,0,29,94.99707989487797,14,35364,28,,10,,14,219.54619359690696
Ga-Pt-Tm,10,2,uq_only_support_aware,support-final-65994611b3b615e30901469d,10,2889,1175.043759232387,29,87.7915710452944,20,44513,34,18,10,60,17,1599.1882436508313
Ga-Pt-Tm,10,3,uq_only_support_aware,support-final-72aa86a5713ed896e3b40dbb,10,2709,1492.6755518368445,29,97.26087846234441,22,48829,44,79,10,169,22,2103.3965365770273
Ga-Pt-Tm,10,2,es_only_independent,component-final-ed99d1ea49499e63db797f3a,10,2513,0,29,93.84896549023688,20,45948,40,11,10,29,20,289.0449424274266
Ga-Pt-Tm,10,3,es_only_independent,component-final-6cb50401ed7ce82b3f74f4ba,10,3850,0,29,98.41181683540344,26,55602,46,,10,,23,405.1158051546663
Ga-Pt-Tm,10,4,es_only_independent,component-final-ed296383b5dd723eb7f3f420,10,2761,0,29,98.60326775442809,20,49501,42,,10,,21,299.5674565350637
Ga-Pt-Tm,10,2,full_support_aware,support-final-b97c118de29096b29157a22f,10,2791,868.5224194787443,29,99.91821905970573,19,42725,34,,10,,17,1220.5393398655578
Hf-Ni-Zr,10,2,baseline_reference,component-final-3d03035528cf4d1c96e2f688,10,2982,0,22,77.44574035238475,18,36126,32,21,10,26,16,328.0664028516039
Hf-Ni-Zr,10,3,baseline_reference,component-final-3507a0495ad91ac725a68882,10,2483,0,22,82.06142427492887,16,36459,32,,10,,16,284.69365107268095
Hf-Ni-Zr,10,2,uq_only_support_aware,support-final-8f64ca7a761847f2f585eaf7,10,2670,989.4446212477051,22,90.47330320859328,20,45224,36,20,10,27,18,1369.3065847223625
Hf-Ni-Zr,10,3,uq_only_support_aware,support-final-08b058c2dd9afd5e0f0a30e3,10,3748,1548.0536825414747,22,66.22639447031543,29,51768,58,261,10,207,29,2220.8223856934346
Hf-Ni-Zr,10,2,es_only_independent,component-final-de5a461c2d13160643320341,10,3094,0,22,77.58523514866829,21,39634,38,27,10,29,19,377.6989601654932
Hf-Ni-Zr,10,3,es_only_independent,component-final-893d72f6fe312d708488048a,10,3116,0,22,82.1075304960832,21,37083,40,92,10,90,20,402.37583644967526
Hf-Ni-Zr,10,4,es_only_independent,component-final-07cc974a8eb647f7ef56f64b,10,3272,0,22,80.80509373918176,21,43835,40,109,10,57,20,383.7134052356705
Hf-Ni-Zr,10,2,full_support_aware,support-final-02f2c471bf623c421c1d4e0e,10,4282,912.6425515823066,22,81.6107738725841,25,46294,48,29,10,30,24,1453.7984302798286
Mg-Sn-Sr,10,2,baseline_reference,component-final-f5130b9d1e96a3a3e587815c,10,3579,0,96,196.20535256993026,26,57397,50,240,10,125,25,481.2077244045213
Mg-Sn-Sr,10,3,baseline_reference,component-final-78d5574754ccf75b717ae914,10,3702,0,96,193.90587937738746,29,62172,58,205,10,177,29,558.288945059292
Mg-Sn-Sr,10,2,uq_only_support_aware,support-final-690f157b17e644365b568a77,10,3847,1706.298567306716,96,189.6314239418134,30,56540,56,96,10,89,28,2273.5606134640984
Mg-Sn-Sr,10,3,uq_only_support_aware,support-final-ea39d560b53398573d647942,10,2837,1350.4108447330073,96,203.96661574812606,23,49888,44,176,10,78,22,1779.1090287272818
Mg-Sn-Sr,10,2,es_only_independent,component-final-b725b79eb1ed64155844d819,10,3294,0,96,192.2550113350153,21,40257,38,9,10,10,19,363.2935965452343
Mg-Sn-Sr,10,3,es_only_independent,component-final-61030d73d1ecfa5e3c4198b2,10,2263,0,96,193.39512188453227,15,31082,30,,10,,15,255.64768236596137
Mg-Sn-Sr,10,4,es_only_independent,component-final-2abb7ae3833df1de1f7bb48d,10,4223,0,96,198.89720990043133,27,50984,50,39,10,39,25,472.849668385461
Mg-Sn-Sr,10,2,full_support_aware,support-final-908dd599770160e96ff4569c,10,2469,1217.5852588005364,96,190.30299339909106,20,40815,38,,10,,19,1552.887441586703
Au-Cr-Cs-Dy,10,2,baseline_reference,component-final-6c30e36bb5b40e6b0e509b55,10,3574,0,11,45.733778323978186,23,43254,40,,10,106,20,452.99927620217204
Au-Cr-Cs-Dy,10,3,baseline_reference,component-final-bca488e9ac3e6e006d8af5e7,10,3650,0,11,45.12077350076288,29,45533,58,,10,256,29,646.9198197862133
Au-Cr-Cs-Dy,10,2,uq_only_support_aware,support-final-c421d416e4380380b8401e1a,10,2637,1304.6598131908104,11,46.64316761260852,22,45721,40,2,10,74,20,1703.55638254527
Au-Cr-Cs-Dy,10,3,uq_only_support_aware,support-final-59e54738f552a29a0365ee6c,10,2740,1444.4081447669305,11,34.315650737378746,22,47731,44,,10,186,22,1915.9369041891769
Au-Cr-Cs-Dy,10,2,es_only_independent,component-final-7e994fb8ab445a418e08e590,10,3147,0,11,43.784159609116614,20,38659,36,11,10,37,18,355.9399281395599
Au-Cr-Cs-Dy,10,3,es_only_independent,component-final-fc048047e45b8d6dba041f90,10,4023,0,11,50.090401513502,28,48491,54,,10,130,27,583.8417307855561
Au-Cr-Cs-Dy,10,2,full_support_aware,support-final-1a6965c14309d0ed9c706be0,10,2790,448.6037618080154,11,46.86893744394183,22,52427,44,,10,67,22,859.7652381695807
Au-Tb-V-Y,10,2,baseline_reference,component-final-d162af62e35cb5b102460cac,10,2572,0,23,52.579436430707574,19,33558,38,,10,139,19,441.4397158687934
Au-Tb-V-Y,10,3,baseline_reference,component-final-98ec36cd075666fe04f30595,10,3493,0,23,53.7035295246169,29,53138,58,,10,85,29,453.86885461676866
Au-Tb-V-Y,10,2,uq_only_support_aware,support-final-f4fb0bc5660e5cbea5ab19fe,10,2004,916.6555347312242,23,63.69491315679625,16,29915,32,,10,51,16,1213.96552071115
Au-Tb-V-Y,10,3,uq_only_support_aware,support-final-edb4223557993b86de341be4,10,5094,1869.4632877437398,23,55.23448948888108,41,64357,76,12,10,333,38,2864.454768089112
Au-Tb-V-Y,10,2,es_only_independent,component-final-b08dc4996f12b404a474fe8a,10,2768,0,23,51.52669134736061,20,37008,40,,10,29,20,315.36464501637965
Au-Tb-V-Y,10,3,es_only_independent,component-final-8c4b38fea4d18535795f3f52,10,3268,0,23,55.38585693668574,26,44540,48,,10,212,24,566.6374390879646
Au-Tb-V-Y,10,2,full_support_aware,support-final-8ddd13950a3b79b7029e9ad3,10,2211,682.0302835498005,23,64.4588902182877,18,40309,34,,10,,17,979.3435084596276
Ba-Be-Hf-Li,10,2,baseline_reference,component-final-e055a90cdea61f8b88b11b9d,10,3122,0,8,40.05231593456119,24,35367,48,,10,144,24,478.0424415702
Ba-Be-Hf-Li,10,3,baseline_reference,component-final-d7f5fb390cd93ad4d344838f,10,3330,0,8,44.205362430773675,26,34653,50,,10,240,25,706.8499199878424
Ba-Be-Hf-Li,10,2,uq_only_support_aware,support-final-3d33302d79a3e5a49db8a089,10,3132,1444.6845395057462,8,34.054267845116556,26,47179,52,,10,47,26,1943.5148946288973
Ba-Be-Hf-Li,10,3,uq_only_support_aware,support-final-4df937dd122841de63e2173a,10,2409,1056.7580495718867,8,33.700849398970604,20,34791,40,,10,186,20,1544.7136317598633
Ba-Be-Hf-Li,10,2,es_only_independent,component-final-894abe64cc709063a80a0651,10,2563,0,8,43.99298341758549,18,31940,36,,10,31,18,309.93439976125956
Ba-Be-Hf-Li,10,3,es_only_independent,component-final-8dbb642bd821472e34a99402,10,2475,0,8,41.3566898079589,18,35735,36,,10,114,18,375.2373191798106
Ba-Be-Hf-Li,10,2,full_support_aware,support-final-162b641b9c795ec8cbbca2cd,10,3071,683.4945316100493,8,46.90172145422548,21,31185,38,,10,29,19,1081.2169535253197
Ba-Nd-Ni-W,10,2,baseline_reference,component-final-dc0be1ae32cc4968091e77db,10,2578,0,12,51.300438871607184,21,38621,42,,10,165,21,498.4446731507778
Ba-Nd-Ni-W,10,3,baseline_reference,component-final-91e9365ecc653ed9cb2dd65d,10,2862,0,12,57.8334067100659,21,41717,40,,10,33,20,366.58739982917905
Ba-Nd-Ni-W,10,2,uq_only_support_aware,support-final-5b7a01d4f004bb2a3b984360,10,3340,1311.4911636812612,12,52.103139388840646,25,42226,48,,10,99,24,1884.195799482055
Ba-Nd-Ni-W,10,2,es_only_independent,component-final-5808a431e2c3d13d62027bd2,10,2383,0,12,54.82935263030231,19,34761,36,,10,29,18,317.1218071486801
Ba-Nd-Ni-W,10,3,es_only_independent,component-final-5997b22ff20dd8997514cb4b,10,3570,0,12,55.864328597672284,29,50092,54,,10,156,27,603.7791567379609
Ba-Nd-Ni-W,10,2,full_support_aware,support-final-f09b3e784a0ddc04b0a7317a,10,2369,604.7030329555273,12,53.32782182190567,17,30345,34,,10,29,17,976.5105373244733
Ca-Pd-Sn-W,10,2,baseline_reference,component-final-d0e5088457f94df5fb734d2f,10,2413,0,26,70.32730685267597,19,32556,38,,10,178,19,612.3180952649564
Ca-Pd-Sn-W,10,3,baseline_reference,component-final-95b93277e45a70fc119a8fb7,10,3425,0,26,76.24620454665273,27,44344,54,,10,160,27,654.3332275068387
Ca-Pd-Sn-W,10,2,uq_only_support_aware,support-final-373029d9b12c74627cb8e1e9,10,2911,995.5814568819478,26,60.07886241097003,23,33879,44,,10,129,22,1546.2425192203373
Ca-Pd-Sn-W,10,2,es_only_independent,component-final-87c47cdf901aa65da9a4fd9d,10,3278,0,26,71.61003255099058,21,35170,36,,10,54,18,416.60944548714906
Ca-Pd-Sn-W,10,3,es_only_independent,component-final-61174bb74d1f37007558ce1f,10,2561,0,26,73.9221667535603,19,34005,36,,10,95,18,384.7648720983416
Ca-Pd-Sn-W,10,2,full_support_aware,support-final-dc0639b5ff8be613f1c8c6f0,10,2457,644.3084724619985,26,78.11390629597008,18,31832,36,,10,29,18,1007.3860580576584
Ce-Er-Pb-Rh,10,2,baseline_reference,component-final-f7815acc56142f0958252762,10,3724,0,33,80.73914374783635,23,42728,42,82,10,98,21,549.575273049064
Ce-Er-Pb-Rh,10,3,baseline_reference,component-final-b1fd5869414749ef1ea5da4b,10,3106,0,33,81.78169856686145,23,47200,44,184,10,159,22,561.1492185285315
Ce-Er-Pb-Rh,10,2,uq_only_support_aware,support-final-6f32364178f6566ce2b61257,10,3614,998.9390648724511,33,82.99948556814343,22,41983,38,74,10,130,19,1537.1773261507042
Ce-Er-Pb-Rh,10,2,es_only_independent,component-final-fa513c699bfc955f9424e95e,10,4347,0,33,75.3905706750229,26,50893,48,20,10,48,24,511.43584596645087
Ce-Er-Pb-Rh,10,3,es_only_independent,component-final-bab5676fb6b948fe5af57968,10,2355,0,33,80.54481669794768,17,36067,32,54,10,118,16,370.3895817892626
Ce-Er-Pb-Rh,10,2,full_support_aware,support-final-45ccef9bb58094559ca4578d,10,2553,424.53610338363796,33,83.22196197602898,18,35650,34,82,10,86,17,830.1460141772404
Ce-Ir-Pt-Sn,10,2,baseline_reference,component-final-251fda107f2a15d6293fdf18,10,4277,0,45,218.17011670209467,25,36108,48,16,10,114,24,668.588401013054
Ce-Ir-Pt-Sn,10,3,baseline_reference,component-final-6446602ec40cfb52bac4334d,10,2829,0,45,223.05869665462524,23,53682,46,106,10,161,23,524.0158343296498
Ce-Ir-Pt-Sn,10,2,uq_only_support_aware,support-final-2d0885c75e15e5c1c573f70c,10,2597,1037.5721872095019,45,208.8548759818077,20,33820,40,,10,75,20,1506.1556443348527
Ce-Ir-Pt-Sn,10,2,es_only_independent,component-final-c6bdb2034fb9c02596612ae6,10,4555,0,45,213.934744797647,37,50005,76,,10,110,38,637.0224474109709
Ce-Ir-Pt-Sn,10,3,es_only_independent,component-final-6384b7b9addad04fec76be49,10,2964,0,45,213.503151926212,24,40718,48,,10,251,24,667.2788497721776
Ce-Ir-Pt-Sn,10,2,full_support_aware,support-final-f4faf6133fc3e50f03662f80,10,2658,631.5307683404535,45,227.32220254465938,18,26303,36,,10,29,18,1013.3397024637088
Co-Dy-Ta-Y,10,2,baseline_reference,component-final-e1e2584451753c9a68515b9c,10,3255,0,32,106.56597573403269,26,36019,52,109,10,299,26,806.4478543950245
Co-Dy-Ta-Y,10,3,baseline_reference,component-final-18353fabceca3a7f51383b08,10,3038,0,32,110.26331731677055,23,42178,46,66,10,211,23,684.7131256926805
Co-Dy-Ta-Y,10,2,uq_only_support_aware,support-final-349b99fdb4b8588d02c5f2ae,10,3183,1020.2490073000081,32,108.72374771302566,25,33550,48,36,10,198,24,1685.2769534490071
Co-Dy-Ta-Y,10,2,es_only_independent,component-final-1129dad1b84498cd97482d93,10,3132,0,32,108.63888080790639,17,31426,30,,10,,15,347.36194897070527
Co-Dy-Ta-Y,10,3,es_only_independent,component-final-98ab66c718e2c90aa5f5aa56,10,2818,0,32,114.86802203394473,21,36909,40,65,10,177,20,585.5594693263993
Co-Dy-Ta-Y,10,2,full_support_aware,support-final-7a5ae0a82032daf2b8670e82,10,3039,742.0166989369318,32,114.18457111809403,21,32552,40,,10,30,20,1188.7677709357813
Dy-K-Pd-Sm,10,2,baseline_reference,component-final-bc6d03adbbf9025116dc3880,10,3487,0,17,49.713665132410824,25,35772,48,,10,123,24,529.5138332974166
Dy-K-Pd-Sm,10,3,baseline_reference,component-final-145b2a1f666f8571e635f9f0,10,2970,0,17,66.43682178575546,21,34264,40,,10,137,20,445.05792623758316
Dy-K-Pd-Sm,10,2,uq_only_support_aware,support-final-47c6f8bbe11d4113160062d7,10,4141,1048.3337856158614,17,42.28303182777017,30,38482,52,,10,100,26,1636.685851023998
Dy-K-Pd-Sm,10,2,es_only_independent,component-final-d4098dfa8cbe9dc8328be3ba,10,2987,0,17,48.5693914424628,20,31725,36,,10,68,18,383.4322921195999
Dy-K-Pd-Sm,10,3,es_only_independent,component-final-144d9b0222dbba7a420c0156,10,2939,0,17,51.90821495093405,18,32611,36,,10,,18,315.2897842898965
Dy-K-Pd-Sm,10,2,full_support_aware,support-final-ae70b098ac34ffb7a212b8bc,10,2541,328.40319716278464,17,56.37163670361042,16,36205,30,,10,,15,647.3256028778851
Eu-Nb-Sn-Tl,10,2,baseline_reference,component-final-6f752c4aa7ce2b59b8b786ac,10,2637,0,21,57.10300416033715,19,35902,38,1,10,162,19,552.2192379860207
Eu-Nb-Sn-Tl,10,3,baseline_reference,component-final-5928474b7a9036a2bb1990fb,10,3269,0,21,59.4915044317022,27,43720,54,,10,294,27,680.3874327531084
Eu-Nb-Sn-Tl,10,2,uq_only_support_aware,support-final-e8889b22eaf49d12012a1c9a,10,2914,1091.6876781955361,21,59.30086978292093,20,36209,40,,10,94,20,1528.787929717917
Eu-Nb-Sn-Tl,10,2,es_only_independent,component-final-fafba8759d6f40907d40623e,10,3151,0,21,53.30473926849663,19,38814,36,,10,143,18,460.3116695350036
Eu-Nb-Sn-Tl,10,3,es_only_independent,component-final-e95438499fb6b1c7c9e49934,10,2963,0,21,58.594934958033264,22,37292,42,,10,178,21,523.9808761421591
Eu-Nb-Sn-Tl,10,2,full_support_aware,support-final-0f1e8770273e505e68224b59,10,1833,308.1444111717865,21,60.284943104721606,13,30790,26,3,10,29,13,571.4319077525288
Ag-Nd-Pd-Pt-Tb,10,2,baseline_reference,component-final-6d5473721558c3870efb2bf0,10,2429,0,53,104.03044128697366,18,41841,34,15,10,31,17,275.91738468501717
Ag-Nd-Pd-Pt-Tb,10,3,baseline_reference,component-final-4477c900e2dd8e31a3b70f25,10,3323,0,53,106.7404868490994,27,43336,54,180,10,272,27,570.3555844649673
Ag-Nd-Pd-Pt-Tb,10,2,uq_only_support_aware,support-final-30aebf8adbd08b45cc3864e7,10,2281,760.6934058042243,53,87.78341440111399,17,37628,32,15,10,31,16,1058.7841875241138
Ag-Nd-Pd-Pt-Tb,10,2,es_only_independent,component-final-658579de12b4954507ee6cad,10,2108,0,53,102.91611989121884,16,34096,32,11,10,29,16,244.17813032027334
Ag-Nd-Pd-Pt-Tb,10,3,es_only_independent,component-final-4d966b1fc9fedd8efaa41bf2,10,2018,0,53,108.67969468794763,15,33868,30,,10,,15,229.8997450377792
Ag-Nd-Pd-Pt-Tb,10,2,full_support_aware,support-final-6c28174809966ea018c63137,10,1977,716.0479808077216,53,105.33315384946764,16,33241,30,,10,,15,975.4317492758855
